Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0291,002,40AP0291,183585,442900,5008,,5060,410,310,1962/12/19,1986/10/13
B40A0291,002,40AP0291,183585,442900,5010,,5080,410,310,1986/10/13,1987/11/25
B40A0291,002,40AP0291,183585,442900,5005,,5084,410,310,1987/11/25,2001/10/18
B40A0291,002,40AP0291,183585,442900,5005,,5076,410,310,2001/10/18,2013/05/23

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0291,002,1963/01/11 00:00:00,2663,
B40A0291,002,1963/01/25 00:00:00,2651,
B40A0291,002,1963/02/13 00:00:00,2668,
B40A0291,002,1963/02/27 00:00:00,2665,
B40A0291,002,1963/03/06 00:00:00,2671,
B40A0291,002,1963/03/19 00:00:00,2668,
B40A0291,002,1963/04/03 00:00:00,2687,
B40A0291,002,1963/04/18 00:00:00,2685,
B40A0291,002,1963/05/07 00:00:00,2680,
B40A0291,002,1963/05/20 00:00:00,2690,
B40A0291,002,1963/06/06 00:00:00,2693,
B40A0291,002,1963/06/19 00:00:00,2694,
B40A0291,002,1963/07/04 00:00:00,2695,
B40A0291,002,1963/07/17 00:00:00,2695,
B40A0291,002,1963/08/07 00:00:00,2695,
B40A0291,002,1963/08/20 00:00:00,2696,
B40A0291,002,1963/09/05 00:00:00,2700,
B40A0291,002,1963/09/18 00:00:00,2701,
B40A0291,002,1963/10/07 00:00:00,2703,
B40A0291,002,1963/10/21 00:00:00,2705,
B40A0291,002,1963/11/06 00:00:00,2706,
B40A0291,002,1963/11/20 00:00:00,2706,
B40A0291,002,1963/12/05 00:00:00,2711,
B40A0291,002,1963/12/20 00:00:00,2709,
B40A0291,002,1964/01/14 00:00:00,2714,
B40A0291,002,1964/01/22 00:00:00,2717,
B40A0291,002,1964/02/06 00:00:00,2717,
B40A0291,002,1964/02/19 00:00:00,2718,
B40A0291,002,1964/03/04 00:00:00,2718,
B40A0291,002,1964/03/18 00:00:00,2720,
B40A0291,002,1964/04/03 00:00:00,2720,
B40A0291,002,1964/04/17 00:00:00,2720,
B40A0291,002,1964/05/06 00:00:00,2721,
B40A0291,002,1964/05/20 00:00:00,2723,
B40A0291,002,1964/06/03 00:00:00,2723,
B40A0291,002,1964/06/17 00:00:00,2724,
B40A0291,002,1964/07/03 00:00:00,2726,
B40A0291,002,1964/07/17 00:00:00,2727,
B40A0291,002,1964/08/05 00:00:00,2729,
B40A0291,002,1964/08/19 00:00:00,2731,
B40A0291,002,1964/09/03 00:00:00,2732,
B40A0291,002,1964/09/21 00:00:00,2734,
B40A0291,002,1964/10/05 00:00:00,2735,
B40A0291,002,1964/10/16 00:00:00,2737,
B40A0291,002,1964/11/04 00:00:00,2737,
B40A0291,002,1964/11/18 00:00:00,2738,
B40A0291,002,1964/12/07 00:00:00,2738,
B40A0291,002,1964/12/22 00:00:00,2740,
B40A0291,002,1965/01/07 00:00:00,2740,
B40A0291,002,1965/01/27 00:00:00,2745,
B40A0291,002,1965/02/05 00:00:00,2746,
B40A0291,002,1965/02/18 00:00:00,2746,
B40A0291,002,1965/03/05 00:00:00,2746,
B40A0291,002,1965/03/19 00:00:00,2748,
B40A0291,002,1965/04/07 00:00:00,2745,
B40A0291,002,1965/04/27 00:00:00,2731,
B40A0291,002,1965/05/20 00:00:00,2738,
B40A0291,002,1965/06/03 00:00:00,2729,
B40A0291,002,1965/06/25 00:00:00,2722,
B40A0291,002,1965/07/05 00:00:00,2717,
B40A0291,002,1965/08/06 00:00:00,2708,
B40A0291,002,1965/09/01 00:00:00,2702,
B40A0291,002,1965/10/01 00:00:00,2699,
B40A0291,002,1965/11/02 00:00:00,2700,
B40A0291,002,1965/12/10 00:00:00,2709,
B40A0291,002,1966/01/05 00:00:00,2693,
B40A0291,002,1966/02/02 00:00:00,2674,
B40A0291,002,1966/04/04 00:00:00,2668,
B40A0291,002,1966/05/03 00:00:00,2528,
B40A0291,002,1966/06/01 00:00:00,2678,
B40A0291,002,1966/07/05 00:00:00,2592,
B40A0291,002,1966/08/01 00:00:00,2378,
B40A0291,002,1966/09/01 00:00:00,2478,
B40A0291,002,1966/10/03 00:00:00,2592,
B40A0291,002,1966/11/03 00:00:00,2601,
B40A0291,002,1967/01/03 00:00:00,2588,
B40A0291,002,1967/02/06 00:00:00,2582,
B40A0291,002,1967/03/06 00:00:00,2568,
B40A0291,002,1967/04/05 00:00:00,2568,
B40A0291,002,1967/05/04 00:00:00,2586,
B40A0291,002,1967/06/06 00:00:00,2571,
B40A0291,002,1967/07/19 00:00:00,2576,
B40A0291,002,1967/08/21 00:00:00,2580,
B40A0291,002,1967/09/15 00:00:00,2602,
B40A0291,002,1967/11/08 00:00:00,2618,
B40A0291,002,1967/11/17 00:00:00,2614,
B40A0291,002,1967/12/05 00:00:00,2629,
B40A0291,002,1967/12/18 00:00:00,2631,
B40A0291,002,1968/01/02 00:00:00,2638,
B40A0291,002,1968/01/19 00:00:00,2662,
B40A0291,002,1968/02/06 00:00:00,2653,
B40A0291,002,1968/02/19 00:00:00,2656,
B40A0291,002,1968/03/04 00:00:00,2660,
B40A0291,002,1968/03/20 00:00:00,2658,
B40A0291,002,1968/04/03 00:00:00,2666,
B40A0291,002,1968/04/16 00:00:00,2668,
B40A0291,002,1968/05/06 00:00:00,2670,
B40A0291,002,1968/05/20 00:00:00,2671,
B40A0291,002,1968/06/05 00:00:00,2674,
B40A0291,002,1968/06/17 00:00:00,2671,
B40A0291,002,1968/08/01 00:00:00,2682,
B40A0291,002,1968/08/20 00:00:00,2686,
B40A0291,002,1968/09/04 00:00:00,2680,
B40A0291,002,1968/09/17 00:00:00,2679,
B40A0291,002,1968/10/03 00:00:00,2682,
B40A0291,002,1968/10/28 00:00:00,2692,
B40A0291,002,1968/11/18 00:00:00,2690,
B40A0291,002,1968/11/26 00:00:00,2690,
B40A0291,002,1968/12/12 00:00:00,2687,
B40A0291,002,1968/12/30 00:00:00,2688,
B40A0291,002,1969/01/07 00:00:00,2710,
B40A0291,002,1969/01/27 00:00:00,2686,
B40A0291,002,1969/02/14 00:00:00,2706,
B40A0291,002,1969/02/19 00:00:00,2704,
B40A0291,002,1969/03/06 00:00:00,2702,
B40A0291,002,1969/03/27 00:00:00,2700,
B40A0291,002,1969/05/07 00:00:00,2682,
B40A0291,002,1969/05/27 00:00:00,2678,
B40A0291,002,1969/06/11 00:00:00,2669,
B40A0291,002,1969/06/25 00:00:00,2663,
B40A0291,002,1969/07/15 00:00:00,2668,
B40A0291,002,1969/07/24 00:00:00,2700,
B40A0291,002,1969/08/12 00:00:00,2694,
B40A0291,002,1969/08/28 00:00:00,2696,
B40A0291,002,1969/09/03 00:00:00,2690,
B40A0291,002,1969/09/24 00:00:00,2688,
B40A0291,002,1969/10/08 00:00:00,2696,
B40A0291,002,1969/10/27 00:00:00,2696,
B40A0291,002,1969/11/20 00:00:00,2690,
B40A0291,002,1970/01/07 00:00:00,2702,
B40A0291,002,1970/01/27 00:00:00,2702,
B40A0291,002,1970/03/02 00:00:00,2700,
B40A0291,002,1970/03/17 00:00:00,2698,
B40A0291,002,1970/03/31 00:00:00,2702,
B40A0291,002,1970/07/29 00:00:00,2736,
B40A0291,002,1970/08/14 00:00:00,2736,
B40A0291,002,1970/08/28 00:00:00,2747,
B40A0291,002,1970/09/14 00:00:00,2747,
B40A0291,002,1970/09/28 00:00:00,2738,
B40A0291,002,1970/10/14 00:00:00,2742,
B40A0291,002,1970/10/28 00:00:00,2743,
B40A0291,002,1970/11/13 00:00:00,2745,
B40A0291,002,1970/11/28 00:00:00,2744,
B40A0291,002,1970/12/15 00:00:00,2745,
B40A0291,002,1970/12/29 00:00:00,2748,
B40A0291,002,1971/01/14 00:00:00,2746,
B40A0291,002,1971/01/28 00:00:00,2746,
B40A0291,002,1971/02/17 00:00:00,2747,
B40A0291,002,1971/03/01 00:00:00,2748,
B40A0291,002,1971/03/15 00:00:00,2748,
B40A0291,002,1971/03/20 00:00:00,2747,
B40A0291,002,1971/03/30 00:00:00,2749,
B40A0291,002,1971/04/14 00:00:00,2745,
B40A0291,002,1971/04/28 00:00:00,2743,
B40A0291,002,1971/05/14 00:00:00,2748,
B40A0291,002,1971/06/14 00:00:00,2747,
B40A0291,002,1971/06/28 00:00:00,2748,
B40A0291,002,1971/07/14 00:00:00,2746,
B40A0291,002,1971/07/28 00:00:00,2745,
B40A0291,002,1971/08/13 00:00:00,2746,
B40A0291,002,1971/08/27 00:00:00,2747,
B40A0291,002,1971/09/14 00:00:00,2748,
B40A0291,002,1971/09/29 00:00:00,2753,
B40A0291,002,1971/10/16 00:00:00,2755,
B40A0291,002,1971/10/28 00:00:00,2757,
B40A0291,002,1971/11/15 00:00:00,2758,
B40A0291,002,1971/11/30 00:00:00,2760,
B40A0291,002,1971/12/14 00:00:00,2762,
B40A0291,002,1971/12/28 00:00:00,2764,
B40A0291,002,1972/01/17 00:00:00,2764,
B40A0291,002,1972/01/28 00:00:00,2769,
B40A0291,002,1972/02/14 00:00:00,2772,
B40A0291,002,1972/02/28 00:00:00,2773,
B40A0291,002,1972/03/15 00:00:00,2775,
B40A0291,002,1972/03/28 00:00:00,2778,
B40A0291,002,1972/04/15 00:00:00,2782,
B40A0291,002,1972/04/29 00:00:00,2779,
B40A0291,002,1972/05/15 00:00:00,2785,
B40A0291,002,1972/05/29 00:00:00,2784,
B40A0291,002,1972/06/14 00:00:00,2788,
B40A0291,002,1972/06/28 00:00:00,2787,
B40A0291,002,1972/07/14 00:00:00,2785,
B40A0291,002,1972/08/14 00:00:00,2787,
B40A0291,002,1972/08/29 00:00:00,2797,
B40A0291,002,1972/09/14 00:00:00,2799,
B40A0291,002,1972/09/28 00:00:00,2800,
B40A0291,002,1972/10/16 00:00:00,2803,
B40A0291,002,1972/10/28 00:00:00,2801,
B40A0291,002,1972/11/14 00:00:00,2769,
B40A0291,002,1972/12/14 00:00:00,2767,
B40A0291,002,1972/12/29 00:00:00,2766,
B40A0291,002,1973/01/15 00:00:00,2808,
B40A0291,002,1973/01/29 00:00:00,2810,
B40A0291,002,1973/02/13 00:00:00,2811,
B40A0291,002,1973/03/01 00:00:00,2812,
B40A0291,002,1973/04/16 00:00:00,2816,
B40A0291,002,1973/04/30 00:00:00,2817,
B40A0291,002,1973/05/29 00:00:00,2816,
B40A0291,002,1973/06/15 00:00:00,2814,
B40A0291,002,1973/06/28 00:00:00,2813,
B40A0291,002,1973/07/16 00:00:00,2813,
B40A0291,002,1973/08/28 00:00:00,2810,
B40A0291,002,1973/09/14 00:00:00,2811,
B40A0291,002,1973/09/28 00:00:00,2812,
B40A0291,002,1973/10/15 00:00:00,2813,
B40A0291,002,1974/01/15 00:00:00,2810,
B40A0291,002,1974/02/18 00:00:00,2808,
B40A0291,002,1974/03/15 00:00:00,2809,
B40A0291,002,1974/04/18 00:00:00,2807,
B40A0291,002,1974/05/30 00:00:00,2805,
B40A0291,002,1974/06/17 00:00:00,2804,
B40A0291,002,1974/07/20 00:00:00,2801,
B40A0291,002,1974/07/30 00:00:00,2800,
B40A0291,002,1974/09/30 00:00:00,2803,
B40A0291,002,1974/10/14 00:00:00,2804,
B40A0291,002,1974/10/28 00:00:00,2805,
B40A0291,002,1974/11/14 00:00:00,2801,
B40A0291,002,1974/11/28 00:00:00,2802,
B40A0291,002,1974/12/30 00:00:00,2800,
B40A0291,002,1975/02/28 00:00:00,2785,
B40A0291,002,1975/03/29 00:00:00,2786,
B40A0291,002,1975/04/29 00:00:00,2785,
B40A0291,002,1975/05/30 00:00:00,2785,
B40A0291,002,1975/06/30 00:00:00,2783,
B40A0291,002,1975/07/29 00:00:00,2744,
B40A0291,002,1975/09/30 00:00:00,2738,
B40A0291,002,1975/10/28 00:00:00,2738,
B40A0291,002,1975/11/29 00:00:00,2740,
B40A0291,002,1975/12/29 00:00:00,2752,
B40A0291,002,1976/01/28 00:00:00,2751,
B40A0291,002,1976/02/27 00:00:00,2748,
B40A0291,002,1976/03/29 00:00:00,2749,
B40A0291,002,1976/04/29 00:00:00,2746,
B40A0291,002,1976/06/28 00:00:00,2778,
B40A0291,002,1976/07/29 00:00:00,2777,
B40A0291,002,1976/10/29 00:00:00,2798,
B40A0291,002,1976/11/29 00:00:00,2802,
B40A0291,002,1976/12/28 00:00:00,2799,
B40A0291,002,1977/02/28 00:00:00,2810,
B40A0291,002,1977/03/28 00:00:00,2812,
B40A0291,002,1977/07/28 00:00:00,2826,
B40A0291,002,1977/08/29 00:00:00,2824,
B40A0291,002,1977/09/29 00:00:00,2823,
B40A0291,002,1977/10/28 00:00:00,2837,
B40A0291,002,1977/11/29 00:00:00,2838,
B40A0291,002,1977/12/27 00:00:00,2836,
B40A0291,002,1978/01/27 00:00:00,2838,
B40A0291,002,1978/02/27 00:00:00,2837,
B40A0291,002,1978/03/28 00:00:00,2832,
B40A0291,002,1978/04/28 00:00:00,2827,
B40A0291,002,1978/05/30 00:00:00,2820,
B40A0291,002,1978/06/28 00:00:00,2815,
B40A0291,002,1978/07/28 00:00:00,2807,
B40A0291,002,1978/08/28 00:00:00,2808,
B40A0291,002,1978/09/29 00:00:00,2803,
B40A0291,002,1978/10/27 00:00:00,2807,
B40A0291,002,1978/11/28 00:00:00,2809,
B40A0291,002,1978/12/28 00:00:00,2812,
B40A0291,002,1979/01/29 00:00:00,2808,
B40A0291,002,1979/03/28 00:00:00,2803,
B40A0291,002,1979/04/27 00:00:00,2801,
B40A0291,002,1979/06/28 00:00:00,2800,
B40A0291,002,1979/07/27 00:00:00,2792,
B40A0291,002,1979/08/28 00:00:00,2786,
B40A0291,002,1979/09/27 00:00:00,2782,
B40A0291,002,1979/10/29 00:00:00,2780,
B40A0291,002,1979/11/29 00:00:00,2780,
B40A0291,002,1980/01/29 00:00:00,2781,
B40A0291,002,1980/02/29 00:00:00,2777,
B40A0291,002,1980/03/28 00:00:00,2780,
B40A0291,002,1980/04/28 00:00:00,2780,
B40A0291,002,1980/05/29 00:00:00,2779,
B40A0291,002,1980/06/27 00:00:00,2779,
B40A0291,002,1980/07/29 00:00:00,2774,
B40A0291,002,1980/08/27 00:00:00,2773,
B40A0291,002,1980/09/29 00:00:00,2778,
B40A0291,002,1980/10/27 00:00:00,2784,
B40A0291,002,1980/11/28 00:00:00,2782,
B40A0291,002,1980/12/29 00:00:00,2785,
B40A0291,002,1981/01/29 00:00:00,2780,
B40A0291,002,1981/02/27 00:00:00,2774,
B40A0291,002,1981/03/27 00:00:00,2770,
B40A0291,002,1981/04/28 00:00:00,2753,
B40A0291,002,1981/05/27 00:00:00,2739,
B40A0291,002,1981/06/30 00:00:00,2723,
B40A0291,002,1981/07/28 00:00:00,2715,
B40A0291,002,1981/08/28 00:00:00,2712,
B40A0291,002,1981/09/28 00:00:00,2718,
B40A0291,002,1981/10/29 00:00:00,2723,
B40A0291,002,1981/11/30 00:00:00,2726,
B40A0291,002,1981/12/28 00:00:00,2728,
B40A0291,002,1982/01/28 00:00:00,2732,
B40A0291,002,1982/02/27 00:00:00,2738,
B40A0291,002,1982/03/29 00:00:00,2746,
B40A0291,002,1982/04/27 00:00:00,2752,
B40A0291,002,1982/05/28 00:00:00,2758,
B40A0291,002,1982/06/28 00:00:00,2761,
B40A0291,002,1982/07/28 00:00:00,2766,
B40A0291,002,1982/08/31 00:00:00,2769,
B40A0291,002,1982/09/27 00:00:00,2773,
B40A0291,002,1982/10/28 00:00:00,2777,
B40A0291,002,1982/11/29 00:00:00,2783,
B40A0291,002,1982/12/29 00:00:00,2783,
B40A0291,002,1983/01/28 00:00:00,2785,
B40A0291,002,1983/02/28 00:00:00,2788,
B40A0291,002,1983/03/29 00:00:00,2791,
B40A0291,002,1983/05/27 00:00:00,2784,
B40A0291,002,1983/06/29 00:00:00,2773,
B40A0291,002,1983/07/28 00:00:00,2767,
B40A0291,002,1983/09/13 00:00:00,2761,
B40A0291,002,1983/09/29 00:00:00,2760,
B40A0291,002,1983/10/31 00:00:00,2763,
B40A0291,002,1983/12/01 00:00:00,2768,
B40A0291,002,1984/02/29 00:00:00,2758,
B40A0291,002,1984/03/29 00:00:00,2756,
B40A0291,002,1984/05/03 00:00:00,2752,
B40A0291,002,1984/05/28 00:00:00,2747,
B40A0291,002,1984/06/28 00:00:00,2742,
B40A0291,002,1984/08/06 00:00:00,2741,
B40A0291,002,1984/08/29 00:00:00,2743,
B40A0291,002,1984/10/01 00:00:00,2746,
B40A0291,002,1984/10/29 00:00:00,2746,
B40A0291,002,1984/11/29 00:00:00,2745,
B40A0291,002,1985/03/01 00:00:00,2741,
B40A0291,002,1985/03/26 00:00:00,2746,
B40A0291,002,1985/05/01 00:00:00,2736,
B40A0291,002,1985/05/29 00:00:00,2733,
B40A0291,002,1985/06/28 00:00:00,2726,
B40A0291,002,1985/07/29 00:00:00,2720,
B40A0291,002,1985/09/27 00:00:00,2726,
B40A0291,002,1985/10/29 00:00:00,2731,
B40A0291,002,1985/11/28 00:00:00,2737,
B40A0291,002,1985/12/24 00:00:00,2739,
B40A0291,002,1986/04/28 00:00:00,2728,
B40A0291,002,1986/05/27 00:00:00,2734,
B40A0291,002,1986/06/30 00:00:00,2723,
B40A0291,002,1986/07/28 00:00:00,2727,
B40A0291,002,1986/08/29 00:00:00,2731,
B40A0291,002,1986/10/13 00:00:00,2740,
B40A0291,002,1986/10/29 00:00:00,2751,
B40A0291,002,1986/11/28 00:00:00,2755,
B40A0291,002,1987/02/13 00:00:00,2761,
B40A0291,002,1987/02/27 00:00:00,2762,
B40A0291,002,1987/03/16 00:00:00,2761,
B40A0291,002,1987/03/27 00:00:00,2760,
B40A0291,002,1987/04/15 00:00:00,2761,
B40A0291,002,1987/04/29 00:00:00,2760,
B40A0291,002,1987/05/15 00:00:00,2758,
B40A0291,002,1987/05/27 00:00:00,2756,
B40A0291,002,1987/06/17 00:00:00,2754,
B40A0291,002,1987/06/29 00:00:00,2751,
B40A0291,002,1987/07/30 00:00:00,2746,
B40A0291,002,1987/08/28 00:00:00,2742,
B40A0291,002,1987/09/15 00:00:00,2740,
B40A0291,002,1987/09/29 00:00:00,2741,
B40A0291,002,1987/10/15 00:00:00,2740,
B40A0291,002,1987/10/28 00:00:00,2739,
B40A0291,002,1987/12/24 00:00:00,2735,
B40A0291,002,1988/01/15 00:00:00,2732,
B40A0291,002,1988/01/28 00:00:00,2729,
B40A0291,002,1988/02/16 00:00:00,2726,
B40A0291,002,1988/03/16 00:00:00,2721,
B40A0291,002,1988/03/28 00:00:00,2703,
B40A0291,002,1988/04/18 00:00:00,2685,
B40A0291,002,1988/04/29 00:00:00,2681,
B40A0291,002,1988/05/16 00:00:00,2672,
B40A0291,002,1988/05/30 00:00:00,2667,
B40A0291,002,1988/06/15 00:00:00,2656,
B40A0291,002,1988/06/28 00:00:00,2659,
B40A0291,002,1988/07/15 00:00:00,2659,
B40A0291,002,1988/07/28 00:00:00,2661,
B40A0291,002,1988/08/30 00:00:00,2669,
B40A0291,002,1988/09/19 00:00:00,2675,
B40A0291,002,1988/09/29 00:00:00,2678,
B40A0291,002,1988/10/14 00:00:00,2681,
B40A0291,002,1988/10/31 00:00:00,2681,
B40A0291,002,1988/11/14 00:00:00,2688,
B40A0291,002,1988/11/30 00:00:00,2690,
B40A0291,002,1988/12/15 00:00:00,2695,
B40A0291,002,1989/01/28 00:00:00,2703,
B40A0291,002,1989/03/02 00:00:00,2712,
B40A0291,002,1989/03/16 00:00:00,2714,
B40A0291,002,1989/03/30 00:00:00,2716,
B40A0291,002,1989/04/14 00:00:00,2718,
B40A0291,002,1989/04/28 00:00:00,2717,
B40A0291,002,1989/05/31 00:00:00,2716,
B40A0291,002,1989/06/15 00:00:00,2719,
B40A0291,002,1989/06/28 00:00:00,2721,
B40A0291,002,1989/07/14 00:00:00,2721,
B40A0291,002,1989/07/31 00:00:00,2721,
B40A0291,002,1989/08/26 00:00:00,2726,
B40A0291,002,1989/09/14 00:00:00,2728,
B40A0291,002,1989/10/02 00:00:00,2733,
B40A0291,002,1989/10/17 00:00:00,2734,
B40A0291,002,1989/10/30 00:00:00,2739,
B40A0291,002,1989/11/16 00:00:00,2741,
B40A0291,002,1989/11/29 00:00:00,2745,
B40A0291,002,1990/01/02 00:00:00,2753,
B40A0291,002,1990/01/16 00:00:00,2754,
B40A0291,002,1990/01/31 00:00:00,2757,
B40A0291,002,1990/02/19 00:00:00,2760,
B40A0291,002,1990/03/01 00:00:00,2762,
B40A0291,002,1990/03/16 00:00:00,2761,
B40A0291,002,1990/03/30 00:00:00,2762,
B40A0291,002,1990/04/27 00:00:00,2768,
B40A0291,002,1990/05/14 00:00:00,2771,
B40A0291,002,1990/05/29 13:00:00,2775,
B40A0291,002,1990/06/14 00:00:00,2775,
B40A0291,002,1990/06/28 00:00:00,2778,
B40A0291,002,1990/07/14 00:00:00,2780,
B40A0291,002,1990/07/28 00:00:00,2781,
