Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0306,001,40AP0306,186070,443320,1003,,1043,803,703,1962/11/01,1980/05/15
B40A0306,001,40AP0306,186070,443320,1003,,1041,803,703,1980/05/15,2000/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0306,001,1963/01/25 00:00:00,261,
B40A0306,001,1963/02/13 00:00:00,160,
B40A0306,001,1963/02/27 00:00:00,275,
B40A0306,001,1963/03/06 00:00:00,278,
B40A0306,001,1963/03/19 00:00:00,195,
B40A0306,001,1963/04/03 00:00:00,138,
B40A0306,001,1963/04/18 00:00:00,139,
B40A0306,001,1963/05/07 00:00:00,152,
B40A0306,001,1963/05/20 00:00:00,158,
B40A0306,001,1963/06/06 00:00:00,174,
B40A0306,001,1963/06/19 00:00:00,160,
B40A0306,001,1963/07/04 00:00:00,146,
B40A0306,001,1963/07/17 00:00:00,154,
B40A0306,001,1963/08/07 00:00:00,191,
B40A0306,001,1963/08/20 00:00:00,133,
B40A0306,001,1963/09/05 00:00:00,135,
B40A0306,001,1963/09/18 00:00:00,137,
B40A0306,001,1963/10/04 00:00:00,92,
B40A0306,001,1963/10/21 00:00:00,125,
B40A0306,001,1963/11/06 00:00:00,226,
B40A0306,001,1963/11/20 00:00:00,50,
B40A0306,001,1963/12/04 00:00:00,32,
B40A0306,001,1963/12/19 00:00:00,92,
B40A0306,001,1964/01/14 00:00:00,123,
B40A0306,001,1964/01/22 00:00:00,135,
B40A0306,001,1964/02/06 00:00:00,134,
B40A0306,001,1964/02/19 00:00:00,133,
B40A0306,001,1964/03/04 00:00:00,145,
B40A0306,001,1964/03/18 00:00:00,153,
B40A0306,001,1964/04/03 00:00:00,137,
B40A0306,001,1964/04/17 00:00:00,120,
B40A0306,001,1964/05/06 00:00:00,131,
B40A0306,001,1964/05/20 00:00:00,136,
B40A0306,001,1964/06/03 00:00:00,127,
B40A0306,001,1964/06/17 00:00:00,144,
B40A0306,001,1964/07/03 00:00:00,151,
B40A0306,001,1964/07/16 00:00:00,163,
B40A0306,001,1964/08/05 00:00:00,170,
B40A0306,001,1964/08/19 00:00:00,172,
B40A0306,001,1964/09/03 00:00:00,179,
B40A0306,001,1964/09/21 00:00:00,168,
B40A0306,001,1964/10/05 00:00:00,180,
B40A0306,001,1964/10/20 00:00:00,149,
B40A0306,001,1964/11/04 00:00:00,151,
B40A0306,001,1964/11/18 00:00:00,141,
B40A0306,001,1964/12/03 00:00:00,120,
B40A0306,001,1964/12/22 00:00:00,232,
B40A0306,001,1965/01/07 00:00:00,95,
B40A0306,001,1965/01/27 00:00:00,57,
B40A0306,001,1965/02/04 00:00:00,77,
B40A0306,001,1965/02/18 00:00:00,80,
B40A0306,001,1965/03/04 00:00:00,94,
B40A0306,001,1965/03/19 00:00:00,102,
B40A0306,001,1965/04/07 00:00:00,12,
B40A0306,001,1965/04/27 00:00:00,32,
B40A0306,001,1965/05/19 00:00:00,32,
B40A0306,001,1965/06/03 00:00:00,42,
B40A0306,001,1965/06/22 00:00:00,97,
B40A0306,001,1965/07/05 00:00:00,28,
B40A0306,001,1965/08/05 00:00:00,27,
B40A0306,001,1965/09/01 00:00:00,33,
B40A0306,001,1965/10/01 00:00:00,62,
B40A0306,001,1965/11/02 00:00:00,92,
B40A0306,001,1965/12/10 00:00:00,-7,
B40A0306,001,1966/01/05 00:00:00,,O
B40A0306,001,1966/02/02 00:00:00,0,
B40A0306,001,1966/04/04 00:00:00,17,
B40A0306,001,1966/05/03 00:00:00,25,
B40A0306,001,1966/06/01 00:00:00,58,
B40A0306,001,1966/07/05 00:00:00,50,
B40A0306,001,1966/08/01 00:00:00,30,
B40A0306,001,1966/09/01 00:00:00,47,
B40A0306,001,1966/10/03 00:00:00,60,
B40A0306,001,1966/11/03 00:00:00,107,
B40A0306,001,1967/01/03 00:00:00,4,
B40A0306,001,1967/02/06 00:00:00,38,
B40A0306,001,1967/03/06 00:00:00,38,
B40A0306,001,1967/04/05 00:00:00,48,
B40A0306,001,1967/05/04 00:00:00,67,
B40A0306,001,1967/06/06 00:00:00,62,
B40A0306,001,1967/07/19 00:00:00,85,
B40A0306,001,1967/08/21 00:00:00,65,
B40A0306,001,1967/09/15 00:00:00,99,
B40A0306,001,1967/10/19 00:00:00,96,
B40A0306,001,1967/11/08 00:00:00,90,
B40A0306,001,1967/11/17 00:00:00,100,
B40A0306,001,1967/12/05 00:00:00,82,
B40A0306,001,1967/12/18 00:00:00,85,
B40A0306,001,1968/01/02 00:00:00,32,
B40A0306,001,1968/01/19 00:00:00,3,
B40A0306,001,1968/02/06 00:00:00,41,
B40A0306,001,1968/02/19 00:00:00,38,
B40A0306,001,1968/03/04 00:00:00,43,
B40A0306,001,1968/03/20 00:00:00,49,
B40A0306,001,1968/04/03 00:00:00,52,
B40A0306,001,1968/04/16 00:00:00,60,
B40A0306,001,1968/05/06 00:00:00,54,
B40A0306,001,1968/05/20 00:00:00,39,
B40A0306,001,1968/06/05 00:00:00,43,
B40A0306,001,1968/06/17 00:00:00,60,
B40A0306,001,1968/08/01 00:00:00,103,
B40A0306,001,1968/08/20 00:00:00,85,
B40A0306,001,1968/09/04 00:00:00,68,
B40A0306,001,1968/09/17 00:00:00,53,
B40A0306,001,1968/10/03 00:00:00,19,
B40A0306,001,1968/10/28 00:00:00,44,
B40A0306,001,1968/11/14 00:00:00,50,
B40A0306,001,1968/11/26 00:00:00,65,
B40A0306,001,1968/12/12 00:00:00,104,
B40A0306,001,1968/12/30 00:00:00,96,
B40A0306,001,1969/01/07 00:00:00,93,
B40A0306,001,1969/01/27 00:00:00,88,
B40A0306,001,1969/02/14 00:00:00,84,
B40A0306,001,1969/02/18 00:00:00,55,
B40A0306,001,1969/03/06 00:00:00,70,
B40A0306,001,1969/03/27 00:00:00,46,
B40A0306,001,1969/05/07 00:00:00,39,
B40A0306,001,1969/05/27 00:00:00,51,
B40A0306,001,1969/06/11 00:00:00,52,
B40A0306,001,1969/06/25 00:00:00,62,
B40A0306,001,1969/07/11 00:00:00,54,
B40A0306,001,1969/07/24 00:00:00,40,
B40A0306,001,1969/08/12 00:00:00,50,
B40A0306,001,1969/08/28 00:00:00,72,
B40A0306,001,1969/09/08 00:00:00,62,
B40A0306,001,1969/09/24 00:00:00,68,
B40A0306,001,1969/10/06 00:00:00,120,
B40A0306,001,1969/10/27 00:00:00,126,
B40A0306,001,1969/11/13 00:00:00,129,
B40A0306,001,1970/01/07 00:00:00,120,
B40A0306,001,1970/01/27 00:00:00,90,
B40A0306,001,1970/03/17 00:00:00,28,
B40A0306,001,1970/04/01 00:00:00,13,
B40A0306,001,1970/04/24 00:00:00,22,
B40A0306,001,1970/04/28 00:00:00,1,
B40A0306,001,1970/05/28 00:00:00,25,
B40A0306,001,1970/06/15 00:00:00,58,
B40A0306,001,1970/06/29 00:00:00,42,
B40A0306,001,1970/07/14 00:00:00,44,
B40A0306,001,1970/07/28 00:00:00,60,
B40A0306,001,1970/09/15 00:00:00,88,
B40A0306,001,1970/10/14 00:00:00,100,
B40A0306,001,1970/10/28 00:00:00,64,
B40A0306,001,1970/11/13 00:00:00,80,
B40A0306,001,1970/11/27 00:00:00,85,
