Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0332,001,40AP0332,185790,441980,794,,836,616,566,1965/06/08,1972/07/11
B40A0332,001,40AP0332,185790,441980,794,,820,616,566,1972/07/11,1975/06/13
B40A0332,001,40AP0332,185790,441980,794,,817,616,566,1975/06/13,1977/02/28
B40A0332,001,40AP0332,185790,441980,794,,849,616,566,1977/02/28,1998/05/01
B40A0332,001,40AP0332,185790,441980,794,,840,616,566,1998/05/01,2007/11/20
B40A0332,001,40AP0332,185790,441980,794,,860,616,566,2007/11/20,2005/12/06

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0332,001,1965/08/16 00:00:00,3,
B40A0332,001,1965/09/01 00:00:00,9,
B40A0332,001,1965/09/16 00:00:00,-3,
B40A0332,001,1965/10/01 00:00:00,12,
B40A0332,001,1965/10/18 00:00:00,18,
B40A0332,001,1965/11/02 00:00:00,28,
B40A0332,001,1965/12/01 00:00:00,-28,
B40A0332,001,1965/12/16 00:00:00,,O
B40A0332,001,1966/01/05 00:00:00,,O
B40A0332,001,1966/02/02 00:00:00,-12,
B40A0332,001,1966/03/07 00:00:00,-1,
B40A0332,001,1966/04/04 00:00:00,-16,
B40A0332,001,1966/04/19 00:00:00,-32,
B40A0332,001,1966/05/03 00:00:00,-8,
B40A0332,001,1966/05/20 00:00:00,-6,
B40A0332,001,1966/06/01 00:00:00,-3,
B40A0332,001,1966/06/21 00:00:00,-11,
B40A0332,001,1966/07/05 00:00:00,-16,
B40A0332,001,1966/08/01 00:00:00,,O
B40A0332,001,1966/08/17 00:00:00,-9,
B40A0332,001,1966/09/01 00:00:00,-12,
B40A0332,001,1966/09/21 00:00:00,-1,
B40A0332,001,1966/10/03 00:00:00,-4,
B40A0332,001,1966/11/03 00:00:00,12,
B40A0332,001,1966/11/18 00:00:00,-19,
B40A0332,001,1966/12/07 00:00:00,-27,
