Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-12-1972,tot:,14-07-1995,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40A0406,003,40AP0406,184980,440480,833,18-10-1972,18-10-1972,07-12-1994,839,6,-3967,-4167
B40A0406,003,40AP0406,184980,440480,833,18-10-1972,07-12-1994,28-07-1995,849,16,-3967,-4167


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40A0406,003,14-12-1972,99,93,740,,,,,,
B40A0406,003,27-04-1973,100,94,739,,,,,,
B40A0406,003,28-08-1973,135,129,704,,,,,,
B40A0406,003,15-10-1973,107,101,732,,,,,,
B40A0406,003,14-12-1973,65,59,774,,,,,,
B40A0406,003,14-01-1975,124,118,715,,,,,,
B40A0406,003,28-01-1975,106,100,733,,,,,,
B40A0406,003,14-02-1975,109,103,730,,,,,,
B40A0406,003,28-02-1975,105,99,734,,,,,,
B40A0406,003,14-03-1975,99,93,740,,,,,,
B40A0406,003,28-03-1975,72,66,767,,,,,,
B40A0406,003,14-04-1975,94,88,745,,,,,,
B40A0406,003,29-04-1975,106,100,733,,,,,,
B40A0406,003,14-05-1975,92,86,747,,,,,,
B40A0406,003,28-05-1975,108,102,731,,,,,,
B40A0406,003,13-06-1975,108,102,731,,,,,,
B40A0406,003,27-06-1975,92,86,747,,,,,,
B40A0406,003,14-07-1975,91,85,748,,,,,,
B40A0406,003,28-07-1975,116,110,723,,,,,,
B40A0406,003,14-08-1975,140,134,699,,,,,,
B40A0406,003,28-08-1975,142,136,697,,,,,,
B40A0406,003,15-09-1975,135,129,704,,,,,,
B40A0406,003,29-09-1975,141,135,698,,,,,,
B40A0406,003,14-10-1975,147,141,692,,,,,,
B40A0406,003,28-10-1975,136,130,703,,,,,,
B40A0406,003,14-11-1975,110,104,729,,,,,,
B40A0406,003,28-11-1975,94,88,745,,,,,,
B40A0406,003,15-12-1975,114,108,725,,,,,,
B40A0406,003,29-12-1975,109,103,730,,,,,,
B40A0406,003,14-01-1976,94,88,745,,,,,,
B40A0406,003,28-01-1976,105,99,734,,,,,,
B40A0406,003,13-02-1976,96,90,743,,,,,,
B40A0406,003,27-02-1976,117,111,722,,,,,,
B40A0406,003,15-03-1976,126,120,713,,,,,,
B40A0406,003,29-03-1976,129,123,710,,,,,,
B40A0406,003,14-04-1976,122,116,717,,,,,,
B40A0406,003,28-04-1976,116,110,723,,,,,,
B40A0406,003,14-05-1976,118,112,721,,,,,,
B40A0406,003,28-05-1976,109,103,730,,,,,,
B40A0406,003,14-06-1976,125,119,714,,,,,,
B40A0406,003,28-06-1976,140,134,699,,,,,,
B40A0406,003,28-07-1976,124,118,715,,,,,,
B40A0406,003,13-08-1976,145,139,694,,,,,,
B40A0406,003,27-08-1976,163,157,676,,,,,,
B40A0406,003,14-09-1976,135,129,704,,,,,,
B40A0406,003,28-09-1976,126,120,713,,,,,,
B40A0406,003,14-10-1976,133,127,706,,,,,,
B40A0406,003,28-10-1976,130,124,709,,,,,,
B40A0406,003,15-11-1976,133,127,706,,,,,,
B40A0406,003,29-11-1976,134,128,705,,,,,,
B40A0406,003,14-12-1976,128,122,711,,,,,,
B40A0406,003,27-12-1976,119,113,720,,,,,,
B40A0406,003,14-01-1977,119,113,720,,,,,,
B40A0406,003,28-01-1977,110,104,729,,,,,,
B40A0406,003,14-02-1977,100,94,739,,,,,,
B40A0406,003,28-02-1977,102,96,737,,,,,,
B40A0406,003,14-03-1977,121,115,718,,,,,,
B40A0406,003,28-03-1977,107,101,732,,,,,,
B40A0406,003,14-04-1977,103,97,736,,,,,,
B40A0406,003,14-07-1977,125,119,714,,,,,,
B40A0406,003,28-07-1977,107,101,732,,,,,,
B40A0406,003,15-08-1977,106,100,733,,,,,,
B40A0406,003,29-08-1977,99,93,740,,,,,,
B40A0406,003,14-09-1977,116,110,723,,,,,,
B40A0406,003,28-09-1977,109,103,730,,,,,,
B40A0406,003,14-10-1977,112,106,727,,,,,,
B40A0406,003,28-10-1977,117,111,722,,,,,,
B40A0406,003,14-11-1977,89,83,750,,,,,,
B40A0406,003,28-11-1977,98,92,741,,,,,,
B40A0406,003,12-01-1978,84,78,755,,,,,,
B40A0406,003,27-01-1978,111,105,728,,,,,,
B40A0406,003,15-02-1978,126,120,713,,,,,,
B40A0406,003,28-02-1978,122,116,717,,,,,,
B40A0406,003,14-03-1978,119,113,720,,,,,,
B40A0406,003,28-03-1978,96,90,743,,,,,,
B40A0406,003,14-04-1978,114,108,725,,,,,,
B40A0406,003,28-04-1978,127,121,712,,,,,,
B40A0406,003,16-05-1978,104,98,735,,,,,,
B40A0406,003,29-05-1978,97,91,742,,,,,,
B40A0406,003,14-06-1978,108,102,731,,,,,,
B40A0406,003,28-06-1978,116,110,723,,,,,,
B40A0406,003,14-07-1978,103,97,736,,,,,,
B40A0406,003,28-07-1978,108,102,731,,,,,,
B40A0406,003,14-08-1978,110,104,729,,,,,,
B40A0406,003,28-08-1978,123,117,716,,,,,,
B40A0406,003,14-09-1978,126,120,713,,,,,,
B40A0406,003,28-09-1978,114,108,725,,,,,,
B40A0406,003,13-10-1978,121,115,718,,,,,,
B40A0406,003,27-10-1978,125,119,714,,,,,,
B40A0406,003,14-11-1978,134,128,705,,,,,,
B40A0406,003,28-11-1978,141,135,698,,,,,,
B40A0406,003,14-12-1978,134,128,705,,,,,,
B40A0406,003,28-12-1978,90,84,749,,,,,,
B40A0406,003,15-01-1979,106,100,733,,,,,,
B40A0406,003,29-01-1979,129,123,710,,,,,,
B40A0406,003,14-02-1979,82,76,757,,,,,,
B40A0406,003,28-02-1979,116,110,723,,,,,,
B40A0406,003,14-03-1979,93,87,746,,,,,,
B40A0406,003,28-03-1979,102,96,737,,,,,,
B40A0406,003,13-04-1979,125,119,714,,,,,,
B40A0406,003,27-04-1979,109,103,730,,,,,,
B40A0406,003,14-05-1979,98,92,741,,,,,,
B40A0406,003,28-05-1979,105,99,734,,,,,,
B40A0406,003,14-06-1979,101,95,738,,,,,,
B40A0406,003,28-06-1979,119,113,720,,,,,,
B40A0406,003,13-07-1979,129,123,710,,,,,,
B40A0406,003,27-07-1979,122,116,717,,,,,,
B40A0406,003,14-08-1979,117,111,722,,,,,,
B40A0406,003,28-08-1979,122,116,717,,,,,,
B40A0406,003,14-09-1979,127,121,712,,,,,,
B40A0406,003,28-09-1979,125,119,714,,,,,,
B40A0406,003,15-10-1979,116,110,723,,,,,,
B40A0406,003,29-10-1979,127,121,712,,,,,,
B40A0406,003,14-11-1979,123,117,716,,,,,,
B40A0406,003,28-11-1979,134,128,705,,,,,,
B40A0406,003,14-12-1979,94,88,745,,,,,,
B40A0406,003,28-12-1979,102,96,737,,,,,,
B40A0406,003,14-01-1980,114,108,725,,,,,,
B40A0406,003,28-01-1980,127,121,712,,,,,,
B40A0406,003,14-02-1980,101,95,738,,,,,,
B40A0406,003,28-02-1980,130,124,709,,,,,,
B40A0406,003,14-03-1980,96,90,743,,,,,,
B40A0406,003,28-03-1980,130,124,709,,,,,,
B40A0406,003,14-04-1980,120,114,719,,,,,,
B40A0406,003,28-04-1980,106,100,733,,,,,,
B40A0406,003,14-05-1980,117,111,722,,,,,,
B40A0406,003,28-05-1980,122,116,717,,,,,,
B40A0406,003,13-06-1980,123,117,716,,,,,,
B40A0406,003,27-06-1980,118,112,721,,,,,,
B40A0406,003,14-07-1980,78,72,761,,,,,,
B40A0406,003,28-07-1980,90,84,749,,,,,,
B40A0406,003,13-08-1980,123,117,716,,,,,,
B40A0406,003,28-08-1980,139,133,700,,,,,,
B40A0406,003,15-09-1980,107,101,732,,,,,,
B40A0406,003,30-09-1980,122,116,717,,,,,,
B40A0406,003,14-10-1980,120,114,719,,,,,,
B40A0406,003,28-10-1980,123,117,716,,,,,,
B40A0406,003,14-11-1980,117,111,722,,,,,,
B40A0406,003,28-11-1980,108,102,731,,,,,,
B40A0406,003,15-12-1980,110,104,729,,,,,,
B40A0406,003,29-12-1980,108,102,731,,,,,,
B40A0406,003,14-01-1981,101,95,738,,,,,,
B40A0406,003,28-01-1981,108,102,731,,,,,,
