Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0423,002,40AP0423,182110,441080,1048,,1118,-1452,-1652,1977/04/14,1990/09/18
B40A0423,002,40AP0423,182110,441080,1048,,1117,-1452,-1652,1990/09/18,2003/06/25
B40A0423,002,40AP0423,182110,441080,1048,,1181,-1452,-1652,2003/06/25,2015/10/07
B40A0423,002,40AP0423,182110,441080,1048,,1182,-1452,-1652,2015/10/07,2019/10/17

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0423,002,1977/05/27 00:00:00,343,
B40A0423,002,1977/06/14 00:00:00,389,
B40A0423,002,1977/06/28 00:00:00,361,
B40A0423,002,1977/07/14 00:00:00,396,
B40A0423,002,1977/07/28 00:00:00,388,
B40A0423,002,1977/08/15 00:00:00,362,
B40A0423,002,1977/08/29 00:00:00,332,
B40A0423,002,1977/09/28 00:00:00,434,
B40A0423,002,1977/10/14 00:00:00,433,
B40A0423,002,1977/11/14 00:00:00,384,
B40A0423,002,1977/11/28 00:00:00,254,
B40A0423,002,1977/12/14 00:00:00,330,
B40A0423,002,1977/12/28 00:00:00,362,
B40A0423,002,1978/01/12 00:00:00,324,
B40A0423,002,1978/01/27 00:00:00,378,
B40A0423,002,1978/02/14 00:00:00,352,
B40A0423,002,1978/02/28 00:00:00,223,
B40A0423,002,1978/03/14 00:00:00,301,
B40A0423,002,1978/03/28 00:00:00,143,
B40A0423,002,1978/04/14 00:00:00,312,
B40A0423,002,1978/04/28 00:00:00,370,
B40A0423,002,1978/05/16 00:00:00,312,
B40A0423,002,1978/05/29 00:00:00,134,
B40A0423,002,1978/06/14 00:00:00,312,
B40A0423,002,1978/06/28 00:00:00,325,
B40A0423,002,1978/07/14 00:00:00,244,
B40A0423,002,1978/07/28 00:00:00,331,
B40A0423,002,1978/08/14 00:00:00,263,
B40A0423,002,1978/08/28 00:00:00,377,
B40A0423,002,1978/09/14 00:00:00,416,
B40A0423,002,1978/09/28 00:00:00,430,
B40A0423,002,1978/10/13 00:00:00,414,
B40A0423,002,1978/10/27 00:00:00,432,
B40A0423,002,1978/11/14 00:00:00,436,
B40A0423,002,1978/11/28 00:00:00,436,
B40A0423,002,1978/12/14 00:00:00,424,
B40A0423,002,1978/12/28 00:00:00,388,
B40A0423,002,1979/01/15 00:00:00,357,
B40A0423,002,1979/01/29 00:00:00,396,
B40A0423,002,1979/02/14 00:00:00,162,
B40A0423,002,1979/02/28 00:00:00,309,
B40A0423,002,1979/03/14 00:00:00,185,
B40A0423,002,1979/03/28 00:00:00,240,
B40A0423,002,1979/04/13 00:00:00,296,
B40A0423,002,1979/04/27 00:00:00,306,
B40A0423,002,1979/05/14 00:00:00,327,
B40A0423,002,1979/05/28 00:00:00,309,
B40A0423,002,1979/06/14 00:00:00,316,
B40A0423,002,1979/06/28 00:00:00,330,
B40A0423,002,1979/07/13 00:00:00,395,
B40A0423,002,1979/07/27 00:00:00,420,
B40A0423,002,1979/08/14 00:00:00,419,
B40A0423,002,1979/08/28 00:00:00,414,
B40A0423,002,1979/09/14 00:00:00,510,
B40A0423,002,1979/09/28 00:00:00,438,
B40A0423,002,1979/10/15 00:00:00,436,
B40A0423,002,1979/10/29 00:00:00,442,
B40A0423,002,1979/11/14 00:00:00,280,
B40A0423,002,1979/11/28 00:00:00,385,
B40A0423,002,1979/12/14 00:00:00,194,
B40A0423,002,1979/12/28 00:00:00,275,
B40A0423,002,1980/01/14 00:00:00,268,
B40A0423,002,1980/01/28 00:00:00,330,
B40A0423,002,1980/02/14 00:00:00,125,
B40A0423,002,1980/02/28 00:00:00,331,
B40A0423,002,1980/03/14 00:00:00,359,
B40A0423,002,1980/03/28 00:00:00,415,
B40A0423,002,1980/04/14 00:00:00,338,
B40A0423,002,1980/04/28 00:00:00,348,
B40A0423,002,1980/05/14 00:00:00,341,
B40A0423,002,1980/05/28 00:00:00,403,
B40A0423,002,1980/06/13 00:00:00,354,
B40A0423,002,1980/06/27 00:00:00,334,
B40A0423,002,1980/07/14 00:00:00,200,
B40A0423,002,1980/07/28 00:00:00,220,
B40A0423,002,1980/08/13 00:00:00,322,
B40A0423,002,1980/08/28 00:00:00,352,
B40A0423,002,1980/09/15 00:00:00,390,
B40A0423,002,1980/09/30 00:00:00,429,
B40A0423,002,1980/10/14 00:00:00,425,
B40A0423,002,1980/10/28 00:00:00,366,
B40A0423,002,1980/11/14 00:00:00,428,
B40A0423,002,1980/11/28 00:00:00,397,
B40A0423,002,1980/12/15 00:00:00,362,
B40A0423,002,1980/12/29 00:00:00,296,
B40A0423,002,1981/01/14 00:00:00,286,
B40A0423,002,1981/01/28 00:00:00,303,
B40A0423,002,1981/02/13 00:00:00,178,
B40A0423,002,1981/02/27 00:00:00,362,
B40A0423,002,1981/03/13 00:00:00,147,
B40A0423,002,1981/03/27 00:00:00,240,
B40A0423,002,1981/04/14 00:00:00,302,
B40A0423,002,1981/04/28 00:00:00,343,
