Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0440,003,40AP0440,188200,437900,886,,857,-4786,-4886,1978/10/29,1991/04/12
B40A0440,003,40AP0440,188200,437900,886,,900,-4786,-4886,1991/04/12,1994/03/01
B40A0440,003,40AP0440,188200,437900,886,,905,-4786,-4886,1994/03/01,1996/08/27
B40A0440,003,40AP0440,188200,437900,886,,866,-4786,-4886,1996/08/27,1999/07/19
B40A0440,003,40AP0440,188200,437900,890,,865,-4786,-4886,1999/07/19,2002/05/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0440,003,1978/11/29 00:00:00,152,
B40A0440,003,1978/12/28 00:00:00,92,
B40A0440,003,1979/01/15 00:00:00,113,
B40A0440,003,1979/01/29 00:00:00,134,
B40A0440,003,1979/02/15 00:00:00,89,
B40A0440,003,1979/02/28 00:00:00,109,
B40A0440,003,1979/03/14 00:00:00,89,
B40A0440,003,1979/03/28 00:00:00,89,
B40A0440,003,1979/04/17 00:00:00,107,
B40A0440,003,1979/04/27 00:00:00,114,
B40A0440,003,1979/05/14 00:00:00,99,
B40A0440,003,1979/05/28 00:00:00,112,
B40A0440,003,1979/06/14 00:00:00,104,
B40A0440,003,1979/06/28 00:00:00,112,
B40A0440,003,1979/07/13 00:00:00,109,
B40A0440,003,1979/07/28 00:00:00,99,
B40A0440,003,1979/08/14 00:00:00,109,
B40A0440,003,1979/08/28 00:00:00,109,
B40A0440,003,1979/09/15 00:00:00,89,
B40A0440,003,1979/09/28 00:00:00,121,
B40A0440,003,1979/10/14 00:00:00,119,
B40A0440,003,1979/10/29 00:00:00,129,
B40A0440,003,1979/11/14 00:00:00,97,
