Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0589,001,40AB0011,180900,441400,851,,821,,-979,1953/06/29,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0589,001,1953/06/29 00:00:00,41,
B40A0589,001,1953/07/14 00:00:00,78,
B40A0589,001,1953/07/28 00:00:00,125,
B40A0589,001,1953/08/14 00:00:00,179,
B40A0589,001,1953/08/28 00:00:00,230,
B40A0589,001,1953/09/14 00:00:00,237,
B40A0589,001,1953/09/28 00:00:00,271,
B40A0589,001,1953/10/14 00:00:00,278,
B40A0589,001,1953/10/28 00:00:00,303,
B40A0589,001,1953/11/14 00:00:00,330,
B40A0589,001,1953/11/28 00:00:00,321,
B40A0589,001,1953/12/28 00:00:00,258,
B40A0589,001,1954/02/15 00:00:00,114,
B40A0589,001,1954/03/01 00:00:00,205,
B40A0589,001,1954/03/15 00:00:00,180,
B40A0589,001,1954/03/29 00:00:00,170,
B40A0589,001,1954/04/14 00:00:00,213,
B40A0589,001,1954/04/28 00:00:00,244,
B40A0589,001,1954/05/14 00:00:00,261,
B40A0589,001,1954/06/14 00:00:00,214,
B40A0589,001,1954/06/28 00:00:00,213,
B40A0589,001,1954/07/14 00:00:00,124,
B40A0589,001,1954/07/28 00:00:00,134,
B40A0589,001,1954/08/14 00:00:00,169,
B40A0589,001,1954/08/28 00:00:00,54,
B40A0589,001,1954/09/28 00:00:00,107,
B40A0589,001,1954/10/14 00:00:00,67,
B40A0589,001,1954/10/28 00:00:00,132,
B40A0589,001,1954/11/15 00:00:00,161,
B40A0589,001,1954/11/29 00:00:00,194,
B40A0589,001,1954/12/28 00:00:00,30,
B40A0589,001,1955/02/28 00:00:00,155,
B40A0589,001,1955/03/14 00:00:00,135,
B40A0589,001,1955/03/28 00:00:00,30,
B40A0589,001,1955/04/14 00:00:00,126,
B40A0589,001,1955/04/28 00:00:00,196,
B40A0589,001,1955/05/14 00:00:00,176,
B40A0589,001,1955/05/28 00:00:00,139,
B40A0589,001,1955/06/14 00:00:00,63,
B40A0589,001,1955/07/28 00:00:00,124,
B40A0589,001,1955/08/14 00:00:00,147,
B40A0589,001,1955/08/29 00:00:00,214,
B40A0589,001,1955/09/14 00:00:00,189,
B40A0589,001,1955/09/28 00:00:00,237,
B40A0589,001,1955/10/14 00:00:00,236,
B40A0589,001,1955/10/28 00:00:00,260,
B40A0589,001,1955/11/14 00:00:00,246,
B40A0589,001,1955/12/28 00:00:00,163,
B40A0589,001,1956/03/14 00:00:00,96,
B40A0589,001,1956/04/14 00:00:00,192,
B40A0589,001,1956/04/28 00:00:00,148,
B40A0589,001,1956/05/14 00:00:00,208,
B40A0589,001,1956/05/28 00:00:00,157,
B40A0589,001,1956/06/14 00:00:00,94,
B40A0589,001,1956/07/28 00:00:00,104,
B40A0589,001,1956/08/14 00:00:00,101,
B40A0589,001,1956/08/28 00:00:00,74,
B40A0589,001,1956/09/14 00:00:00,115,
B40A0589,001,1956/09/28 00:00:00,138,
B40A0589,001,1956/10/28 00:00:00,166,
B40A0589,001,1957/04/29 00:00:00,179,
B40A0589,001,1957/10/14 00:00:00,184,
B40A0589,001,1958/04/28 00:00:00,116,
B40A0589,001,1958/10/14 00:00:00,231,
B40A0589,001,1959/04/28 00:00:00,189,
B40A0589,001,1959/10/14 00:00:00,340,
B40A0589,001,1960/04/28 00:00:00,264,
B40A0589,001,1960/10/14 00:00:00,91,
B40A0589,001,1961/04/28 00:00:00,166,
B40A0589,001,1961/10/13 00:00:00,355,
B40A0589,001,1962/04/27 00:00:00,80,
B40A0589,001,1962/08/28 00:00:00,138,
B40A0589,001,1962/10/15 00:00:00,310,
B40A0589,001,1962/12/14 00:00:00,327,
B40A0589,001,1963/04/29 00:00:00,278,
B40A0589,001,1963/08/28 00:00:00,281,
B40A0589,001,1963/10/14 00:00:00,358,
B40A0589,001,1963/12/13 00:00:00,306,
B40A0589,001,1964/04/28 00:00:00,211,
B40A0589,001,1964/08/28 00:00:00,314,
B40A0589,001,1964/10/14 00:00:00,301,
B40A0589,001,1964/12/14 00:00:00,174,
B40A0589,001,1965/04/28 00:00:00,5,
B40A0589,001,1965/08/27 00:00:00,167,
B40A0589,001,1965/10/14 00:00:00,204,
B40A0589,001,1965/12/14 00:00:00,30,
B40A0589,001,1966/04/28 00:00:00,30,
B40A0589,001,1966/08/29 00:00:00,92,
B40A0589,001,1966/10/14 00:00:00,257,
B40A0589,001,1966/12/14 00:00:00,30,
B40A0589,001,1967/04/28 00:00:00,269,
B40A0589,001,1967/08/28 00:00:00,201,
B40A0589,001,1967/10/13 00:00:00,218,
B40A0589,001,1967/12/14 00:00:00,182,
B40A0589,001,1968/04/29 00:00:00,71,
B40A0589,001,1968/08/28 00:00:00,121,
B40A0589,001,1968/10/15 00:00:00,30,
B40A0589,001,1968/12/13 00:00:00,229,
B40A0589,001,1969/04/28 00:00:00,,O
B40A0589,001,1969/08/28 00:00:00,91,
B40A0589,001,1969/10/14 00:00:00,276,
B40A0589,001,1970/04/28 00:00:00,31,
B40A0589,001,1970/08/28 00:00:00,133,
B40A0589,001,1970/10/14 00:00:00,198,
B40A0589,001,1970/12/14 00:00:00,215,
B40A0589,001,1971/04/28 00:00:00,216,
B40A0589,001,1971/08/27 00:00:00,238,
B40A0589,001,1971/10/14 00:00:00,261,
B40A0589,001,1971/12/14 00:00:00,254,
B40A0589,001,1972/04/28 00:00:00,266,
B40A0589,001,1972/08/28 00:00:00,228,
B40A0589,001,1972/10/13 00:00:00,246,
B40A0589,001,1973/04/30 00:00:00,121,
B40A0589,001,1973/08/28 00:00:00,248,
B40A0589,001,1973/10/15 00:00:00,203,
B40A0589,001,1973/12/14 00:00:00,67,
B40A0589,001,1974/01/28 00:00:00,185,
B40A0589,001,1974/04/28 00:00:00,245,
B40A0589,001,1974/08/28 00:00:00,277,
B40A0589,001,1974/10/14 00:00:00,187,
B40A0589,001,1974/12/13 00:00:00,,O
B40A0589,001,1975/04/29 00:00:00,145,
B40A0589,001,1975/08/28 00:00:00,182,
B40A0589,001,1975/10/28 00:00:00,240,
B40A0589,001,1975/12/28 00:00:00,233,
B40A0589,001,1976/04/27 00:00:00,220,
B40A0589,001,1976/09/14 00:00:00,273,
B40A0589,001,1976/10/28 00:00:00,228,
B40A0589,001,1976/12/24 00:00:00,255,
B40A0589,001,1977/04/28 00:00:00,118,
B40A0589,001,1977/08/29 00:00:00,159,
B40A0589,001,1977/10/28 00:00:00,250,
B40A0589,001,1977/12/14 00:00:00,230,
B40A0589,001,1978/04/28 00:00:00,190,
