Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0592,001,40AB0017,182780,438330,799,,800,,188,1959/10/28,1960/09/14
B40A0592,001,40AB0017,182780,438330,799,,813,,188,1960/09/14,1976/07/14
B40A0592,001,40AB0017,182780,438330,799,,800,,188,1976/07/14,1978/01/01
B40A0592,001,40AB0017,182780,438330,799,,794,,188,1978/01/01,1998/05/01
B40A0592,001,40AB0017,182780,438330,799,,796,,188,1998/05/01,2003/12/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0592,001,1959/10/28 00:00:00,178,
B40A0592,001,1959/11/14 00:00:00,185,
B40A0592,001,1959/11/28 00:00:00,188,
B40A0592,001,1959/12/14 00:00:00,201,
B40A0592,001,1959/12/28 00:00:00,203,
B40A0592,001,1960/01/14 00:00:00,210,
B40A0592,001,1960/01/28 00:00:00,185,
B40A0592,001,1960/02/15 00:00:00,168,
B40A0592,001,1960/02/28 00:00:00,127,
B40A0592,001,1960/03/14 00:00:00,148,
B40A0592,001,1960/03/28 00:00:00,131,
B40A0592,001,1960/04/14 00:00:00,137,
B40A0592,001,1960/05/14 00:00:00,162,
B40A0592,001,1960/05/28 00:00:00,114,
B40A0592,001,1960/06/14 00:00:00,122,
B40A0592,001,1960/06/28 00:00:00,134,
B40A0592,001,1960/07/14 00:00:00,118,
B40A0592,001,1960/07/28 00:00:00,116,
B40A0592,001,1960/08/14 00:00:00,96,
B40A0592,001,1960/08/29 00:00:00,107,
B40A0592,001,1960/09/14 00:00:00,105,
B40A0592,001,1960/09/28 00:00:00,102,
B40A0592,001,1960/10/28 00:00:00,44,
B40A0592,001,1960/11/14 00:00:00,48,
B40A0592,001,1960/11/28 00:00:00,35,
B40A0592,001,1960/12/14 00:00:00,81,
B40A0592,001,1960/12/28 00:00:00,107,
B40A0592,001,1961/01/14 00:00:00,103,
B40A0592,001,1961/01/28 00:00:00,109,
B40A0592,001,1961/02/14 00:00:00,88,
B40A0592,001,1961/02/28 00:00:00,80,
B40A0592,001,1961/03/14 00:00:00,90,
B40A0592,001,1961/03/28 00:00:00,136,
B40A0592,001,1961/04/14 00:00:00,131,
B40A0592,001,1961/04/28 00:00:00,136,
B40A0592,001,1961/05/15 00:00:00,104,
B40A0592,001,1961/05/29 00:00:00,110,
B40A0592,001,1961/06/14 00:00:00,104,
B40A0592,001,1961/06/28 00:00:00,115,
B40A0592,001,1961/07/14 00:00:00,118,
B40A0592,001,1961/07/28 00:00:00,128,
B40A0592,001,1961/08/14 00:00:00,122,
B40A0592,001,1961/08/28 00:00:00,144,
B40A0592,001,1961/09/14 00:00:00,96,
B40A0592,001,1961/09/28 00:00:00,95,
B40A0592,001,1961/10/13 00:00:00,99,
B40A0592,001,1961/10/28 00:00:00,97,
B40A0592,001,1961/11/14 00:00:00,96,
B40A0592,001,1961/11/28 00:00:00,89,
B40A0592,001,1961/12/14 00:00:00,75,
B40A0592,001,1961/12/28 00:00:00,113,
B40A0592,001,1962/01/15 00:00:00,87,
B40A0592,001,1962/01/28 00:00:00,95,
B40A0592,001,1962/02/28 00:00:00,109,
B40A0592,001,1962/03/14 00:00:00,113,
B40A0592,001,1962/03/28 00:00:00,115,
B40A0592,001,1962/04/14 00:00:00,99,
B40A0592,001,1962/04/27 00:00:00,117,
B40A0592,001,1962/05/14 00:00:00,113,
B40A0592,001,1962/05/28 00:00:00,118,
B40A0592,001,1962/06/14 00:00:00,101,
B40A0592,001,1962/06/28 00:00:00,112,
B40A0592,001,1962/07/14 00:00:00,117,
B40A0592,001,1962/07/28 00:00:00,120,
B40A0592,001,1962/08/14 00:00:00,124,
B40A0592,001,1962/08/28 00:00:00,133,
B40A0592,001,1962/09/14 00:00:00,120,
B40A0592,001,1962/09/28 00:00:00,138,
B40A0592,001,1962/10/15 00:00:00,147,
B40A0592,001,1962/10/28 00:00:00,155,
B40A0592,001,1962/11/14 00:00:00,160,
B40A0592,001,1962/12/14 00:00:00,122,
B40A0592,001,1963/03/14 00:00:00,81,
B40A0592,001,1963/03/28 00:00:00,125,
B40A0592,001,1963/04/14 00:00:00,128,
B40A0592,001,1963/04/29 00:00:00,121,
B40A0592,001,1963/05/14 00:00:00,149,
B40A0592,001,1963/05/28 00:00:00,155,
B40A0592,001,1963/06/14 00:00:00,153,
B40A0592,001,1963/06/28 00:00:00,124,
B40A0592,001,1963/07/14 00:00:00,130,
B40A0592,001,1963/07/28 00:00:00,138,
B40A0592,001,1963/08/14 00:00:00,138,
B40A0592,001,1963/08/28 00:00:00,145,
B40A0592,001,1963/09/14 00:00:00,139,
B40A0592,001,1963/09/28 00:00:00,119,
B40A0592,001,1963/10/14 00:00:00,122,
B40A0592,001,1963/10/28 00:00:00,125,
B40A0592,001,1963/11/14 00:00:00,115,
B40A0592,001,1963/11/28 00:00:00,112,
B40A0592,001,1963/12/13 00:00:00,147,
B40A0592,001,1963/12/23 00:00:00,122,
B40A0592,001,1964/01/14 00:00:00,133,
B40A0592,001,1964/01/28 00:00:00,159,
B40A0592,001,1964/02/14 00:00:00,146,
B40A0592,001,1964/02/28 00:00:00,130,
B40A0592,001,1964/03/14 00:00:00,151,
B40A0592,001,1964/03/28 00:00:00,143,
B40A0592,001,1964/04/14 00:00:00,138,
B40A0592,001,1964/04/28 00:00:00,131,
B40A0592,001,1964/05/14 00:00:00,164,
B40A0592,001,1964/05/28 00:00:00,171,
B40A0592,001,1964/06/14 00:00:00,136,
B40A0592,001,1964/06/28 00:00:00,143,
B40A0592,001,1964/07/14 00:00:00,143,
B40A0592,001,1964/07/28 00:00:00,188,
B40A0592,001,1964/08/14 00:00:00,218,
B40A0592,001,1964/08/28 00:00:00,164,
B40A0592,001,1964/09/14 00:00:00,168,
B40A0592,001,1964/09/28 00:00:00,166,
B40A0592,001,1964/10/14 00:00:00,154,
B40A0592,001,1964/10/28 00:00:00,171,
B40A0592,001,1964/11/14 00:00:00,180,
B40A0592,001,1964/11/28 00:00:00,168,
B40A0592,001,1964/12/14 00:00:00,93,
B40A0592,001,1964/12/28 00:00:00,100,
B40A0592,001,1965/01/14 00:00:00,90,
B40A0592,001,1965/01/28 00:00:00,108,
B40A0592,001,1965/02/15 00:00:00,123,
B40A0592,001,1965/02/28 00:00:00,134,
B40A0592,001,1965/03/14 00:00:00,123,
B40A0592,001,1965/03/28 00:00:00,114,
B40A0592,001,1965/04/14 00:00:00,110,
B40A0592,001,1965/04/28 00:00:00,92,
B40A0592,001,1965/05/14 00:00:00,95,
B40A0592,001,1965/05/28 00:00:00,118,
B40A0592,001,1965/06/14 00:00:00,114,
B40A0592,001,1965/06/28 00:00:00,115,
B40A0592,001,1965/07/14 00:00:00,51,
B40A0592,001,1965/07/28 00:00:00,47,
B40A0592,001,1965/08/14 00:00:00,65,
B40A0592,001,1965/08/27 00:00:00,148,
B40A0592,001,1965/09/14 00:00:00,89,
B40A0592,001,1965/09/28 00:00:00,101,
B40A0592,001,1965/10/14 00:00:00,136,
B40A0592,001,1965/10/28 00:00:00,120,
B40A0592,001,1965/11/14 00:00:00,124,
B40A0592,001,1965/11/28 00:00:00,116,
B40A0592,001,1965/12/14 00:00:00,74,
B40A0592,001,1965/12/28 00:00:00,75,
B40A0592,001,1966/01/14 00:00:00,64,
B40A0592,001,1966/01/28 00:00:00,70,
B40A0592,001,1966/02/14 00:00:00,62,
B40A0592,001,1966/02/28 00:00:00,78,
B40A0592,001,1966/03/14 00:00:00,79,
B40A0592,001,1966/03/28 00:00:00,76,
B40A0592,001,1966/04/14 00:00:00,86,
B40A0592,001,1966/04/28 00:00:00,86,
B40A0592,001,1966/05/13 00:00:00,76,
B40A0592,001,1966/05/31 00:00:00,123,
