Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0605,001,40AP0026,183385,439850,780,,871,,-220,1968/04/29,1974/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0605,001,1968/04/29 00:00:00,99,
B40A0605,001,1968/06/28 00:00:00,84,
B40A0605,001,1968/08/28 00:00:00,97,
B40A0605,001,1968/10/15 00:00:00,59,
B40A0605,001,1968/12/16 00:00:00,114,
B40A0605,001,1969/02/14 00:00:00,89,
B40A0605,001,1969/04/28 00:00:00,64,
B40A0605,001,1969/06/26 00:00:00,99,
B40A0605,001,1969/08/28 00:00:00,105,
B40A0605,001,1969/10/14 00:00:00,134,
B40A0605,001,1969/12/15 00:00:00,131,
B40A0605,001,1970/04/28 00:00:00,74,
B40A0605,001,1970/06/26 00:00:00,119,
B40A0605,001,1970/08/28 00:00:00,115,
B40A0605,001,1970/10/14 00:00:00,104,
B40A0605,001,1970/12/17 00:00:00,94,
B40A0605,001,1971/02/15 00:00:00,96,
B40A0605,001,1971/04/28 00:00:00,228,
B40A0605,001,1971/08/27 00:00:00,140,
B40A0605,001,1971/10/14 00:00:00,134,
B40A0605,001,1971/12/14 00:00:00,128,
B40A0605,001,1972/04/28 00:00:00,103,
B40A0605,001,1972/07/28 00:00:00,321,
B40A0605,001,1972/08/28 00:00:00,349,
B40A0605,001,1972/10/13 00:00:00,381,
B40A0605,001,1972/12/14 00:00:00,317,
B40A0605,001,1973/04/27 00:00:00,264,
B40A0605,001,1973/08/28 00:00:00,146,
B40A0605,001,1973/10/15 00:00:00,128,
B40A0605,001,1973/12/14 00:00:00,54,
B40A0605,001,1974/04/29 00:00:00,82,
B40A0605,001,1974/08/28 00:00:00,209,
B40A0605,001,1974/10/14 00:00:00,103,
