Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0622,001,40AL0009,188220,442680,1006,,1000,720,620,1979/11/14,1999/07/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0622,001,1979/11/14 00:00:00,108,
B40A0622,001,1979/11/29 00:00:00,154,
B40A0622,001,1979/12/14 00:00:00,6,
B40A0622,001,1979/12/28 00:00:00,6,
B40A0622,001,1980/02/14 00:00:00,,O
B40A0622,001,1980/04/01 00:00:00,158,
B40A0622,001,1980/05/14 00:00:00,163,
B40A0622,001,1980/05/28 00:00:00,161,
B40A0622,001,1980/06/16 00:00:00,167,
B40A0622,001,1980/06/30 00:00:00,164,
B40A0622,001,1980/07/14 00:00:00,108,
B40A0622,001,1980/07/28 00:00:00,6,
B40A0622,001,1980/08/14 00:00:00,158,
B40A0622,001,1980/08/29 00:00:00,171,
B40A0622,001,1980/09/15 00:00:00,167,
B40A0622,001,1980/09/28 00:00:00,126,
B40A0622,001,1980/10/14 00:00:00,153,
B40A0622,001,1980/10/28 00:00:00,169,
B40A0622,001,1980/11/14 00:00:00,146,
B40A0622,001,1980/11/28 00:00:00,160,
B40A0622,001,1980/12/14 00:00:00,158,
B40A0622,001,1980/12/29 00:00:00,120,
B40A0622,001,1981/01/15 00:00:00,68,
B40A0622,001,1981/01/28 00:00:00,138,
B40A0622,001,1981/02/13 00:00:00,6,
B40A0622,001,1981/02/27 00:00:00,153,
B40A0622,001,1981/03/16 00:00:00,6,
B40A0622,001,1981/03/30 00:00:00,41,
B40A0622,001,1981/04/15 00:00:00,139,
B40A0622,001,1981/04/28 00:00:00,163,
B40A0622,001,1981/05/15 00:00:00,164,
B40A0622,001,1981/05/27 00:00:00,151,
B40A0622,001,1981/06/15 00:00:00,134,
B40A0622,001,1981/06/30 00:00:00,167,
B40A0622,001,1981/07/14 00:00:00,162,
B40A0622,001,1981/07/28 00:00:00,145,
B40A0622,001,1981/08/14 00:00:00,132,
B40A0622,001,1981/08/28 00:00:00,167,
B40A0622,001,1981/09/14 00:00:00,146,
B40A0622,001,1981/09/28 00:00:00,150,
B40A0622,001,1981/10/14 00:00:00,132,
B40A0622,001,1981/10/28 00:00:00,47,
B40A0622,001,1981/11/14 00:00:00,136,
B40A0622,001,1981/11/28 00:00:00,125,
B40A0622,001,1981/12/14 00:00:00,6,
B40A0622,001,1981/12/28 00:00:00,50,
B40A0622,001,1982/01/14 00:00:00,6,
B40A0622,001,1982/01/28 00:00:00,106,
B40A0622,001,1982/02/16 00:00:00,106,
B40A0622,001,1982/03/01 00:00:00,155,
B40A0622,001,1982/03/17 00:00:00,114,
B40A0622,001,1982/03/29 00:00:00,148,
B40A0622,001,1982/04/16 00:00:00,136,
B40A0622,001,1982/04/28 00:00:00,172,
B40A0622,001,1982/05/13 00:00:00,167,
B40A0622,001,1982/06/01 00:00:00,168,
B40A0622,001,1982/06/14 00:00:00,167,
B40A0622,001,1982/06/28 00:00:00,150,
B40A0622,001,1982/07/15 00:00:00,168,
B40A0622,001,1982/08/17 00:00:00,182,
B40A0622,001,1982/08/27 00:00:00,173,
B40A0622,001,1982/09/15 00:00:00,156,
B40A0622,001,1982/09/28 00:00:00,152,
B40A0622,001,1982/10/15 00:00:00,156,
B40A0622,001,1982/10/28 00:00:00,150,
B40A0622,001,1982/11/14 00:00:00,144,
B40A0622,001,1982/11/28 00:00:00,169,
B40A0622,001,1982/12/14 00:00:00,98,
B40A0622,001,1982/12/28 00:00:00,6,
B40A0622,001,1983/01/28 00:00:00,126,
B40A0622,001,1983/02/18 00:00:00,143,
B40A0622,001,1983/03/01 00:00:00,152,
B40A0622,001,1983/03/14 00:00:00,152,
B40A0622,001,1983/04/15 00:00:00,6,
B40A0622,001,1983/04/28 00:00:00,73,
B40A0622,001,1983/05/27 00:00:00,47,
B40A0622,001,1983/06/14 00:00:00,106,
B40A0622,001,1983/06/30 00:00:00,153,
B40A0622,001,1983/07/15 00:00:00,170,
B40A0622,001,1983/09/29 00:00:00,143,
B40A0622,001,1983/10/28 00:00:00,168,
B40A0622,001,1983/11/28 00:00:00,199,
B40A0622,001,1983/12/28 00:00:00,159,
B40A0622,001,1984/01/28 00:00:00,96,
B40A0622,001,1984/02/28 00:00:00,166,
B40A0622,001,1984/03/28 00:00:00,154,
B40A0622,001,1984/04/28 00:00:00,162,
B40A0622,001,1984/05/28 00:00:00,135,
B40A0622,001,1984/06/28 00:00:00,181,
B40A0622,001,1984/07/28 00:00:00,158,
B40A0622,001,1984/08/28 00:00:00,159,
B40A0622,001,1984/09/28 00:00:00,163,
B40A0622,001,1984/10/28 00:00:00,156,
B40A0622,001,1984/11/28 00:00:00,6,
B40A0622,001,1984/12/28 00:00:00,180,
B40A0622,001,1985/01/28 00:00:00,123,
B40A0622,001,1985/02/28 00:00:00,156,
B40A0622,001,1985/03/28 00:00:00,168,
B40A0622,001,1985/04/28 00:00:00,178,
B40A0622,001,1985/05/28 00:00:00,146,
B40A0622,001,1985/06/28 00:00:00,155,
B40A0622,001,1985/07/28 00:00:00,162,
B40A0622,001,1985/08/28 00:00:00,156,
B40A0622,001,1985/09/28 00:00:00,164,
B40A0622,001,1985/10/28 00:00:00,230,
B40A0622,001,1985/11/28 00:00:00,206,
B40A0622,001,1985/12/30 00:00:00,154,
B40A0622,001,1986/01/28 00:00:00,6,
B40A0622,001,1986/02/28 00:00:00,210,
B40A0622,001,1986/03/28 00:00:00,66,
B40A0622,001,1986/04/28 00:00:00,79,
B40A0622,001,1986/05/28 00:00:00,151,
B40A0622,001,1986/06/28 00:00:00,176,
B40A0622,001,1986/07/28 00:00:00,176,
B40A0622,001,1986/08/28 00:00:00,179,
B40A0622,001,1986/09/28 00:00:00,168,
B40A0622,001,1986/10/28 00:00:00,150,
B40A0622,001,1986/11/28 00:00:00,171,
B40A0622,001,1986/12/28 00:00:00,144,
B40A0622,001,1987/01/28 00:00:00,143,
B40A0622,001,1987/02/28 00:00:00,146,
B40A0622,001,1987/03/28 00:00:00,83,
B40A0622,001,1987/04/28 00:00:00,161,
B40A0622,001,1987/05/28 00:00:00,158,
B40A0622,001,1987/06/29 00:00:00,6,
B40A0622,001,1987/08/28 00:00:00,176,
B40A0622,001,1987/09/28 00:00:00,174,
B40A0622,001,1987/10/28 00:00:00,164,
B40A0622,001,1987/11/28 00:00:00,160,
B40A0622,001,1987/12/28 00:00:00,154,
B40A0622,001,1988/01/28 00:00:00,66,
B40A0622,001,1988/02/28 00:00:00,161,
B40A0622,001,1988/03/28 00:00:00,6,
B40A0622,001,1988/04/28 00:00:00,146,
B40A0622,001,1988/05/28 00:00:00,161,
B40A0622,001,1988/06/28 00:00:00,180,
B40A0622,001,1988/07/28 00:00:00,156,
B40A0622,001,1988/08/28 00:00:00,154,
B40A0622,001,1988/09/28 00:00:00,149,
B40A0622,001,1988/10/28 00:00:00,158,
B40A0622,001,1988/11/28 00:00:00,156,
B40A0622,001,1988/12/28 00:00:00,158,
B40A0622,001,1989/01/27 00:00:00,154,
B40A0622,001,1989/02/28 00:00:00,167,
B40A0622,001,1989/03/28 00:00:00,173,
B40A0622,001,1989/04/28 00:00:00,104,
B40A0622,001,1989/05/29 00:00:00,162,
B40A0622,001,1989/06/28 00:00:00,164,
B40A0622,001,1989/08/14 00:00:00,160,
B40A0622,001,1989/08/28 00:00:00,168,
B40A0622,001,1989/09/24 00:00:00,188,
B40A0622,001,1989/10/27 00:00:00,194,
B40A0622,001,1989/11/28 00:00:00,201,
B40A0622,001,1989/12/28 00:00:00,76,
B40A0622,001,1990/01/29 00:00:00,142,
B40A0622,001,1990/02/28 00:00:00,88,
B40A0622,001,1990/03/28 00:00:00,156,
B40A0622,001,1990/04/28 00:00:00,158,
B40A0622,001,1990/05/28 00:00:00,155,
B40A0622,001,1990/06/28 00:00:00,172,
B40A0622,001,1990/08/28 00:00:00,231,
B40A0622,001,1990/09/28 00:00:00,242,
B40A0622,001,1990/10/28 00:00:00,228,
B40A0622,001,1990/11/28 00:00:00,121,
