Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0623,001,40AL0016,187960,440130,845,,833,,,1952/10/14,1955/05/14
B40A0623,001,40AL0016,187960,440130,845,,836,,,1955/05/14,1969/01/14
B40A0623,001,40AL0016,187960,440130,845,,,,,1969/01/14,1972/10/13

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0623,001,1952/10/14 00:00:00,101,
B40A0623,001,1952/10/28 00:00:00,101,
B40A0623,001,1952/11/14 00:00:00,52,
B40A0623,001,1952/11/28 00:00:00,64,
B40A0623,001,1952/12/15 00:00:00,52,
B40A0623,001,1952/12/29 00:00:00,40,
B40A0623,001,1953/01/14 00:00:00,83,
B40A0623,001,1953/01/28 00:00:00,73,
B40A0623,001,1953/02/16 00:00:00,73,
B40A0623,001,1953/02/28 00:00:00,81,
B40A0623,001,1953/03/14 00:00:00,88,
B40A0623,001,1953/03/28 00:00:00,88,
B40A0623,001,1953/04/14 00:00:00,77,
B40A0623,001,1953/04/28 00:00:00,79,
B40A0623,001,1953/05/15 00:00:00,80,
B40A0623,001,1953/05/28 00:00:00,87,
B40A0623,001,1953/06/15 00:00:00,88,
B40A0623,001,1953/06/29 00:00:00,88,
B40A0623,001,1953/07/14 00:00:00,80,
B40A0623,001,1953/07/28 00:00:00,77,
B40A0623,001,1953/08/14 00:00:00,76,
B40A0623,001,1953/08/28 00:00:00,86,
B40A0623,001,1953/09/14 00:00:00,94,D
B40A0623,001,1953/09/28 00:00:00,92,D
B40A0623,001,1953/10/14 00:00:00,92,D
B40A0623,001,1953/10/28 00:00:00,92,D
B40A0623,001,1953/11/14 00:00:00,92,D
B40A0623,001,1953/11/28 00:00:00,116,
B40A0623,001,1953/12/14 00:00:00,122,
B40A0623,001,1953/12/28 00:00:00,79,
B40A0623,001,1954/01/14 00:00:00,65,
B40A0623,001,1954/02/20 00:00:00,154,
B40A0623,001,1954/02/28 00:00:00,93,
B40A0623,001,1954/03/14 00:00:00,89,
B40A0623,001,1954/03/28 00:00:00,102,
B40A0623,001,1954/04/14 00:00:00,86,
B40A0623,001,1954/04/27 00:00:00,104,
B40A0623,001,1954/05/14 00:00:00,98,
B40A0623,001,1954/05/28 00:00:00,77,
B40A0623,001,1954/06/14 00:00:00,66,
B40A0623,001,1954/06/28 00:00:00,100,
B40A0623,001,1954/07/16 00:00:00,78,
B40A0623,001,1954/07/28 00:00:00,46,
B40A0623,001,1954/08/13 00:00:00,45,
B40A0623,001,1954/08/27 00:00:00,57,
B40A0623,001,1954/09/14 00:00:00,78,
B40A0623,001,1954/09/28 00:00:00,46,
B40A0623,001,1954/10/13 00:00:00,62,
B40A0623,001,1954/10/28 00:00:00,55,
B40A0623,001,1954/11/15 00:00:00,44,
B40A0623,001,1954/11/28 00:00:00,56,
B40A0623,001,1954/12/13 00:00:00,39,
B40A0623,001,1954/12/28 00:00:00,87,
B40A0623,001,1955/01/28 00:00:00,60,
B40A0623,001,1955/03/28 00:00:00,64,
B40A0623,001,1955/04/14 00:00:00,68,
B40A0623,001,1955/04/27 00:00:00,90,
B40A0623,001,1955/05/14 00:00:00,67,
B40A0623,001,1955/05/31 00:00:00,80,
B40A0623,001,1955/06/15 00:00:00,93,
B40A0623,001,1955/06/28 00:00:00,67,
B40A0623,001,1955/07/14 00:00:00,95,
B40A0623,001,1955/07/28 00:00:00,109,
B40A0623,001,1955/08/12 00:00:00,67,
B40A0623,001,1955/09/01 00:00:00,95,
B40A0623,001,1955/09/14 00:00:00,98,
B40A0623,001,1955/09/28 00:00:00,102,
B40A0623,001,1955/10/14 00:00:00,94,
B40A0623,001,1955/10/28 00:00:00,51,
B40A0623,001,1955/11/14 00:00:00,93,
B40A0623,001,1955/11/28 00:00:00,95,
B40A0623,001,1955/12/14 00:00:00,71,
B40A0623,001,1955/12/28 00:00:00,40,
B40A0623,001,1956/01/13 00:00:00,24,
B40A0623,001,1957/06/14 00:00:00,91,
B40A0623,001,1957/06/28 00:00:00,98,
B40A0623,001,1957/07/15 00:00:00,94,
B40A0623,001,1957/07/29 00:00:00,98,
B40A0623,001,1957/08/14 00:00:00,92,
B40A0623,001,1957/08/28 00:00:00,87,
B40A0623,001,1957/09/14 00:00:00,29,
B40A0623,001,1957/09/28 00:00:00,40,
B40A0623,001,1957/10/14 00:00:00,87,
B40A0623,001,1957/10/28 00:00:00,91,
B40A0623,001,1957/11/14 00:00:00,90,
B40A0623,001,1957/11/28 00:00:00,88,
B40A0623,001,1957/12/14 00:00:00,69,
B40A0623,001,1957/12/28 00:00:00,85,
B40A0623,001,1958/01/14 00:00:00,59,
B40A0623,001,1958/02/14 00:00:00,59,
B40A0623,001,1958/02/28 00:00:00,59,
B40A0623,001,1958/03/14 00:00:00,74,
B40A0623,001,1958/03/29 00:00:00,82,
B40A0623,001,1958/04/14 00:00:00,88,
B40A0623,001,1958/04/28 00:00:00,70,
B40A0623,001,1958/05/14 00:00:00,67,
B40A0623,001,1958/05/28 00:00:00,74,
B40A0623,001,1958/06/14 00:00:00,84,
B40A0623,001,1958/06/28 00:00:00,79,
B40A0623,001,1958/07/14 00:00:00,83,
B40A0623,001,1958/07/28 00:00:00,52,
B40A0623,001,1958/08/14 00:00:00,70,
B40A0623,001,1958/08/28 00:00:00,67,
B40A0623,001,1958/09/15 00:00:00,84,
B40A0623,001,1958/09/29 00:00:00,79,
B40A0623,001,1958/10/14 00:00:00,71,
B40A0623,001,1958/10/28 00:00:00,79,
B40A0623,001,1958/11/14 00:00:00,65,
B40A0623,001,1958/11/28 00:00:00,78,
B40A0623,001,1958/12/15 00:00:00,70,
B40A0623,001,1958/12/29 00:00:00,38,
B40A0623,001,1959/01/14 00:00:00,39,
B40A0623,001,1959/01/28 00:00:00,39,
B40A0623,001,1959/02/14 00:00:00,60,
B40A0623,001,1959/03/02 00:00:00,85,
B40A0623,001,1959/03/16 00:00:00,82,
B40A0623,001,1959/03/31 00:00:00,61,
B40A0623,001,1959/04/14 00:00:00,81,
B40A0623,001,1959/04/28 00:00:00,84,
B40A0623,001,1959/05/14 00:00:00,86,
B40A0623,001,1959/05/28 00:00:00,105,
B40A0623,001,1959/06/14 00:00:00,89,
B40A0623,001,1959/06/29 00:00:00,87,
B40A0623,001,1959/07/14 00:00:00,86,
B40A0623,001,1959/07/28 00:00:00,132,
B40A0623,001,1959/08/14 00:00:00,92,
B40A0623,001,1959/08/28 00:00:00,96,
B40A0623,001,1959/09/14 00:00:00,96,
B40A0623,001,1959/09/28 00:00:00,101,D
B40A0623,001,1959/10/14 00:00:00,101,D
B40A0623,001,1959/10/28 00:00:00,99,D
B40A0623,001,1959/11/14 00:00:00,118,
B40A0623,001,1959/11/28 00:00:00,119,
B40A0623,001,1959/12/14 00:00:00,127,
B40A0623,001,1959/12/28 00:00:00,87,
B40A0623,001,1960/01/14 00:00:00,79,
B40A0623,001,1960/01/28 00:00:00,72,
B40A0623,001,1960/02/15 00:00:00,82,
B40A0623,001,1960/02/29 00:00:00,78,
B40A0623,001,1960/03/14 00:00:00,85,
B40A0623,001,1960/03/28 00:00:00,87,
B40A0623,001,1960/04/14 00:00:00,94,
B40A0623,001,1960/04/28 00:00:00,86,
B40A0623,001,1960/05/14 00:00:00,85,
B40A0623,001,1960/05/28 00:00:00,66,
B40A0623,001,1960/06/14 00:00:00,104,
B40A0623,001,1960/06/28 00:00:00,106,
B40A0623,001,1960/07/14 00:00:00,87,
B40A0623,001,1960/07/28 00:00:00,85,
B40A0623,001,1960/08/19 00:00:00,62,
B40A0623,001,1960/08/29 00:00:00,78,
B40A0623,001,1960/09/14 00:00:00,81,
B40A0623,001,1960/09/28 00:00:00,79,
B40A0623,001,1960/10/14 00:00:00,29,
B40A0623,001,1960/10/28 00:00:00,54,
B40A0623,001,1960/11/14 00:00:00,64,
B40A0623,001,1960/11/28 00:00:00,29,
B40A0623,001,1960/12/14 00:00:00,40,
B40A0623,001,1960/12/28 00:00:00,76,
B40A0623,001,1961/01/14 00:00:00,72,
B40A0623,001,1961/01/28 00:00:00,74,
B40A0623,001,1961/02/14 00:00:00,62,
B40A0623,001,1961/02/28 00:00:00,60,
B40A0623,001,1961/03/14 00:00:00,83,
B40A0623,001,1961/03/28 00:00:00,78,
B40A0623,001,1961/04/14 00:00:00,82,
B40A0623,001,1961/04/28 00:00:00,46,
B40A0623,001,1961/05/15 00:00:00,57,
B40A0623,001,1961/05/29 00:00:00,84,
B40A0623,001,1961/06/14 00:00:00,79,
B40A0623,001,1961/06/28 00:00:00,77,
B40A0623,001,1961/07/14 00:00:00,68,
B40A0623,001,1961/07/28 00:00:00,58,
B40A0623,001,1961/08/14 00:00:00,53,
B40A0623,001,1961/08/28 00:00:00,78,
B40A0623,001,1961/09/14 00:00:00,59,
B40A0623,001,1961/09/28 00:00:00,71,
B40A0623,001,1961/10/16 00:00:00,79,
B40A0623,001,1961/10/28 00:00:00,52,
B40A0623,001,1961/11/14 00:00:00,58,
