Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0626,001,40AL0018,183600,438770,767,,758,608,558,1974/07/29,1975/05/14
B40A0626,001,40AL0018,183600,438770,767,,761,611,561,1975/05/14,1977/10/28
B40A0626,001,40AL0018,183600,438770,767,,764,614,564,1977/10/28,1983/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0626,001,1974/07/29 00:00:00,118,
B40A0626,001,1974/08/14 00:00:00,110,
B40A0626,001,1974/08/28 00:00:00,,D
B40A0626,001,1974/09/13 00:00:00,114,
B40A0626,001,1974/09/30 00:00:00,44,
B40A0626,001,1974/10/14 00:00:00,39,
B40A0626,001,1974/10/28 00:00:00,32,
B40A0626,001,1974/11/15 00:00:00,34,
B40A0626,001,1974/12/02 00:00:00,41,
B40A0626,001,1974/12/13 00:00:00,9,
B40A0626,001,1974/12/27 00:00:00,9,
B40A0626,001,1975/01/14 00:00:00,63,
B40A0626,001,1975/01/28 00:00:00,9,
B40A0626,001,1975/02/14 00:00:00,57,
B40A0626,001,1975/02/28 00:00:00,93,
B40A0626,001,1975/03/14 00:00:00,51,
B40A0626,001,1975/03/27 00:00:00,49,
B40A0626,001,1975/04/14 00:00:00,44,
B40A0626,001,1975/04/28 00:00:00,55,
B40A0626,001,1975/05/14 00:00:00,78,
B40A0626,001,1975/05/28 00:00:00,82,
B40A0626,001,1975/06/13 00:00:00,88,
B40A0626,001,1975/06/27 00:00:00,63,
B40A0626,001,1975/07/14 00:00:00,75,
B40A0626,001,1975/07/28 00:00:00,64,
B40A0626,001,1975/08/14 00:00:00,110,
B40A0626,001,1975/09/03 00:00:00,115,
B40A0626,001,1975/09/15 00:00:00,112,
B40A0626,001,1975/09/27 00:00:00,114,
B40A0626,001,1975/10/14 00:00:00,134,
B40A0626,001,1975/10/28 00:00:00,142,
B40A0626,001,1975/11/14 00:00:00,125,
B40A0626,001,1975/11/28 00:00:00,98,
B40A0626,001,1975/12/15 00:00:00,97,
B40A0626,001,1975/12/29 00:00:00,103,
B40A0626,001,1976/01/14 00:00:00,29,
B40A0626,001,1976/01/28 00:00:00,24,
B40A0626,001,1976/02/13 00:00:00,16,
B40A0626,001,1976/02/27 00:00:00,103,
B40A0626,001,1976/03/15 00:00:00,120,
B40A0626,001,1976/03/29 00:00:00,125,
B40A0626,001,1976/04/14 00:00:00,128,
B40A0626,001,1976/04/28 00:00:00,124,
B40A0626,001,1976/05/14 00:00:00,121,
B40A0626,001,1976/05/26 00:00:00,120,
B40A0626,001,1976/06/14 00:00:00,128,
B40A0626,001,1976/06/28 00:00:00,135,
B40A0626,001,1976/07/14 00:00:00,162,
B40A0626,001,1976/07/28 00:00:00,154,
B40A0626,001,1976/08/18 00:00:00,166,
B40A0626,001,1976/08/31 00:00:00,143,
B40A0626,001,1976/09/14 00:00:00,141,
B40A0626,001,1976/09/29 00:00:00,134,
B40A0626,001,1976/10/14 00:00:00,120,
B40A0626,001,1976/10/29 00:00:00,118,
B40A0626,001,1976/11/16 00:00:00,115,
B40A0626,001,1976/11/30 00:00:00,109,
B40A0626,001,1976/12/15 00:00:00,104,
B40A0626,001,1977/01/13 00:00:00,89,
B40A0626,001,1977/01/28 00:00:00,68,
B40A0626,001,1977/02/14 00:00:00,72,
B40A0626,001,1977/02/28 00:00:00,67,
B40A0626,001,1977/03/14 00:00:00,103,
B40A0626,001,1977/03/28 00:00:00,79,
B40A0626,001,1977/04/15 00:00:00,81,
B40A0626,001,1977/04/28 00:00:00,95,
B40A0626,001,1977/05/13 00:00:00,50,
B40A0626,001,1977/05/31 00:00:00,104,
B40A0626,001,1977/06/14 00:00:00,103,
B40A0626,001,1977/06/28 00:00:00,100,
B40A0626,001,1977/07/14 00:00:00,113,
B40A0626,001,1977/07/28 00:00:00,86,
B40A0626,001,1977/08/13 00:00:00,68,
B40A0626,001,1977/08/29 00:00:00,58,
B40A0626,001,1977/09/14 00:00:00,99,
B40A0626,001,1977/09/28 00:00:00,102,
B40A0626,001,1977/10/14 00:00:00,101,
B40A0626,001,1977/10/28 00:00:00,98,
B40A0626,001,1977/11/28 00:00:00,34,
B40A0626,001,1977/12/14 00:00:00,57,
B40A0626,001,1977/12/28 00:00:00,37,
B40A0626,001,1978/01/16 00:00:00,36,
B40A0626,001,1978/01/27 00:00:00,45,
B40A0626,001,1978/02/15 00:00:00,85,
B40A0626,001,1978/03/03 00:00:00,76,
B40A0626,001,1978/03/15 00:00:00,66,
B40A0626,001,1978/03/28 00:00:00,29,
B40A0626,001,1978/04/17 00:00:00,91,
B40A0626,001,1978/05/03 00:00:00,90,
B40A0626,001,1978/05/17 00:00:00,83,
B40A0626,001,1978/05/29 00:00:00,91,
B40A0626,001,1978/06/15 00:00:00,90,
B40A0626,001,1978/06/28 00:00:00,74,
B40A0626,001,1978/07/14 00:00:00,68,
B40A0626,001,1978/07/28 00:00:00,87,
B40A0626,001,1978/08/14 00:00:00,97,
B40A0626,001,1978/08/28 00:00:00,113,
B40A0626,001,1978/09/14 00:00:00,111,
B40A0626,001,1978/09/28 00:00:00,90,
B40A0626,001,1978/10/13 00:00:00,85,
B40A0626,001,1978/10/27 00:00:00,101,
B40A0626,001,1978/11/14 00:00:00,109,
B40A0626,001,1978/11/29 00:00:00,113,
B40A0626,001,1978/12/14 00:00:00,8,
B40A0626,001,1978/12/28 00:00:00,9,
B40A0626,001,1979/01/14 00:00:00,,Y
B40A0626,001,1979/01/30 00:00:00,57,
B40A0626,001,1979/03/01 00:00:00,73,
B40A0626,001,1979/03/14 00:00:00,7,
B40A0626,001,1979/03/28 00:00:00,23,
B40A0626,001,1979/04/12 00:00:00,88,
B40A0626,001,1979/04/27 00:00:00,100,
B40A0626,001,1979/05/14 00:00:00,57,
B40A0626,001,1979/05/28 00:00:00,84,
B40A0626,001,1979/06/14 00:00:00,67,
B40A0626,001,1979/06/28 00:00:00,92,
B40A0626,001,1979/07/14 00:00:00,111,
B40A0626,001,1979/07/27 00:00:00,100,
B40A0626,001,1979/08/14 00:00:00,93,
B40A0626,001,1979/08/27 00:00:00,93,
B40A0626,001,1979/09/14 00:00:00,73,
B40A0626,001,1979/09/28 00:00:00,90,
B40A0626,001,1979/10/16 00:00:00,88,
B40A0626,001,1979/10/28 00:00:00,107,
B40A0626,001,1979/11/14 00:00:00,53,
B40A0626,001,1979/11/29 00:00:00,101,
B40A0626,001,1979/12/14 00:00:00,27,
B40A0626,001,1979/12/28 00:00:00,57,
B40A0626,001,1980/01/14 00:00:00,60,
B40A0626,001,1980/01/28 00:00:00,15,
B40A0626,001,1980/02/14 00:00:00,53,
B40A0626,001,1980/02/29 00:00:00,98,
B40A0626,001,1980/03/14 00:00:00,26,
B40A0626,001,1980/03/28 00:00:00,96,
B40A0626,001,1980/04/15 00:00:00,86,
B40A0626,001,1980/04/28 00:00:00,95,
B40A0626,001,1980/05/14 00:00:00,101,
B40A0626,001,1980/05/28 00:00:00,117,
B40A0626,001,1980/06/16 00:00:00,126,
B40A0626,001,1980/06/30 00:00:00,117,
B40A0626,001,1980/07/14 00:00:00,67,
B40A0626,001,1980/07/28 00:00:00,71,
B40A0626,001,1980/08/14 00:00:00,70,
B40A0626,001,1980/08/29 00:00:00,90,
B40A0626,001,1980/09/15 00:00:00,93,
B40A0626,001,1980/09/28 00:00:00,97,
B40A0626,001,1980/10/14 00:00:00,91,
B40A0626,001,1980/10/28 00:00:00,95,
B40A0626,001,1980/11/14 00:00:00,70,
B40A0626,001,1980/11/28 00:00:00,15,
B40A0626,001,1980/12/14 00:00:00,43,
B40A0626,001,1980/12/29 00:00:00,40,
B40A0626,001,1981/01/15 00:00:00,3,
B40A0626,001,1981/01/28 00:00:00,40,
B40A0626,001,1981/02/13 00:00:00,32,
B40A0626,001,1981/02/27 00:00:00,90,
B40A0626,001,1981/03/16 00:00:00,11,
B40A0626,001,1981/03/30 00:00:00,53,
B40A0626,001,1981/04/15 00:00:00,95,
B40A0626,001,1981/04/28 00:00:00,97,
B40A0626,001,1981/05/15 00:00:00,99,
B40A0626,001,1981/05/27 00:00:00,103,
B40A0626,001,1981/06/15 00:00:00,113,
B40A0626,001,1981/06/30 00:00:00,97,
B40A0626,001,1981/07/14 00:00:00,100,
B40A0626,001,1981/07/28 00:00:00,115,
B40A0626,001,1981/08/14 00:00:00,120,
B40A0626,001,1981/08/28 00:00:00,108,
B40A0626,001,1981/09/14 00:00:00,117,
B40A0626,001,1981/09/28 00:00:00,91,
B40A0626,001,1981/10/14 00:00:00,31,
B40A0626,001,1981/10/28 00:00:00,43,
B40A0626,001,1981/11/14 00:00:00,61,
B40A0626,001,1981/11/28 00:00:00,13,
B40A0626,001,1981/12/14 00:00:00,33,
B40A0626,001,1981/12/28 00:00:00,84,
B40A0626,001,1982/01/14 00:00:00,72,
B40A0626,001,1982/01/28 00:00:00,29,
B40A0626,001,1982/02/16 00:00:00,58,
B40A0626,001,1982/03/01 00:00:00,100,
B40A0626,001,1982/03/17 00:00:00,69,
B40A0626,001,1982/03/29 00:00:00,100,
B40A0626,001,1982/04/16 00:00:00,126,
B40A0626,001,1982/04/28 00:00:00,131,
B40A0626,001,1982/05/13 00:00:00,128,
B40A0626,001,1982/06/01 00:00:00,130,
B40A0626,001,1982/06/14 00:00:00,127,
B40A0626,001,1982/06/28 00:00:00,127,
B40A0626,001,1982/07/15 00:00:00,131,
B40A0626,001,1982/08/17 00:00:00,153,
B40A0626,001,1982/08/27 00:00:00,153,
B40A0626,001,1982/09/15 00:00:00,145,
B40A0626,001,1982/09/28 00:00:00,155,
B40A0626,001,1982/10/15 00:00:00,86,
B40A0626,001,1982/10/28 00:00:00,100,
B40A0626,001,1982/11/15 00:00:00,78,
