Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0628,001,40AL0019,185740,438900,873,,,,,1952/10/14,1954/04/27
B40A0628,001,40AL0019,185740,438900,873,,867,,,1954/04/27,1955/04/27
B40A0628,001,40AL0019,185740,438900,873,,866,,,1955/04/27,1964/04/28
B40A0628,001,40AL0019,185740,438900,873,,864,,,1964/04/28,1966/04/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0628,001,1952/10/14 00:00:00,159,
B40A0628,001,1952/12/14 00:00:00,96,
B40A0628,001,1953/04/29 00:00:00,134,
B40A0628,001,1954/04/27 00:00:00,146,
B40A0628,001,1954/08/27 00:00:00,62,
B40A0628,001,1954/10/26 00:00:00,86,
B40A0628,001,1955/04/27 00:00:00,131,
B40A0628,001,1955/05/25 00:00:00,114,
B40A0628,001,1955/10/14 00:00:00,166,
B40A0628,001,1957/08/28 00:00:00,148,
B40A0628,001,1957/10/14 00:00:00,131,
B40A0628,001,1957/12/14 00:00:00,117,
B40A0628,001,1958/04/28 00:00:00,122,
B40A0628,001,1958/08/28 00:00:00,134,
B40A0628,001,1958/10/14 00:00:00,125,
B40A0628,001,1958/12/14 00:00:00,101,
B40A0628,001,1959/04/28 00:00:00,70,
B40A0628,001,1959/08/28 00:00:00,172,D
B40A0628,001,1959/10/14 00:00:00,172,D
B40A0628,001,1959/12/14 00:00:00,205,
B40A0628,001,1960/04/28 00:00:00,157,
B40A0628,001,1960/08/29 00:00:00,110,
B40A0628,001,1960/10/14 00:00:00,34,
B40A0628,001,1960/12/14 00:00:00,65,
B40A0628,001,1961/04/28 00:00:00,75,
B40A0628,001,1961/08/28 00:00:00,108,
B40A0628,001,1961/10/13 00:00:00,137,
B40A0628,001,1961/12/14 00:00:00,27,
B40A0628,001,1962/04/27 00:00:00,102,
B40A0628,001,1962/08/28 00:00:00,157,
B40A0628,001,1962/10/14 00:00:00,162,
B40A0628,001,1962/12/14 00:00:00,114,
B40A0628,001,1963/04/29 00:00:00,147,
B40A0628,001,1963/08/28 00:00:00,162,
B40A0628,001,1964/04/28 00:00:00,149,
B40A0628,001,1964/12/14 00:00:00,98,
B40A0628,001,1965/04/28 00:00:00,69,
