Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0630,001,40AL0020,189360,438760,849,,841,,,1952/10/14,1968/10/14
B40A0630,001,40AL0020,189360,438760,850,,840,690,640,1968/10/14,1970/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0630,001,1952/10/14 00:00:00,84,
B40A0630,001,1952/12/15 00:00:00,45,
B40A0630,001,1953/04/27 00:00:00,72,
B40A0630,001,1953/08/28 00:00:00,72,
B40A0630,001,1953/10/14 00:00:00,80,
B40A0630,001,1953/12/15 00:00:00,107,
B40A0630,001,1954/04/26 00:00:00,77,
B40A0630,001,1954/08/27 00:00:00,37,
B40A0630,001,1954/10/13 00:00:00,52,
B40A0630,001,1954/12/14 00:00:00,49,
B40A0630,001,1955/04/28 00:00:00,60,
B40A0630,001,1955/05/16 00:00:00,70,
B40A0630,001,1955/08/26 00:00:00,80,
B40A0630,001,1955/11/14 00:00:00,108,
B40A0630,001,1957/08/28 00:00:00,58,
B40A0630,001,1957/10/14 00:00:00,59,
B40A0630,001,1957/12/14 00:00:00,84,
B40A0630,001,1958/04/28 00:00:00,44,
B40A0630,001,1958/08/28 00:00:00,53,
B40A0630,001,1958/10/14 00:00:00,41,
B40A0630,001,1958/12/15 00:00:00,33,
B40A0630,001,1959/04/28 00:00:00,64,
B40A0630,001,1959/08/28 00:00:00,90,
B40A0630,001,1959/10/14 00:00:00,128,
B40A0630,001,1959/12/14 00:00:00,115,
B40A0630,001,1960/04/28 00:00:00,78,
B40A0630,001,1960/08/29 00:00:00,59,
B40A0630,001,1960/10/14 00:00:00,32,
B40A0630,001,1960/12/14 00:00:00,45,
B40A0630,001,1961/04/28 00:00:00,57,
B40A0630,001,1961/08/28 00:00:00,58,
B40A0630,001,1961/10/13 00:00:00,58,
B40A0630,001,1961/12/14 00:00:00,45,
B40A0630,001,1962/04/27 00:00:00,58,
B40A0630,001,1962/08/28 00:00:00,76,
B40A0630,001,1962/10/15 00:00:00,83,
B40A0630,001,1962/12/14 00:00:00,70,
B40A0630,001,1963/04/29 00:00:00,61,
B40A0630,001,1963/08/28 00:00:00,66,
B40A0630,001,1963/10/14 00:00:00,60,
B40A0630,001,1963/12/17 00:00:00,75,
B40A0630,001,1964/04/29 00:00:00,69,
B40A0630,001,1964/08/28 00:00:00,109,
B40A0630,001,1964/10/14 00:00:00,109,
B40A0630,001,1964/12/14 00:00:00,28,
B40A0630,001,1965/04/28 00:00:00,22,
B40A0630,001,1965/08/27 00:00:00,61,
B40A0630,001,1965/10/14 00:00:00,67,
B40A0630,001,1965/12/14 00:00:00,8,
B40A0630,001,1966/04/28 00:00:00,33,
B40A0630,001,1966/08/29 00:00:00,58,
B40A0630,001,1966/10/14 00:00:00,61,
B40A0630,001,1966/12/14 00:00:00,18,
B40A0630,001,1967/04/28 00:00:00,59,
B40A0630,001,1967/08/28 00:00:00,79,
B40A0630,001,1967/10/13 00:00:00,70,
B40A0630,001,1967/12/14 00:00:00,31,
B40A0630,001,1968/04/29 00:00:00,77,
B40A0630,001,1968/10/14 00:00:00,73,
B40A0630,001,1968/12/13 00:00:00,57,
B40A0630,001,1969/04/28 00:00:00,41,
B40A0630,001,1969/12/15 00:00:00,80,
B40A0630,001,1970/04/28 00:00:00,33,
B40A0630,001,1970/09/14 00:00:00,62,
