Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0631,001,40AL0020,189350,438740,839,,829,679,629,1970/12/14,1975/08/28
B40A0631,001,40AL0020,189350,438740,839,,830,680,630,1975/08/28,1983/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0631,001,1970/12/14 00:00:00,30,
B40A0631,001,1971/08/27 00:00:00,106,
B40A0631,001,1971/10/14 00:00:00,100,
B40A0631,001,1971/12/14 00:00:00,104,
B40A0631,001,1972/04/28 00:00:00,84,
B40A0631,001,1972/08/28 00:00:00,64,
B40A0631,001,1972/10/13 00:00:00,74,
B40A0631,001,1972/12/14 00:00:00,77,
B40A0631,001,1973/04/27 00:00:00,42,
B40A0631,001,1973/08/28 00:00:00,100,
B40A0631,001,1973/10/15 00:00:00,79,
B40A0631,001,1974/01/30 00:00:00,35,
B40A0631,001,1974/04/29 00:00:00,67,
B40A0631,001,1974/08/28 00:00:00,171,
B40A0631,001,1974/10/14 00:00:00,30,
B40A0631,001,1974/12/13 00:00:00,13,
B40A0631,001,1975/04/28 00:00:00,64,
B40A0631,001,1975/08/28 00:00:00,94,
B40A0631,001,1975/10/14 00:00:00,90,
B40A0631,001,1975/12/15 00:00:00,94,
B40A0631,001,1976/04/28 00:00:00,73,
B40A0631,001,1976/08/27 00:00:00,97,
B40A0631,001,1976/10/14 00:00:00,73,
B40A0631,001,1976/12/14 00:00:00,72,
B40A0631,001,1977/04/28 00:00:00,59,
B40A0631,001,1977/08/29 00:00:00,38,
B40A0631,001,1977/10/14 00:00:00,72,
B40A0631,001,1977/12/14 00:00:00,38,
B40A0631,001,1978/04/28 00:00:00,59,
B40A0631,001,1978/08/28 00:00:00,69,
B40A0631,001,1978/10/13 00:00:00,55,
B40A0631,001,1978/12/14 00:00:00,55,
B40A0631,001,1979/05/28 00:00:00,59,
B40A0631,001,1979/08/28 00:00:00,49,
B40A0631,001,1979/10/15 00:00:00,53,
B40A0631,001,1979/12/14 00:00:00,24,
B40A0631,001,1980/04/28 00:00:00,60,
B40A0631,001,1980/08/28 00:00:00,65,
B40A0631,001,1980/10/14 00:00:00,69,
B40A0631,001,1981/01/19 00:00:00,44,
B40A0631,001,1981/04/28 00:00:00,61,
B40A0631,001,1981/08/28 00:00:00,80,
B40A0631,001,1981/10/14 00:00:00,29,
B40A0631,001,1981/12/14 00:00:00,37,
B40A0631,001,1982/04/28 00:00:00,47,
B40A0631,001,1982/08/27 00:00:00,74,
B40A0631,001,1982/10/14 00:00:00,49,
B40A0631,001,1982/12/14 00:00:00,40,
B40A0631,001,1983/04/28 00:00:00,16,
B40A0631,001,1983/08/29 00:00:00,62,
