Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0635,001,40AL0025,183560,440140,765,,,,,1965/05/17,1974/08/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0635,001,1965/05/17 00:00:00,74,
B40A0635,001,1965/06/01 00:00:00,84,
B40A0635,001,1965/06/15 00:00:00,82,
B40A0635,001,1965/07/01 00:00:00,77,
B40A0635,001,1965/07/15 00:00:00,30,
B40A0635,001,1965/08/02 00:00:00,73,
B40A0635,001,1965/08/16 00:00:00,89,
B40A0635,001,1965/09/01 00:00:00,98,
B40A0635,001,1965/09/16 00:00:00,83,
B40A0635,001,1965/10/01 00:00:00,100,
B40A0635,001,1965/10/18 00:00:00,103,
B40A0635,001,1965/11/02 00:00:00,109,
B40A0635,001,1965/12/01 00:00:00,34,
B40A0635,001,1965/12/16 00:00:00,22,
B40A0635,001,1966/01/05 00:00:00,20,
B40A0635,001,1966/02/02 00:00:00,66,
B40A0635,001,1966/03/07 00:00:00,69,
B40A0635,001,1966/04/04 00:00:00,70,
B40A0635,001,1966/04/19 00:00:00,57,
B40A0635,001,1966/05/03 00:00:00,68,
B40A0635,001,1966/05/20 00:00:00,82,
B40A0635,001,1966/06/01 00:00:00,89,
B40A0635,001,1966/06/21 00:00:00,78,
B40A0635,001,1966/07/05 00:00:00,81,
B40A0635,001,1966/08/01 00:00:00,51,
B40A0635,001,1966/08/17 00:00:00,83,
B40A0635,001,1966/09/01 00:00:00,108,
