Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0656,001,40AL0259,184720,439750,814,,814,,,1952/10/14,1955/06/17
B40A0656,001,40AL0259,184720,439750,814,,806,,,1955/06/17,1962/10/22

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0656,001,1952/10/14 00:00:00,87,
B40A0656,001,1952/12/18 00:00:00,3,
B40A0656,001,1953/04/28 00:00:00,92,
B40A0656,001,1953/08/28 00:00:00,75,
B40A0656,001,1953/10/14 00:00:00,102,
B40A0656,001,1953/12/14 00:00:00,130,
B40A0656,001,1954/04/28 00:00:00,105,
B40A0656,001,1954/08/26 00:00:00,55,
B40A0656,001,1954/10/14 00:00:00,60,
B40A0656,001,1955/06/17 00:00:00,86,
