Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0658,001,40AL0268,185170,441310,873,,877,,,1950/04/28,1951/04/06
B40A0658,001,40AL0268,185170,441310,873,,875,,,1951/04/06,1953/01/07
B40A0658,001,40AL0268,185170,441310,873,,873,,,1953/01/07,1955/07/28
B40A0658,001,40AL0268,185170,441310,873,,,,,1955/07/28,1962/10/23
B40A0658,001,40AL0268,185170,441310,924,,955,855,755,1962/10/23,1970/05/28
B40A0658,001,40AL0268,185170,441310,922,,955,855,755,1970/05/28,1977/08/14
B40A0658,001,40AL0268,185170,441310,968,,968,855,755,1977/08/14,1996/08/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0658,001,1950/04/28 00:00:00,58,
B40A0658,001,1950/05/06 00:00:00,73,
B40A0658,001,1950/05/17 00:00:00,66,
B40A0658,001,1950/05/31 00:00:00,72,
B40A0658,001,1950/06/07 00:00:00,77,
B40A0658,001,1950/06/14 00:00:00,81,
B40A0658,001,1950/06/24 00:00:00,71,
B40A0658,001,1950/07/03 00:00:00,74,
B40A0658,001,1950/07/13 00:00:00,63,
B40A0658,001,1950/07/24 00:00:00,76,
B40A0658,001,1950/08/01 00:00:00,63,
B40A0658,001,1950/08/10 00:00:00,77,
B40A0658,001,1950/08/21 00:00:00,80,
B40A0658,001,1950/08/29 00:00:00,83,
B40A0658,001,1950/09/08 00:00:00,81,
B40A0658,001,1950/09/16 00:00:00,72,
B40A0658,001,1950/09/22 00:00:00,59,
B40A0658,001,1950/09/29 00:00:00,55,
B40A0658,001,1950/10/06 00:00:00,62,
B40A0658,001,1950/10/17 00:00:00,65,
B40A0658,001,1950/10/27 00:00:00,69,
B40A0658,001,1950/11/03 00:00:00,64,
B40A0658,001,1950/11/11 00:00:00,45,
B40A0658,001,1950/11/17 00:00:00,43,
B40A0658,001,1950/11/24 00:00:00,46,
B40A0658,001,1950/12/01 00:00:00,39,
B40A0658,001,1950/12/08 00:00:00,38,
B40A0658,001,1950/12/16 00:00:00,41,
B40A0658,001,1951/01/06 00:00:00,39,
B40A0658,001,1951/01/13 00:00:00,40,
B40A0658,001,1951/01/19 00:00:00,38,
