Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A2146,001,,184557,442852,1256,,1247,783,683,2012/11/30,2020/04/02

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A2146,001,2012/12/11 18:00:00,448,
B40A2146,001,2012/12/12 12:00:00,449,
B40A2146,001,2012/12/13 12:00:00,450,
B40A2146,001,2012/12/14 12:00:00,451,
B40A2146,001,2012/12/15 12:00:00,451,
B40A2146,001,2012/12/16 12:00:00,451,
B40A2146,001,2012/12/17 12:00:00,451,
B40A2146,001,2012/12/18 12:00:00,451,
B40A2146,001,2012/12/19 12:00:00,444,
B40A2146,001,2012/12/20 12:00:00,433,
B40A2146,001,2012/12/21 12:00:00,415,
B40A2146,001,2012/12/22 12:00:00,395,
B40A2146,001,2012/12/23 12:00:00,373,
B40A2146,001,2012/12/24 12:00:00,354,
B40A2146,001,2012/12/25 12:00:00,337,
B40A2146,001,2012/12/26 12:00:00,319,
B40A2146,001,2012/12/27 12:00:00,297,
B40A2146,001,2012/12/28 12:00:00,280,
B40A2146,001,2012/12/29 12:00:00,264,
B40A2146,001,2012/12/30 12:00:00,253,
B40A2146,001,2012/12/31 12:00:00,243,
B40A2146,001,2013/01/01 12:00:00,236,
B40A2146,001,2013/01/02 12:00:00,238,
B40A2146,001,2013/01/03 12:00:00,243,
B40A2146,001,2013/01/04 12:00:00,251,
B40A2146,001,2013/01/05 12:00:00,261,
B40A2146,001,2013/01/06 12:00:00,273,
B40A2146,001,2013/01/07 12:00:00,288,
B40A2146,001,2013/01/08 12:00:00,303,
B40A2146,001,2013/01/09 12:00:00,317,
B40A2146,001,2013/01/10 12:00:00,330,
B40A2146,001,2013/01/11 12:00:00,343,
B40A2146,001,2013/01/12 12:00:00,354,
B40A2146,001,2013/01/13 12:00:00,364,
B40A2146,001,2013/01/14 12:00:00,374,
B40A2146,001,2013/01/15 12:00:00,383,
B40A2146,001,2013/01/16 12:00:00,393,
B40A2146,001,2013/01/17 12:00:00,401,
B40A2146,001,2013/01/18 12:00:00,407,
B40A2146,001,2013/01/19 12:00:00,412,
B40A2146,001,2013/01/20 12:00:00,417,
B40A2146,001,2013/01/21 12:00:00,421,
B40A2146,001,2013/01/22 12:00:00,423,
B40A2146,001,2013/01/23 12:00:00,423,
B40A2146,001,2013/01/24 06:00:00,423,
B40A2146,001,2013/01/25 12:00:00,423,
B40A2146,001,2013/01/26 12:00:00,421,
B40A2146,001,2013/01/27 12:00:00,418,
B40A2146,001,2013/01/28 12:00:00,418,
B40A2146,001,2013/01/29 12:00:00,416,
B40A2146,001,2013/01/30 12:00:00,415,
B40A2146,001,2013/01/31 12:00:00,418,
B40A2146,001,2013/02/01 12:00:00,423,
B40A2146,001,2013/02/02 12:00:00,424,
B40A2146,001,2013/02/03 12:00:00,415,
B40A2146,001,2013/02/04 12:00:00,402,
B40A2146,001,2013/02/05 12:00:00,384,
B40A2146,001,2013/02/06 12:00:00,363,
B40A2146,001,2013/02/07 12:00:00,338,
B40A2146,001,2013/02/08 12:00:00,314,
B40A2146,001,2013/02/09 12:00:00,297,
B40A2146,001,2013/02/10 12:00:00,285,
B40A2146,001,2013/02/11 12:00:00,282,
B40A2146,001,2013/02/12 12:00:00,290,
B40A2146,001,2013/02/13 12:00:00,298,
B40A2146,001,2013/02/14 12:00:00,309,
B40A2146,001,2013/02/15 12:00:00,322,
B40A2146,001,2013/02/16 12:00:00,337,
B40A2146,001,2013/02/17 12:00:00,350,
B40A2146,001,2013/02/18 12:00:00,362,
B40A2146,001,2013/02/19 12:00:00,374,
B40A2146,001,2013/02/20 12:00:00,385,
B40A2146,001,2013/02/21 12:00:00,394,
B40A2146,001,2013/02/22 12:00:00,403,
B40A2146,001,2013/02/23 12:00:00,410,
B40A2146,001,2013/02/24 12:00:00,416,
B40A2146,001,2013/02/25 12:00:00,420,
B40A2146,001,2013/02/26 12:00:00,425,
B40A2146,001,2013/02/27 12:00:00,428,
