Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0144,001,40BB0144,191687,443984,1459,,1445,559,-641,1940/01/01,1982/10/14
B40B0144,001,40BB0144,191687,443984,1458,,1444,559,-641,1982/10/14,2000/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0144,001,1953/08/28 00:00:00,458,
B40B0144,001,1953/09/14 00:00:00,465,
B40B0144,001,1953/09/28 00:00:00,462,
B40B0144,001,1953/10/14 00:00:00,482,
B40B0144,001,1953/10/28 00:00:00,491,
B40B0144,001,1953/11/14 00:00:00,514,
B40B0144,001,1953/11/28 00:00:00,544,
B40B0144,001,1953/12/14 00:00:00,536,
B40B0144,001,1953/12/28 00:00:00,517,
B40B0144,001,1954/01/14 00:00:00,519,
B40B0144,001,1954/01/28 00:00:00,484,
B40B0144,001,1954/02/15 00:00:00,482,
B40B0144,001,1954/03/01 00:00:00,496,
B40B0144,001,1954/03/15 00:00:00,484,
B40B0144,001,1954/03/29 00:00:00,482,
B40B0144,001,1954/04/14 00:00:00,466,
B40B0144,001,1954/04/28 00:00:00,484,
B40B0144,001,1954/05/14 00:00:00,504,
B40B0144,001,1954/05/28 00:00:00,499,
B40B0144,001,1954/06/14 00:00:00,499,
B40B0144,001,1954/06/28 00:00:00,504,
B40B0144,001,1954/07/14 00:00:00,478,
B40B0144,001,1954/07/28 00:00:00,479,
B40B0144,001,1954/08/14 00:00:00,469,
B40B0144,001,1954/08/28 00:00:00,455,
B40B0144,001,1954/09/14 00:00:00,452,
B40B0144,001,1954/09/28 00:00:00,456,
B40B0144,001,1954/10/14 00:00:00,432,
B40B0144,001,1954/10/28 00:00:00,440,
B40B0144,001,1954/11/15 00:00:00,450,
B40B0144,001,1954/11/29 00:00:00,479,
B40B0144,001,1954/12/14 00:00:00,451,
B40B0144,001,1954/12/28 00:00:00,407,
B40B0144,001,1955/01/14 00:00:00,423,
B40B0144,001,1955/01/28 00:00:00,369,
B40B0144,001,1955/02/14 00:00:00,369,
B40B0144,001,1955/02/28 00:00:00,389,
B40B0144,001,1955/03/14 00:00:00,404,
B40B0144,001,1955/03/28 00:00:00,401,
B40B0144,001,1955/04/14 00:00:00,422,
B40B0144,001,1955/04/28 00:00:00,467,
B40B0144,001,1955/05/14 00:00:00,462,
B40B0144,001,1955/05/28 00:00:00,470,
B40B0144,001,1955/06/14 00:00:00,462,
B40B0144,001,1955/06/28 00:00:00,477,
B40B0144,001,1955/07/14 00:00:00,484,
B40B0144,001,1955/07/28 00:00:00,495,
B40B0144,001,1955/08/15 00:00:00,479,
B40B0144,001,1955/08/29 00:00:00,506,
B40B0144,001,1955/09/14 00:00:00,524,
B40B0144,001,1955/09/28 00:00:00,516,
B40B0144,001,1955/10/14 00:00:00,531,
B40B0144,001,1955/10/28 00:00:00,535,
B40B0144,001,1955/11/14 00:00:00,545,
B40B0144,001,1955/11/28 00:00:00,594,
B40B0144,001,1955/12/14 00:00:00,552,
B40B0144,001,1955/12/28 00:00:00,550,
B40B0144,001,1956/01/14 00:00:00,493,
B40B0144,001,1956/01/28 00:00:00,474,
B40B0144,001,1956/02/14 00:00:00,476,
B40B0144,001,1956/02/28 00:00:00,489,
B40B0144,001,1956/03/14 00:00:00,434,
B40B0144,001,1956/03/28 00:00:00,459,
B40B0144,001,1956/04/14 00:00:00,491,
B40B0144,001,1956/04/28 00:00:00,459,
B40B0144,001,1956/05/14 00:00:00,494,
B40B0144,001,1956/05/28 00:00:00,491,
B40B0144,001,1956/06/14 00:00:00,450,
B40B0144,001,1956/06/28 00:00:00,471,
B40B0144,001,1956/07/14 00:00:00,470,
B40B0144,001,1956/07/28 00:00:00,444,
B40B0144,001,1956/08/14 00:00:00,478,
B40B0144,001,1956/08/28 00:00:00,449,
B40B0144,001,1956/09/14 00:00:00,451,
B40B0144,001,1956/09/28 00:00:00,478,
B40B0144,001,1956/10/15 00:00:00,492,
B40B0144,001,1957/04/29 00:00:00,529,
