Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0228,001,40BB0228,193070,438940,1009,,,409,-1091,1944/02/01,1952/09/15
B40B0228,001,40BB0228,193070,438940,1153,,1105,409,-1091,1952/09/15,2000/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0228,001,1950/12/14 00:00:00,,
B40B0228,001,1950/12/28 00:00:00,,
B40B0228,001,1951/01/15 00:00:00,,
B40B0228,001,1951/01/29 00:00:00,,
B40B0228,001,1951/02/14 00:00:00,,
B40B0228,001,1951/02/28 00:00:00,,
B40B0228,001,1951/03/14 00:00:00,,
B40B0228,001,1951/03/28 00:00:00,,
B40B0228,001,1951/04/14 00:00:00,,
B40B0228,001,1951/05/15 00:00:00,,
B40B0228,001,1951/05/28 00:00:00,,
B40B0228,001,1951/06/14 00:00:00,,
B40B0228,001,1951/06/28 00:00:00,,
B40B0228,001,1951/07/18 00:00:00,,
B40B0228,001,1951/07/28 00:00:00,,
B40B0228,001,1951/08/28 00:00:00,,
B40B0228,001,1951/09/14 00:00:00,,
B40B0228,001,1951/09/28 00:00:00,,
B40B0228,001,1951/10/15 00:00:00,,
B40B0228,001,1951/10/29 00:00:00,,
B40B0228,001,1952/09/15 00:00:00,353,
B40B0228,001,1952/09/29 00:00:00,362,
B40B0228,001,1952/10/14 00:00:00,327,
B40B0228,001,1952/10/28 00:00:00,323,
B40B0228,001,1952/11/14 00:00:00,237,
B40B0228,001,1952/11/28 00:00:00,208,
B40B0228,001,1952/12/15 00:00:00,152,
B40B0228,001,1953/01/14 00:00:00,191,
B40B0228,001,1953/01/28 00:00:00,231,
B40B0228,001,1953/02/28 00:00:00,198,
