Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0229,001,40BB0229,192620,438410,1009,,968,409,-691,1944/02/23,2006/07/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0229,001,1950/12/14 00:00:00,56,
B40B0229,001,1950/12/28 00:00:00,88,
B40B0229,001,1951/01/15 00:00:00,66,
B40B0229,001,1951/01/29 00:00:00,53,
B40B0229,001,1951/02/14 00:00:00,85,
B40B0229,001,1951/02/28 00:00:00,81,
B40B0229,001,1951/03/14 00:00:00,102,
B40B0229,001,1951/03/28 00:00:00,84,
B40B0229,001,1951/04/14 00:00:00,80,
B40B0229,001,1951/05/15 00:00:00,106,
B40B0229,001,1951/05/28 00:00:00,98,
B40B0229,001,1951/06/14 00:00:00,135,
B40B0229,001,1951/06/28 00:00:00,126,
B40B0229,001,1951/07/18 00:00:00,124,
B40B0229,001,1951/07/28 00:00:00,127,
B40B0229,001,1951/08/28 00:00:00,125,
B40B0229,001,1951/09/14 00:00:00,162,
B40B0229,001,1951/09/28 00:00:00,167,
B40B0229,001,1951/10/15 00:00:00,185,
B40B0229,001,1951/10/29 00:00:00,207,
B40B0229,001,1951/11/14 00:00:00,209,
B40B0229,001,1951/11/28 00:00:00,153,
B40B0229,001,1951/12/14 00:00:00,133,
B40B0229,001,1951/12/28 00:00:00,115,
B40B0229,001,1952/01/14 00:00:00,85,
B40B0229,001,1952/01/28 00:00:00,82,
B40B0229,001,1952/02/14 00:00:00,85,
B40B0229,001,1952/02/28 00:00:00,97,
B40B0229,001,1952/03/14 00:00:00,111,
B40B0229,001,1952/03/28 00:00:00,105,
B40B0229,001,1952/04/15 00:00:00,97,
B40B0229,001,1952/04/28 00:00:00,142,
B40B0229,001,1952/05/14 00:00:00,159,
B40B0229,001,1952/05/28 00:00:00,173,
B40B0229,001,1952/06/14 00:00:00,151,
B40B0229,001,1952/06/28 00:00:00,161,
B40B0229,001,1952/07/14 00:00:00,157,
B40B0229,001,1952/07/28 00:00:00,184,
B40B0229,001,1952/08/14 00:00:00,204,
B40B0229,001,1952/08/28 00:00:00,171,
B40B0229,001,1952/09/15 00:00:00,206,
B40B0229,001,1952/09/29 00:00:00,231,
B40B0229,001,1952/10/14 00:00:00,193,
B40B0229,001,1952/10/28 00:00:00,191,
B40B0229,001,1952/11/14 00:00:00,109,
B40B0229,001,1952/11/28 00:00:00,101,
B40B0229,001,1952/12/15 00:00:00,105,
B40B0229,001,1953/01/14 00:00:00,131,
B40B0229,001,1953/01/28 00:00:00,109,
B40B0229,001,1953/02/14 00:00:00,91,
B40B0229,001,1953/02/28 00:00:00,90,
B40B0229,001,1953/03/28 00:00:00,114,
B40B0229,001,1953/04/14 00:00:00,116,
B40B0229,001,1953/04/28 00:00:00,126,
B40B0229,001,1953/05/16 00:00:00,155,
B40B0229,001,1953/05/28 00:00:00,160,
B40B0229,001,1953/06/15 00:00:00,151,
B40B0229,001,1953/06/29 00:00:00,156,
B40B0229,001,1953/07/14 00:00:00,131,
B40B0229,001,1953/07/28 00:00:00,126,
B40B0229,001,1953/08/14 00:00:00,139,
B40B0229,001,1953/08/28 00:00:00,171,
B40B0229,001,1953/09/14 00:00:00,181,
B40B0229,001,1953/09/28 00:00:00,181,
B40B0229,001,1953/10/14 00:00:00,196,
B40B0229,001,1953/10/28 00:00:00,206,
B40B0229,001,1953/11/14 00:00:00,216,
B40B0229,001,1953/11/28 00:00:00,231,
B40B0229,001,1953/12/14 00:00:00,211,
B40B0229,001,1953/12/28 00:00:00,201,
B40B0229,001,1954/01/14 00:00:00,236,
B40B0229,001,1954/02/15 00:00:00,182,
B40B0229,001,1954/03/01 00:00:00,160,
B40B0229,001,1954/03/15 00:00:00,145,
B40B0229,001,1954/03/29 00:00:00,161,
B40B0229,001,1954/04/14 00:00:00,153,
B40B0229,001,1954/04/28 00:00:00,166,
B40B0229,001,1954/05/14 00:00:00,189,
B40B0229,001,1954/05/28 00:00:00,189,
B40B0229,001,1954/06/14 00:00:00,171,
B40B0229,001,1954/06/28 00:00:00,177,
B40B0229,001,1954/07/14 00:00:00,174,
B40B0229,001,1954/07/28 00:00:00,116,
B40B0229,001,1954/08/14 00:00:00,133,
B40B0229,001,1954/08/28 00:00:00,116,
B40B0229,001,1954/09/14 00:00:00,123,
B40B0229,001,1954/09/28 00:00:00,121,
B40B0229,001,1954/10/14 00:00:00,96,
B40B0229,001,1954/10/28 00:00:00,89,
B40B0229,001,1954/11/15 00:00:00,91,
B40B0229,001,1954/11/29 00:00:00,104,
B40B0229,001,1954/12/14 00:00:00,96,
B40B0229,001,1954/12/28 00:00:00,64,
B40B0229,001,1955/01/15 00:00:00,59,
B40B0229,001,1955/01/28 00:00:00,48,
B40B0229,001,1955/02/16 00:00:00,61,
B40B0229,001,1955/02/28 00:00:00,87,
B40B0229,001,1955/03/14 00:00:00,99,
B40B0229,001,1955/03/28 00:00:00,87,
B40B0229,001,1955/04/14 00:00:00,90,
B40B0229,001,1955/04/28 00:00:00,110,
B40B0229,001,1955/05/14 00:00:00,116,
B40B0229,001,1955/05/28 00:00:00,105,
B40B0229,001,1955/06/14 00:00:00,116,
B40B0229,001,1955/06/28 00:00:00,123,
B40B0229,001,1955/07/14 00:00:00,124,
B40B0229,001,1955/07/28 00:00:00,132,
B40B0229,001,1955/08/15 00:00:00,122,
B40B0229,001,1955/08/29 00:00:00,141,
B40B0229,001,1955/09/14 00:00:00,142,
B40B0229,001,1955/09/28 00:00:00,152,
B40B0229,001,1955/10/14 00:00:00,158,
B40B0229,001,1955/10/28 00:00:00,140,
