Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0282,001,40BB0282,190860,442160,1059,,1045,-3491,-5241,1970/10/14,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0282,001,1970/10/14 00:00:00,214,
B40B0282,001,1970/10/28 00:00:00,214,
B40B0282,001,1970/11/13 00:00:00,204,
B40B0282,001,1970/11/27 00:00:00,184,
B40B0282,001,1970/12/14 00:00:00,177,
B40B0282,001,1970/12/28 00:00:00,194,
B40B0282,001,1971/01/14 00:00:00,179,
B40B0282,001,1971/01/28 00:00:00,194,
B40B0282,001,1971/02/15 00:00:00,198,
B40B0282,001,1971/03/04 00:00:00,201,
B40B0282,001,1971/03/16 00:00:00,211,
B40B0282,001,1971/03/29 00:00:00,194,
B40B0282,001,1971/04/14 00:00:00,218,
B40B0282,001,1971/04/28 00:00:00,219,
B40B0282,001,1971/05/14 00:00:00,229,
B40B0282,001,1971/05/28 00:00:00,224,
B40B0282,001,1971/06/14 00:00:00,211,
B40B0282,001,1971/07/01 00:00:00,183,
B40B0282,001,1971/07/14 00:00:00,224,
B40B0282,001,1971/07/29 00:00:00,216,
B40B0282,001,1971/08/16 00:00:00,214,
B40B0282,001,1971/08/27 00:00:00,224,
B40B0282,001,1971/09/14 00:00:00,354,
B40B0282,001,1971/09/28 00:00:00,234,
B40B0282,001,1971/10/14 00:00:00,394,
B40B0282,001,1971/10/28 00:00:00,254,
B40B0282,001,1971/11/15 00:00:00,264,
B40B0282,001,1971/11/29 00:00:00,314,
B40B0282,001,1971/12/14 00:00:00,229,
B40B0282,001,1971/12/28 00:00:00,214,
B40B0282,001,1972/01/14 00:00:00,229,
B40B0282,001,1972/01/28 00:00:00,234,
B40B0282,001,1972/02/14 00:00:00,223,
B40B0282,001,1972/02/28 00:00:00,220,
B40B0282,001,1972/03/14 00:00:00,244,
B40B0282,001,1972/03/28 00:00:00,264,
B40B0282,001,1972/04/14 00:00:00,187,
B40B0282,001,1972/04/28 00:00:00,189,
B40B0282,001,1972/05/15 00:00:00,189,
B40B0282,001,1972/05/29 00:00:00,189,
B40B0282,001,1972/06/14 00:00:00,214,
B40B0282,001,1972/06/29 00:00:00,209,
B40B0282,001,1972/07/14 00:00:00,194,
B40B0282,001,1972/07/28 00:00:00,234,
B40B0282,001,1972/08/14 00:00:00,199,
B40B0282,001,1972/08/28 00:00:00,203,
B40B0282,001,1972/09/14 00:00:00,209,
B40B0282,001,1972/09/28 00:00:00,234,
B40B0282,001,1972/10/13 00:00:00,224,
B40B0282,001,1972/10/27 00:00:00,265,
B40B0282,001,1972/11/14 00:00:00,254,
B40B0282,001,1972/11/28 00:00:00,214,
B40B0282,001,1972/12/14 00:00:00,209,
B40B0282,001,1972/12/28 00:00:00,214,
B40B0282,001,1973/01/15 00:00:00,238,
B40B0282,001,1973/02/06 00:00:00,229,
B40B0282,001,1973/02/14 00:00:00,214,
B40B0282,001,1973/02/28 00:00:00,214,
B40B0282,001,1973/03/14 00:00:00,214,
B40B0282,001,1973/03/28 00:00:00,229,
B40B0282,001,1973/04/16 00:00:00,214,
B40B0282,001,1973/04/27 00:00:00,204,
B40B0282,001,1973/05/15 00:00:00,189,
B40B0282,001,1973/05/28 00:00:00,214,
B40B0282,001,1973/06/14 00:00:00,229,
B40B0282,001,1973/06/28 00:00:00,214,
B40B0282,001,1973/07/14 00:00:00,219,
B40B0282,001,1973/07/28 00:00:00,339,
B40B0282,001,1973/08/14 00:00:00,214,
B40B0282,001,1973/08/28 00:00:00,264,
B40B0282,001,1973/09/14 00:00:00,256,
B40B0282,001,1973/09/28 00:00:00,260,
B40B0282,001,1973/10/15 00:00:00,294,
B40B0282,001,1973/10/28 00:00:00,264,
B40B0282,001,1973/11/14 00:00:00,264,
B40B0282,001,1973/11/28 00:00:00,194,
B40B0282,001,1973/12/14 00:00:00,154,
B40B0282,001,1973/12/28 00:00:00,264,
B40B0282,001,1974/01/14 00:00:00,209,
B40B0282,001,1974/01/28 00:00:00,174,
B40B0282,001,1974/02/14 00:00:00,124,
B40B0282,001,1974/02/28 00:00:00,114,
B40B0282,001,1974/03/14 00:00:00,164,
B40B0282,001,1974/03/28 00:00:00,264,
B40B0282,001,1974/04/17 00:00:00,164,
B40B0282,001,1974/04/29 00:00:00,189,
B40B0282,001,1974/05/14 00:00:00,204,
B40B0282,001,1974/05/28 00:00:00,204,
B40B0282,001,1974/06/14 00:00:00,264,
B40B0282,001,1974/06/28 00:00:00,164,
B40B0282,001,1974/07/18 00:00:00,194,
B40B0282,001,1974/08/01 00:00:00,214,
B40B0282,001,1974/08/15 00:00:00,394,
B40B0282,001,1974/08/28 00:00:00,214,
B40B0282,001,1974/09/13 00:00:00,209,
B40B0282,001,1974/09/27 00:00:00,209,
B40B0282,001,1974/10/14 00:00:00,214,
B40B0282,001,1974/10/28 00:00:00,144,
B40B0282,001,1974/11/14 00:00:00,174,
B40B0282,001,1974/11/28 00:00:00,124,
B40B0282,001,1974/12/13 00:00:00,89,
B40B0282,001,1975/01/15 00:00:00,114,
B40B0282,001,1975/01/28 00:00:00,149,
B40B0282,001,1975/02/14 00:00:00,164,
B40B0282,001,1975/02/28 00:00:00,179,
B40B0282,001,1975/03/14 00:00:00,194,
B40B0282,001,1975/03/27 00:00:00,189,
B40B0282,001,1975/04/14 00:00:00,174,
B40B0282,001,1975/05/14 00:00:00,189,
B40B0282,001,1975/05/28 00:00:00,194,
B40B0282,001,1975/06/13 00:00:00,204,
B40B0282,001,1975/06/27 00:00:00,194,
B40B0282,001,1975/07/14 00:00:00,194,
B40B0282,001,1975/07/28 00:00:00,194,
B40B0282,001,1975/08/14 00:00:00,194,
B40B0282,001,1975/09/15 00:00:00,184,
B40B0282,001,1975/09/29 00:00:00,199,
B40B0282,001,1975/10/28 00:00:00,214,
B40B0282,001,1975/11/14 00:00:00,214,
B40B0282,001,1975/11/28 00:00:00,214,
B40B0282,001,1975/12/29 00:00:00,214,
B40B0282,001,1976/01/14 00:00:00,184,
B40B0282,001,1976/01/28 00:00:00,219,
B40B0282,001,1976/02/13 00:00:00,179,
B40B0282,001,1976/02/27 00:00:00,179,
B40B0282,001,1976/03/15 00:00:00,194,
B40B0282,001,1976/03/29 00:00:00,209,
B40B0282,001,1976/04/14 00:00:00,209,
B40B0282,001,1976/05/14 00:00:00,229,
B40B0282,001,1976/05/28 00:00:00,224,
B40B0282,001,1976/06/14 00:00:00,214,
B40B0282,001,1976/06/28 00:00:00,234,
B40B0282,001,1976/07/14 00:00:00,294,
B40B0282,001,1976/07/28 00:00:00,264,
B40B0282,001,1976/08/14 00:00:00,254,
B40B0282,001,1976/09/14 00:00:00,294,
B40B0282,001,1976/09/28 00:00:00,264,
B40B0282,001,1976/10/28 00:00:00,274,
B40B0282,001,1976/11/14 00:00:00,284,
B40B0282,001,1976/11/29 00:00:00,274,
B40B0282,001,1976/12/28 00:00:00,224,
B40B0282,001,1977/01/14 00:00:00,214,
B40B0282,001,1977/01/28 00:00:00,214,
B40B0282,001,1977/02/14 00:00:00,114,
B40B0282,001,1977/02/28 00:00:00,114,
B40B0282,001,1977/03/14 00:00:00,184,
B40B0282,001,1977/03/28 00:00:00,194,
B40B0282,001,1977/04/14 00:00:00,204,
B40B0282,001,1977/05/16 00:00:00,164,
B40B0282,001,1977/05/31 00:00:00,194,
B40B0282,001,1977/06/14 00:00:00,204,
B40B0282,001,1977/06/28 00:00:00,194,
B40B0282,001,1977/07/14 00:00:00,214,
B40B0282,001,1977/07/28 00:00:00,219,
B40B0282,001,1977/08/15 00:00:00,204,
B40B0282,001,1977/08/29 00:00:00,194,
B40B0282,001,1977/09/14 00:00:00,214,
B40B0282,001,1977/09/28 00:00:00,214,
B40B0282,001,1977/10/14 00:00:00,224,
B40B0282,001,1977/10/28 00:00:00,234,
B40B0282,001,1977/11/14 00:00:00,214,
B40B0282,001,1977/11/28 00:00:00,164,
B40B0282,001,1977/12/14 00:00:00,184,
B40B0282,001,1977/12/28 00:00:00,194,
B40B0282,001,1978/01/13 00:00:00,214,
B40B0282,001,1978/01/27 00:00:00,224,
B40B0282,001,1978/02/14 00:00:00,184,
B40B0282,001,1978/02/28 00:00:00,164,
B40B0282,001,1978/03/14 00:00:00,154,
B40B0282,001,1978/03/28 00:00:00,94,
B40B0282,001,1978/04/14 00:00:00,144,
B40B0282,001,1978/04/28 00:00:00,184,
B40B0282,001,1978/05/16 00:00:00,164,
B40B0282,001,1978/05/29 00:00:00,114,
B40B0282,001,1978/06/14 00:00:00,144,
B40B0282,001,1978/06/28 00:00:00,174,
B40B0282,001,1978/07/14 00:00:00,134,
B40B0282,001,1978/07/28 00:00:00,164,
B40B0282,001,1978/08/14 00:00:00,169,
B40B0282,001,1978/08/28 00:00:00,179,
B40B0282,001,1978/09/14 00:00:00,194,
B40B0282,001,1978/09/28 00:00:00,204,
B40B0282,001,1978/10/13 00:00:00,194,
B40B0282,001,1978/10/27 00:00:00,204,
B40B0282,001,1978/11/14 00:00:00,214,
B40B0282,001,1978/11/28 00:00:00,224,
B40B0282,001,1978/12/14 00:00:00,224,
B40B0282,001,1979/01/15 00:00:00,174,
B40B0282,001,1979/01/29 00:00:00,194,
B40B0282,001,1979/02/14 00:00:00,114,
B40B0282,001,1979/02/28 00:00:00,144,
B40B0282,001,1979/03/14 00:00:00,104,
B40B0282,001,1979/03/28 00:00:00,124,
B40B0282,001,1979/04/17 00:00:00,164,
B40B0282,001,1979/04/27 00:00:00,184,
B40B0282,001,1979/05/14 00:00:00,154,
B40B0282,001,1979/05/28 00:00:00,184,
B40B0282,001,1979/06/14 00:00:00,174,
B40B0282,001,1979/06/28 00:00:00,184,
B40B0282,001,1979/07/13 00:00:00,204,
B40B0282,001,1979/07/27 00:00:00,179,
B40B0282,001,1979/08/14 00:00:00,194,
B40B0282,001,1979/08/28 00:00:00,214,
B40B0282,001,1979/09/14 00:00:00,204,
B40B0282,001,1979/09/28 00:00:00,224,
B40B0282,001,1979/10/15 00:00:00,214,
B40B0282,001,1979/10/29 00:00:00,224,
B40B0282,001,1979/11/14 00:00:00,194,
B40B0282,001,1979/11/28 00:00:00,204,
B40B0282,001,1979/12/14 00:00:00,174,
B40B0282,001,1979/12/28 00:00:00,134,
B40B0282,001,1980/01/14 00:00:00,144,
B40B0282,001,1980/01/28 00:00:00,184,
B40B0282,001,1980/02/14 00:00:00,84,
B40B0282,001,1980/02/28 00:00:00,164,
B40B0282,001,1980/03/14 00:00:00,174,
B40B0282,001,1980/03/28 00:00:00,184,
B40B0282,001,1980/04/14 00:00:00,164,
B40B0282,001,1980/04/28 00:00:00,174,
B40B0282,001,1980/05/14 00:00:00,194,
B40B0282,001,1980/05/28 00:00:00,204,
B40B0282,001,1980/06/13 00:00:00,194,
B40B0282,001,1980/06/27 00:00:00,184,
B40B0282,001,1980/07/28 00:00:00,124,
B40B0282,001,1980/08/18 00:00:00,164,
B40B0282,001,1980/08/28 00:00:00,209,
B40B0282,001,1980/09/15 00:00:00,204,
B40B0282,001,1980/09/29 00:00:00,204,
B40B0282,001,1980/10/14 00:00:00,194,
B40B0282,001,1980/10/28 00:00:00,204,
B40B0282,001,1980/11/14 00:00:00,194,
B40B0282,001,1980/11/28 00:00:00,184,
B40B0282,001,1980/12/15 00:00:00,204,
B40B0282,001,1980/12/29 00:00:00,144,
B40B0282,001,1981/01/14 00:00:00,144,
B40B0282,001,1981/01/28 00:00:00,164,
B40B0282,001,1981/02/13 00:00:00,104,
B40B0282,001,1981/02/27 00:00:00,174,
B40B0282,001,1981/03/13 00:00:00,94,
B40B0282,001,1981/03/27 00:00:00,134,
B40B0282,001,1981/04/14 00:00:00,114,
B40B0282,001,1981/04/28 00:00:00,134,
B40B0282,001,1981/05/14 00:00:00,194,
B40B0282,001,1981/05/27 00:00:00,204,
B40B0282,001,1981/06/15 00:00:00,174,
B40B0282,001,1981/06/29 00:00:00,204,
B40B0282,001,1981/07/14 00:00:00,204,
B40B0282,001,1981/07/28 00:00:00,174,
B40B0282,001,1981/08/28 00:00:00,204,
B40B0282,001,1981/09/14 00:00:00,194,
B40B0282,001,1981/09/28 00:00:00,204,
B40B0282,001,1981/10/14 00:00:00,184,
B40B0282,001,1981/10/28 00:00:00,134,
B40B0282,001,1981/11/16 00:00:00,164,
B40B0282,001,1981/11/27 00:00:00,174,
B40B0282,001,1981/12/14 00:00:00,94,
B40B0282,001,1981/12/28 00:00:00,124,
B40B0282,001,1982/01/14 00:00:00,84,
B40B0282,001,1982/01/29 00:00:00,144,
B40B0282,001,1982/02/15 00:00:00,149,
B40B0282,001,1982/03/01 00:00:00,164,
B40B0282,001,1982/03/15 00:00:00,154,
B40B0282,001,1982/03/29 00:00:00,144,
B40B0282,001,1982/04/14 00:00:00,164,
B40B0282,001,1982/04/28 00:00:00,194,
B40B0282,001,1982/05/14 00:00:00,194,
B40B0282,001,1982/05/28 00:00:00,244,
B40B0282,001,1982/06/14 00:00:00,194,
B40B0282,001,1982/06/28 00:00:00,209,
B40B0282,001,1982/07/14 00:00:00,224,
B40B0282,001,1982/07/28 00:00:00,239,
B40B0282,001,1982/08/13 00:00:00,204,
B40B0282,001,1982/08/27 00:00:00,214,
B40B0282,001,1982/09/20 00:00:00,249,
B40B0282,001,1982/09/28 00:00:00,229,
B40B0282,001,1982/10/14 00:00:00,224,
B40B0282,001,1982/10/28 00:00:00,209,
B40B0282,001,1982/11/15 00:00:00,249,
B40B0282,001,1982/11/29 00:00:00,219,
B40B0282,001,1982/12/14 00:00:00,179,
B40B0282,001,1982/12/28 00:00:00,139,
B40B0282,001,1983/01/14 00:00:00,159,
B40B0282,001,1983/01/28 00:00:00,164,
B40B0282,001,1983/02/15 00:00:00,144,
B40B0282,001,1983/03/01 00:00:00,184,
B40B0282,001,1983/03/14 00:00:00,184,
B40B0282,001,1983/03/28 00:00:00,134,
B40B0282,001,1983/04/14 00:00:00,84,
B40B0282,001,1983/04/28 00:00:00,149,
B40B0282,001,1983/05/16 00:00:00,164,
B40B0282,001,1983/05/27 00:00:00,124,
B40B0282,001,1983/06/14 00:00:00,144,
B40B0282,001,1983/06/28 00:00:00,174,
B40B0282,001,1983/07/14 00:00:00,204,
B40B0282,001,1983/07/28 00:00:00,214,
B40B0282,001,1983/08/29 00:00:00,214,
B40B0282,001,1983/09/14 00:00:00,204,
B40B0282,001,1983/09/29 00:00:00,214,
B40B0282,001,1983/10/17 00:00:00,219,
B40B0282,001,1983/10/28 00:00:00,214,
B40B0282,001,1983/11/14 00:00:00,234,
B40B0282,001,1983/11/28 00:00:00,224,
B40B0282,001,1983/12/19 00:00:00,189,
B40B0282,001,1983/12/28 00:00:00,184,
B40B0282,001,1984/01/13 00:00:00,174,
B40B0282,001,1984/01/28 00:00:00,154,
B40B0282,001,1984/02/14 00:00:00,84,
B40B0282,001,1984/02/28 00:00:00,174,
B40B0282,001,1984/03/15 00:00:00,184,
B40B0282,001,1984/03/28 00:00:00,194,
B40B0282,001,1984/04/16 00:00:00,174,
B40B0282,001,1984/05/01 00:00:00,194,
B40B0282,001,1984/05/15 00:00:00,194,
B40B0282,001,1984/05/28 00:00:00,264,
B40B0282,001,1984/06/28 00:00:00,184,
B40B0282,001,1984/07/13 00:00:00,164,
B40B0282,001,1984/08/14 00:00:00,194,
B40B0282,001,1984/08/30 00:00:00,214,
B40B0282,001,1984/09/14 00:00:00,164,
B40B0282,001,1984/09/26 00:00:00,84,
B40B0282,001,1984/10/15 00:00:00,154,
B40B0282,001,1984/10/29 00:00:00,154,
B40B0282,001,1984/11/14 00:00:00,184,
B40B0282,001,1984/11/28 00:00:00,134,
B40B0282,001,1984/12/14 00:00:00,174,
B40B0282,001,1985/01/14 00:00:00,214,
B40B0282,001,1985/01/28 00:00:00,194,
B40B0282,001,1985/02/14 00:00:00,164,
B40B0282,001,1985/02/28 00:00:00,184,
B40B0282,001,1985/03/14 00:00:00,204,
B40B0282,001,1985/03/28 00:00:00,204,
B40B0282,001,1985/04/15 00:00:00,164,
B40B0282,001,1985/04/29 00:00:00,184,
B40B0282,001,1985/05/15 00:00:00,164,
B40B0282,001,1985/05/29 00:00:00,154,
B40B0282,001,1985/06/13 00:00:00,174,
B40B0282,001,1985/06/28 00:00:00,164,
B40B0282,001,1985/07/15 00:00:00,194,
B40B0282,001,1985/07/29 00:00:00,164,
B40B0282,001,1985/08/14 00:00:00,214,
B40B0282,001,1985/08/28 00:00:00,224,
B40B0282,001,1985/09/13 00:00:00,204,
B40B0282,001,1985/10/14 00:00:00,224,
B40B0282,001,1985/10/28 00:00:00,244,
B40B0282,001,1985/11/14 00:00:00,224,
B40B0282,001,1985/11/28 00:00:00,224,
B40B0282,001,1985/12/13 00:00:00,214,
B40B0282,001,1986/01/14 00:00:00,184,
B40B0282,001,1986/01/28 00:00:00,99,
B40B0282,001,1986/02/14 00:00:00,184,
B40B0282,001,1986/03/03 00:00:00,234,
B40B0282,001,1986/03/14 00:00:00,244,
B40B0282,001,1986/03/25 00:00:00,204,
B40B0282,001,1986/04/14 00:00:00,144,
B40B0282,001,1986/04/28 00:00:00,134,
B40B0282,001,1986/05/14 00:00:00,184,
B40B0282,001,1986/05/28 00:00:00,174,
B40B0282,001,1986/06/16 00:00:00,144,
B40B0282,001,1986/06/30 00:00:00,184,
B40B0282,001,1986/07/14 00:00:00,194,
B40B0282,001,1986/07/28 00:00:00,189,
B40B0282,001,1986/08/14 00:00:00,224,
B40B0282,001,1986/08/28 00:00:00,214,
B40B0282,001,1986/09/15 00:00:00,214,
B40B0282,001,1986/09/29 00:00:00,214,
B40B0282,001,1986/10/14 00:00:00,234,
B40B0282,001,1986/10/28 00:00:00,194,
B40B0282,001,1986/11/18 00:00:00,214,
B40B0282,001,1986/11/28 00:00:00,214,
B40B0282,001,1986/12/15 00:00:00,204,
B40B0282,001,1986/12/29 00:00:00,164,
B40B0282,001,1987/01/28 00:00:00,184,
B40B0282,001,1987/03/02 00:00:00,154,
B40B0282,001,1987/03/13 00:00:00,134,
B40B0282,001,1987/03/27 00:00:00,134,
B40B0282,001,1987/04/14 00:00:00,164,
B40B0282,001,1987/04/28 00:00:00,184,
B40B0282,001,1987/05/14 00:00:00,174,
B40B0282,001,1987/05/29 00:00:00,174,
B40B0282,001,1987/06/15 00:00:00,144,
B40B0282,001,1987/06/29 00:00:00,104,
B40B0282,001,1987/07/14 00:00:00,144,
B40B0282,001,1987/07/30 00:00:00,144,
B40B0282,001,1987/08/14 00:00:00,154,
B40B0282,001,1987/08/28 00:00:00,194,
B40B0282,001,1987/09/28 00:00:00,204,
B40B0282,001,1987/10/15 00:00:00,214,
B40B0282,001,1987/10/28 00:00:00,184,
B40B0282,001,1987/11/16 00:00:00,203,
B40B0282,001,1987/11/30 00:00:00,174,
B40B0282,001,1987/12/14 00:00:00,194,
B40B0282,001,1987/12/28 00:00:00,164,
B40B0282,001,1988/01/14 00:00:00,164,
B40B0282,001,1988/01/28 00:00:00,114,
B40B0282,001,1988/02/15 00:00:00,104,
B40B0282,001,1988/03/01 00:00:00,164,
B40B0282,001,1988/03/15 00:00:00,144,
B40B0282,001,1988/03/28 00:00:00,74,
B40B0282,001,1988/04/15 00:00:00,144,
B40B0282,001,1988/05/03 00:00:00,174,
B40B0282,001,1988/05/27 00:00:00,194,
B40B0282,001,1988/06/15 00:00:00,194,
B40B0282,001,1988/06/30 00:00:00,189,
B40B0282,001,1988/07/14 00:00:00,204,
B40B0282,001,1988/07/28 00:00:00,194,
B40B0282,001,1988/08/15 00:00:00,204,
B40B0282,001,1988/08/29 00:00:00,204,
B40B0282,001,1988/09/14 00:00:00,214,
B40B0282,001,1988/10/14 00:00:00,204,
B40B0282,001,1988/10/28 00:00:00,204,
B40B0282,001,1988/11/14 00:00:00,224,
B40B0282,001,1988/11/29 00:00:00,234,
B40B0282,001,1988/12/13 00:00:00,144,
B40B0282,001,1989/01/16 00:00:00,184,
B40B0282,001,1989/01/27 00:00:00,194,
B40B0282,001,1989/02/14 00:00:00,204,
B40B0282,001,1989/02/28 00:00:00,194,
B40B0282,001,1989/03/15 00:00:00,214,
B40B0282,001,1989/03/29 00:00:00,174,
B40B0282,001,1989/04/18 00:00:00,174,
B40B0282,001,1989/04/28 00:00:00,144,
B40B0282,001,1989/05/17 00:00:00,194,
B40B0282,001,1989/05/29 00:00:00,224,
B40B0282,001,1989/06/14 00:00:00,194,
B40B0282,001,1989/06/29 00:00:00,214,
B40B0282,001,1989/07/19 00:00:00,198,
B40B0282,001,1989/07/31 00:00:00,194,
B40B0282,001,1989/08/14 00:00:00,244,
B40B0282,001,1989/08/28 00:00:00,224,
B40B0282,001,1989/09/13 00:00:00,224,
B40B0282,001,1989/09/28 00:00:00,254,
B40B0282,001,1989/10/13 00:00:00,254,
B40B0282,001,1989/10/30 00:00:00,244,
B40B0282,001,1989/11/15 00:00:00,234,
B40B0282,001,1989/12/14 00:00:00,264,
