Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0339,003,40BP0339,192166,438557,965,,942,-7646,-7746,1990/11/19,2000/03/20
B40B0339,003,40BP0339,192166,438557,965,,949,-3951,-4951,2000/03/20,2004/09/16
B40B0339,003,40BP0339,192166,438557,965,,1010,-3951,-4951,2004/09/16,2017/11/06
B40B0339,003,40BP0339,192166,438557,965,,1020,-3951,-4951,2017/11/06,2019/10/10

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0339,003,1990/11/19 00:00:00,90,
B40B0339,003,1990/11/30 00:00:00,105,
B40B0339,003,1990/12/13 00:00:00,134,
B40B0339,003,1991/01/03 00:00:00,60,
B40B0339,003,1991/01/14 00:00:00,61,
B40B0339,003,1991/01/29 00:00:00,82,
B40B0339,003,1991/02/14 00:00:00,101,
B40B0339,003,1991/03/01 00:00:00,97,
B40B0339,003,1991/03/18 00:00:00,138,
B40B0339,003,1991/03/29 00:00:00,112,
B40B0339,003,1991/04/12 00:00:00,124,
B40B0339,003,1991/04/29 00:00:00,130,
B40B0339,003,1991/05/14 00:00:00,138,
B40B0339,003,1991/05/29 00:00:00,147,
B40B0339,003,1991/06/12 00:00:00,151,
B40B0339,003,1991/07/01 00:00:00,121,
B40B0339,003,1991/07/15 00:00:00,152,
B40B0339,003,1991/07/29 00:00:00,169,
B40B0339,003,1991/08/16 00:00:00,186,
B40B0339,003,1991/08/29 00:00:00,201,
B40B0339,003,1991/09/13 00:00:00,207,
B40B0339,003,1991/09/30 00:00:00,164,
B40B0339,003,1991/10/15 00:00:00,183,
B40B0339,003,1991/10/30 00:00:00,186,
B40B0339,003,1991/11/15 00:00:00,136,
B40B0339,003,1991/11/27 00:00:00,131,
B40B0339,003,1991/12/16 00:00:00,160,
B40B0339,003,1991/12/30 00:00:00,75,
B40B0339,003,1992/01/14 00:00:00,89,
B40B0339,003,1992/01/27 00:00:00,105,
B40B0339,003,1992/02/13 00:00:00,105,
B40B0339,003,1992/02/27 00:00:00,118,
B40B0339,003,1992/03/13 00:00:00,84,
B40B0339,003,1992/03/27 00:00:00,86,
B40B0339,003,1992/04/15 00:00:00,88,
B40B0339,003,1992/04/29 00:00:00,106,
B40B0339,003,1992/05/15 00:00:00,112,
