Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0375,001,40BP0375,191930,441751,1014,,1065,514,314,1990/01/09,1995/11/22
B40B0375,001,40BP0375,191930,441751,1014,,1080,514,314,1995/11/22,2004/09/21
B40B0375,001,40BP0375,191930,441751,1016,,1160,514,314,2004/09/21,2006/09/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0375,001,1990/03/29 00:00:00,137,
B40B0375,001,1990/04/17 00:00:00,133,
B40B0375,001,1990/04/27 00:00:00,144,
B40B0375,001,1990/05/14 00:00:00,147,
B40B0375,001,1990/05/29 00:00:00,155,
B40B0375,001,1990/06/14 00:00:00,157,
B40B0375,001,1990/06/27 00:00:00,155,
B40B0375,001,1990/07/17 00:00:00,152,
B40B0375,001,1990/07/30 00:00:00,167,
B40B0375,001,1990/08/14 00:00:00,210,
B40B0375,001,1990/09/04 00:00:00,197,
B40B0375,001,1990/09/17 00:00:00,206,
B40B0375,001,1990/09/27 00:00:00,214,
B40B0375,001,1990/10/15 00:00:00,194,
B40B0375,001,1990/11/20 00:00:00,116,
B40B0375,001,1990/11/30 00:00:00,111,
B40B0375,001,1990/12/13 00:00:00,135,
B40B0375,001,1991/01/03 00:00:00,48,
B40B0375,001,1991/01/15 00:00:00,43,
B40B0375,001,1991/01/29 00:00:00,120,
B40B0375,001,1991/02/14 00:00:00,176,
B40B0375,001,1991/03/01 00:00:00,144,
B40B0375,001,1991/03/18 00:00:00,144,
B40B0375,001,1991/03/29 00:00:00,138,
B40B0375,001,1991/04/12 00:00:00,144,
B40B0375,001,1991/04/29 00:00:00,165,
B40B0375,001,1991/05/14 00:00:00,169,
B40B0375,001,1991/05/29 00:00:00,160,
B40B0375,001,1991/06/11 00:00:00,172,
B40B0375,001,1991/07/01 00:00:00,139,
B40B0375,001,1991/07/15 00:00:00,164,
B40B0375,001,1991/07/29 00:00:00,164,
B40B0375,001,1991/08/16 00:00:00,177,
B40B0375,001,1991/08/30 00:00:00,209,
B40B0375,001,1991/09/13 00:00:00,239,
B40B0375,001,1991/09/30 00:00:00,227,
B40B0375,001,1991/10/15 00:00:00,217,
B40B0375,001,1991/10/29 00:00:00,225,
B40B0375,001,1991/11/15 00:00:00,181,
B40B0375,001,1991/11/27 00:00:00,175,
B40B0375,001,1991/12/16 00:00:00,216,
B40B0375,001,1991/12/30 00:00:00,91,
B40B0375,001,1992/01/14 00:00:00,141,
B40B0375,001,1992/01/27 00:00:00,160,
B40B0375,001,1992/02/13 00:00:00,167,
B40B0375,001,1992/02/27 00:00:00,160,
B40B0375,001,1992/03/16 00:00:00,130,
B40B0375,001,1992/03/27 00:00:00,86,
B40B0375,001,1992/04/14 00:00:00,128,
B40B0375,001,1992/04/29 00:00:00,144,
B40B0375,001,1992/05/15 00:00:00,144,
B40B0375,001,1992/05/27 00:00:00,158,
B40B0375,001,1992/06/16 00:00:00,148,
B40B0375,001,1992/06/30 00:00:00,167,
B40B0375,001,1992/07/15 00:00:00,170,
B40B0375,001,1992/08/04 00:00:00,181,
B40B0375,001,1992/08/14 00:00:00,182,
B40B0375,001,1992/08/28 00:00:00,194,
B40B0375,001,1992/09/15 00:00:00,180,
B40B0375,001,1992/09/29 00:00:00,208,
B40B0375,001,1992/10/15 00:00:00,227,
B40B0375,001,1992/10/29 00:00:00,213,
B40B0375,001,1992/11/13 00:00:00,179,
B40B0375,001,1992/11/30 00:00:00,69,
B40B0375,001,1992/12/15 00:00:00,63,
B40B0375,001,1992/12/29 00:00:00,121,
B40B0375,001,1993/01/19 00:00:00,68,
B40B0375,001,1993/01/29 00:00:00,94,
B40B0375,001,1993/02/16 00:00:00,137,
B40B0375,001,1993/02/26 00:00:00,137,
B40B0375,001,1993/03/16 00:00:00,158,
B40B0375,001,1993/03/29 00:00:00,162,
B40B0375,001,1993/04/15 00:00:00,161,
B40B0375,001,1993/04/28 00:00:00,158,
B40B0375,001,1993/05/17 00:00:00,167,
B40B0375,001,1993/05/27 00:00:00,166,
B40B0375,001,1993/06/15 00:00:00,183,
B40B0375,001,1993/06/29 00:00:00,182,
B40B0375,001,1993/07/14 00:00:00,176,
B40B0375,001,1993/07/29 00:00:00,149,
B40B0375,001,1993/08/17 00:00:00,165,
B40B0375,001,1993/08/31 00:00:00,183,
B40B0375,001,1993/09/15 00:00:00,161,
B40B0375,001,1993/09/29 00:00:00,145,
B40B0375,001,1993/10/15 00:00:00,108,
B40B0375,001,1993/10/29 00:00:00,131,
B40B0375,001,1993/11/16 00:00:00,134,
B40B0375,001,1993/11/30 00:00:00,156,
B40B0375,001,1993/12/14 00:00:00,131,
B40B0375,001,1993/12/28 00:00:00,-1,
B40B0375,001,1994/01/13 00:00:00,31,
B40B0375,001,1994/01/27 00:00:00,73,
B40B0375,001,1994/02/14 00:00:00,88,
B40B0375,001,1994/02/25 00:00:00,132,
B40B0375,001,1994/03/15 00:00:00,120,
B40B0375,001,1994/03/29 00:00:00,68,
B40B0375,001,1994/04/13 00:00:00,66,
B40B0375,001,1994/04/27 00:00:00,91,
B40B0375,001,1994/05/17 00:00:00,121,
B40B0375,001,1994/05/30 00:00:00,91,
B40B0375,001,1994/06/13 00:00:00,90,
B40B0375,001,1994/06/28 00:00:00,137,
