Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-08-1997,tot:,31-12-2019,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40B0415,001,40BP0415,190155,440140,982,03-11-1993,03-11-1993,03-11-2017,1032,50,282,82
B40B0415,001,40BP0415,190155,440140,982,03-11-1993,03-11-2017,31-12-2019,1030,48,282,82


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40B0415,001,14-08-1997,218,168,814,,,,,,
B40B0415,001,28-08-1997,248,198,784,,,,,,
B40B0415,001,26-09-1997,260,210,772,,,,,,
B40B0415,001,27-10-1997,252,202,780,,,,,,
B40B0415,001,27-11-1997,261,211,771,,,,,,
B40B0415,001,29-12-1997,230,180,802,,,,,,
B40B0415,001,26-01-1998,216,166,816,,,,,,
B40B0415,001,26-02-1998,232,182,800,,,,,,
B40B0415,001,27-03-1998,206,156,826,,,,,,
B40B0415,001,22-04-1998,212,162,820,,CONTROLE,,,,
B40B0415,001,27-04-1998,209,159,823,,,,,,
B40B0415,001,27-05-1998,231,181,801,,,,,,
B40B0415,001,29-06-1998,220,170,812,,,,,,
B40B0415,001,29-07-1998,231,181,801,,,,,,
B40B0415,001,14-08-1998,231,181,801,,,,,,
B40B0415,001,27-08-1998,236,186,796,,,,,,
B40B0415,001,28-09-1998,199,149,833,,,,,,
B40B0415,001,27-10-1998,180,130,852,,,,,,
B40B0415,001,27-11-1998,183,133,849,,,,,,
B40B0415,001,28-12-1998,182,132,850,,,,,,
B40B0415,001,28-01-1999,189,139,843,,,,,,
B40B0415,001,25-02-1999,182,132,850,,,,,,
B40B0415,001,26-03-1999,185,135,847,,,,,,
B40B0415,001,28-04-1999,200,150,832,,,,,,
B40B0415,001,27-05-1999,204,154,828,,,,,,
