Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0420,002,40BP0420,192944,438896,1045,,1051,-1255,-1455,1993/10/29,1996/08/27
B40B0420,002,40BP0420,192944,438896,1045,,1120,-1255,-1455,1996/08/27,2017/11/06
B40B0420,002,40BP0420,192944,438896,1045,,1115,-1255,-1455,2017/11/06,2000/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0420,002,1997/08/14 00:00:00,227,
B40B0420,002,1997/09/15 00:00:00,242,
B40B0420,002,1997/10/13 00:00:00,252,
B40B0420,002,1997/11/13 00:00:00,262,
B40B0420,002,1997/12/15 00:00:00,248,
B40B0420,002,1998/01/13 00:00:00,168,
B40B0420,002,1998/02/13 00:00:00,195,
B40B0420,002,1998/03/13 00:00:00,163,
B40B0420,002,1998/04/14 00:00:00,179,
B40B0420,002,1998/04/22 00:00:00,175,
B40B0420,002,1998/05/13 00:00:00,188,
B40B0420,002,1998/06/12 00:00:00,192,
B40B0420,002,1998/07/14 00:00:00,217,
B40B0420,002,1998/08/14 00:00:00,254,
B40B0420,002,1998/09/14 00:00:00,238,
B40B0420,002,1998/10/13 00:00:00,289,
B40B0420,002,1998/11/13 00:00:00,44,
B40B0420,002,1998/12/14 00:00:00,138,
B40B0420,002,1999/01/15 00:00:00,122,
B40B0420,002,1999/02/12 00:00:00,,Y
B40B0420,002,1999/03/12 00:00:00,43,
B40B0420,002,1999/04/13 00:00:00,129,
B40B0420,002,1999/05/14 00:00:00,134,
B40B0420,002,1999/06/14 00:00:00,132,
B40B0420,002,1999/07/13 00:00:00,174,
B40B0420,002,1999/08/16 00:00:00,209,
B40B0420,002,1999/09/14 00:00:00,234,
B40B0420,002,1999/10/13 00:00:00,273,
B40B0420,002,1999/11/15 00:00:00,263,
B40B0420,002,1999/12/14 00:00:00,204,
B40B0420,002,2000/01/13 00:00:00,111,
B40B0420,002,2000/02/14 00:00:00,144,
B40B0420,002,2000/03/14 00:00:00,92,
B40B0420,002,2000/04/13 00:00:00,147,
B40B0420,002,2000/05/12 00:00:00,186,
B40B0420,002,2000/06/14 00:00:00,181,
B40B0420,002,2000/07/14 00:00:00,210,
B40B0420,002,2000/08/14 00:00:00,224,
B40B0420,002,2000/09/14 00:00:00,227,
B40B0420,002,2000/10/13 00:00:00,218,
