Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0423,003,40BP0423,191223,443836,1312,,1362,-5838,-6038,1993/11/15,2000/05/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0423,003,1994/03/15 00:00:00,240,
B40B0423,003,1994/03/28 00:00:00,184,
B40B0423,003,1994/04/28 00:00:00,217,
B40B0423,003,1994/05/16 00:00:00,237,
B40B0423,003,1994/05/27 00:00:00,204,
B40B0423,003,1994/06/15 00:00:00,205,
B40B0423,003,1994/06/29 00:00:00,250,
B40B0423,003,1994/07/14 00:00:00,270,
B40B0423,003,1994/07/28 00:00:00,263,
B40B0423,003,1994/08/17 00:00:00,258,
B40B0423,003,1994/08/30 00:00:00,262,
B40B0423,003,1994/09/14 00:00:00,253,
B40B0423,003,1994/09/28 00:00:00,259,
B40B0423,003,1994/10/13 00:00:00,261,
B40B0423,003,1994/10/27 00:00:00,285,
B40B0423,003,1994/11/15 00:00:00,262,
B40B0423,003,1994/11/29 00:00:00,249,
B40B0423,003,1994/12/14 00:00:00,252,
B40B0423,003,1994/12/27 00:00:00,241,
B40B0423,003,1995/01/13 00:00:00,220,
B40B0423,003,1995/01/27 00:00:00,104,
B40B0423,003,1995/02/14 00:00:00,149,
B40B0423,003,1995/02/28 00:00:00,130,
B40B0423,003,1995/03/14 00:00:00,184,
B40B0423,003,1995/03/28 00:00:00,145,
B40B0423,003,1995/04/12 00:00:00,180,
B40B0423,003,1995/04/26 00:00:00,185,
B40B0423,003,1995/05/15 00:00:00,220,
B40B0423,003,1995/05/30 00:00:00,214,
B40B0423,003,1995/06/14 00:00:00,173,
B40B0423,003,1995/06/27 00:00:00,201,
B40B0423,003,1995/07/13 00:00:00,237,
B40B0423,003,1995/07/27 00:00:00,236,
B40B0423,003,1995/08/11 00:00:00,238,
B40B0423,003,1995/08/25 00:00:00,246,
B40B0423,003,1995/09/13 00:00:00,248,
B40B0423,003,1995/09/27 00:00:00,237,
B40B0423,003,1995/10/13 00:00:00,241,
B40B0423,003,1995/10/26 00:00:00,258,
B40B0423,003,1995/11/14 00:00:00,263,
B40B0423,003,1995/11/28 00:00:00,247,
B40B0423,003,1995/12/13 00:00:00,261,
B40B0423,003,1995/12/27 00:00:00,223,
B40B0423,003,1996/01/15 00:00:00,240,
B40B0423,003,1996/01/30 00:00:00,254,
B40B0423,003,1996/02/28 00:00:00,248,
B40B0423,003,1996/03/29 00:00:00,257,
B40B0423,003,1996/04/29 00:00:00,274,
B40B0423,003,1996/05/28 00:00:00,264,
B40B0423,003,1996/06/28 00:00:00,264,
B40B0423,003,1996/07/29 00:00:00,259,
B40B0423,003,1996/08/29 00:00:00,264,
B40B0423,003,1996/09/27 00:00:00,290,
B40B0423,003,1996/10/28 00:00:00,265,
B40B0423,003,1996/11/29 00:00:00,243,
B40B0423,003,1996/12/30 00:00:00,229,
B40B0423,003,1997/05/28 00:00:00,268,
B40B0423,003,1997/06/30 00:00:00,247,
B40B0423,003,1997/08/29 00:00:00,280,
B40B0423,003,1997/09/29 00:00:00,300,
B40B0423,003,1997/10/28 00:00:00,302,
B40B0423,003,1997/11/28 00:00:00,309,
B40B0423,003,1997/12/30 00:00:00,330,
B40B0423,003,1998/01/27 00:00:00,245,
B40B0423,003,1998/02/27 00:00:00,284,
B40B0423,003,1998/05/04 00:00:00,260,
B40B0423,003,1998/05/28 00:00:00,285,
B40B0423,003,1998/06/26 00:00:00,269,
B40B0423,003,1998/07/28 00:00:00,287,
B40B0423,003,1998/08/28 00:00:00,316,
B40B0423,003,1998/09/29 00:00:00,265,
B40B0423,003,1998/10/28 00:00:00,234,
B40B0423,003,1998/11/30 00:00:00,225,
B40B0423,003,1998/12/29 00:00:00,221,
B40B0423,003,1999/01/28 00:00:00,242,
B40B0423,003,1999/03/29 00:00:00,187,
B40B0423,003,1999/04/27 00:00:00,193,
B40B0423,003,1999/05/28 00:00:00,168,
B40B0423,003,1999/06/29 00:00:00,211,
B40B0423,003,1999/07/28 00:00:00,241,
B40B0423,003,1999/08/27 00:00:00,240,
B40B0423,003,1999/09/28 00:00:00,271,
B40B0423,003,1999/10/28 00:00:00,257,
B40B0423,003,1999/11/29 00:00:00,247,
B40B0423,003,1999/12/28 00:00:00,147,
B40B0423,003,2000/01/28 00:00:00,234,
B40B0423,003,2000/02/29 00:00:00,145,
B40B0423,003,2000/03/28 00:00:00,193,
B40B0423,003,2000/04/28 00:00:00,240,
