Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0458,001,40BB0024,190760,442140,,,,,,1966/01/01,1969/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0458,001,1966/02/14 00:00:00,,
B40B0458,001,1966/02/28 00:00:00,,
B40B0458,001,1966/03/14 00:00:00,,
B40B0458,001,1966/04/28 00:00:00,,
B40B0458,001,1966/05/13 00:00:00,,
B40B0458,001,1966/05/28 00:00:00,,
B40B0458,001,1966/06/14 00:00:00,,
B40B0458,001,1966/06/28 00:00:00,,
B40B0458,001,1966/07/14 00:00:00,,
B40B0458,001,1966/07/28 00:00:00,,
B40B0458,001,1966/08/12 00:00:00,,
B40B0458,001,1966/08/26 00:00:00,,
B40B0458,001,1966/09/14 00:00:00,,
B40B0458,001,1966/09/28 00:00:00,,
B40B0458,001,1966/10/14 00:00:00,,
B40B0458,001,1966/10/28 00:00:00,,
B40B0458,001,1966/11/28 00:00:00,,
B40B0458,001,1966/12/14 00:00:00,,
B40B0458,001,1966/12/28 00:00:00,,
B40B0458,001,1967/01/16 00:00:00,,
B40B0458,001,1967/01/27 00:00:00,,
B40B0458,001,1967/02/14 00:00:00,,
B40B0458,001,1967/02/28 00:00:00,,
B40B0458,001,1967/03/14 00:00:00,,
B40B0458,001,1967/03/28 00:00:00,,
B40B0458,001,1967/04/14 00:00:00,,
B40B0458,001,1967/04/28 00:00:00,,
B40B0458,001,1967/05/16 00:00:00,,
B40B0458,001,1967/05/27 00:00:00,,
B40B0458,001,1967/06/14 00:00:00,,
B40B0458,001,1967/06/28 00:00:00,,
B40B0458,001,1967/07/14 00:00:00,,
B40B0458,001,1967/07/28 00:00:00,,
B40B0458,001,1967/08/11 00:00:00,,
B40B0458,001,1967/08/28 00:00:00,,
B40B0458,001,1967/09/15 00:00:00,,
B40B0458,001,1967/09/28 00:00:00,,
B40B0458,001,1967/10/13 00:00:00,,
B40B0458,001,1967/10/27 00:00:00,,
B40B0458,001,1967/11/14 00:00:00,,
B40B0458,001,1967/11/28 00:00:00,,
B40B0458,001,1967/12/14 00:00:00,,
B40B0458,001,1967/12/28 00:00:00,,
B40B0458,001,1968/01/17 00:00:00,,
B40B0458,001,1968/01/29 00:00:00,,
B40B0458,001,1968/02/14 00:00:00,,
B40B0458,001,1968/02/28 00:00:00,,
B40B0458,001,1968/03/14 00:00:00,,
B40B0458,001,1968/03/28 00:00:00,,
B40B0458,001,1968/04/16 00:00:00,,
B40B0458,001,1968/04/29 00:00:00,,
B40B0458,001,1968/05/14 00:00:00,,
B40B0458,001,1968/05/28 00:00:00,,
B40B0458,001,1968/06/14 00:00:00,,
B40B0458,001,1968/06/28 00:00:00,,
B40B0458,001,1968/07/23 00:00:00,,
B40B0458,001,1968/07/29 00:00:00,,
B40B0458,001,1968/08/14 00:00:00,,
B40B0458,001,1968/08/28 00:00:00,,
B40B0458,001,1968/09/13 00:00:00,,
B40B0458,001,1968/09/27 00:00:00,,
B40B0458,001,1968/10/14 00:00:00,,
B40B0458,001,1968/10/28 00:00:00,,
B40B0458,001,1968/11/14 00:00:00,,
B40B0458,001,1968/11/28 00:00:00,,
B40B0458,001,1968/12/16 00:00:00,,
B40B0458,001,1968/12/27 00:00:00,,
B40B0458,001,1969/01/14 00:00:00,,
B40B0458,001,1969/01/28 00:00:00,,
B40B0458,001,1969/02/17 00:00:00,,
B40B0458,001,1969/02/28 00:00:00,,
B40B0458,001,1969/03/18 00:00:00,,
B40B0458,001,1969/03/28 00:00:00,,
B40B0458,001,1969/04/14 00:00:00,,
B40B0458,001,1969/04/28 00:00:00,,
B40B0458,001,1969/05/14 00:00:00,,
B40B0458,001,1969/05/28 00:00:00,,
B40B0458,001,1969/06/13 00:00:00,,
B40B0458,001,1969/06/27 00:00:00,,
B40B0458,001,1969/07/14 00:00:00,,
B40B0458,001,1969/07/28 00:00:00,,
B40B0458,001,1969/08/14 00:00:00,,
B40B0458,001,1969/08/28 00:00:00,,
