Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0465,001,40BP0014,194040,440510,1132,,1168,553,453,1954/02/15,1965/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0465,001,1954/02/15 00:00:00,160,
B40B0465,001,1954/03/01 00:00:00,311,
B40B0465,001,1954/03/15 00:00:00,261,
B40B0465,001,1954/03/29 00:00:00,270,
B40B0465,001,1954/04/14 00:00:00,179,
B40B0465,001,1954/04/28 00:00:00,254,
B40B0465,001,1954/05/14 00:00:00,339,
B40B0465,001,1954/05/28 00:00:00,314,
B40B0465,001,1954/06/14 00:00:00,302,
B40B0465,001,1954/06/28 00:00:00,299,
B40B0465,001,1954/07/14 00:00:00,237,
B40B0465,001,1954/07/28 00:00:00,198,
B40B0465,001,1954/08/14 00:00:00,289,
B40B0465,001,1954/08/28 00:00:00,138,
B40B0465,001,1954/09/14 00:00:00,228,
B40B0465,001,1954/09/28 00:00:00,211,
B40B0465,001,1954/10/14 00:00:00,100,
B40B0465,001,1954/10/29 00:00:00,192,
B40B0465,001,1954/11/15 00:00:00,223,
B40B0465,001,1954/11/29 00:00:00,278,
B40B0465,001,1954/12/14 00:00:00,104,
B40B0465,001,1954/12/28 00:00:00,-20,
B40B0465,001,1955/01/15 00:00:00,181,
B40B0465,001,1955/01/28 00:00:00,-16,
B40B0465,001,1955/02/14 00:00:00,-29,
B40B0465,001,1955/02/28 00:00:00,134,
B40B0465,001,1955/03/18 00:00:00,233,
B40B0465,001,1955/03/28 00:00:00,-5,
B40B0465,001,1955/04/14 00:00:00,145,
B40B0465,001,1955/04/28 00:00:00,233,
B40B0465,001,1955/05/14 00:00:00,239,
B40B0465,001,1955/05/28 00:00:00,224,
B40B0465,001,1955/06/14 00:00:00,147,
B40B0465,001,1955/06/28 00:00:00,166,
B40B0465,001,1955/07/14 00:00:00,186,
B40B0465,001,1955/07/28 00:00:00,153,
B40B0465,001,1955/08/16 00:00:00,185,
B40B0465,001,1955/08/29 00:00:00,258,
B40B0465,001,1955/09/14 00:00:00,266,
B40B0465,001,1955/09/28 00:00:00,285,
B40B0465,001,1955/10/14 00:00:00,315,
B40B0465,001,1955/10/28 00:00:00,347,
B40B0465,001,1955/11/14 00:00:00,367,
B40B0465,001,1955/11/28 00:00:00,388,
B40B0465,001,1955/12/14 00:00:00,366,
B40B0465,001,1955/12/28 00:00:00,246,
B40B0465,001,1956/01/14 00:00:00,211,
B40B0465,001,1956/01/27 00:00:00,134,
B40B0465,001,1956/02/14 00:00:00,268,
