Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0603,001,40BL0018,192120,438560,1000,,1000,,,1952/11/14,1955/05/16
B40B0603,001,40BL0018,192120,438560,1000,,998,,,1955/05/16,1964/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0603,001,1952/11/14 00:00:00,106,
B40B0603,001,1952/11/28 00:00:00,99,
B40B0603,001,1952/12/18 00:00:00,63,
B40B0603,001,1952/12/29 00:00:00,77,
B40B0603,001,1953/01/14 00:00:00,99,
B40B0603,001,1953/01/28 00:00:00,83,
B40B0603,001,1953/02/16 00:00:00,91,
B40B0603,001,1953/03/02 00:00:00,98,
B40B0603,001,1953/03/14 00:00:00,106,
B40B0603,001,1953/03/28 00:00:00,107,
B40B0603,001,1953/04/14 00:00:00,106,
B40B0603,001,1953/04/28 00:00:00,113,
B40B0603,001,1953/05/15 00:00:00,85,
B40B0603,001,1953/05/28 00:00:00,143,
B40B0603,001,1953/06/15 00:00:00,139,
B40B0603,001,1953/06/29 00:00:00,144,
B40B0603,001,1953/07/14 00:00:00,79,
B40B0603,001,1953/07/28 00:00:00,123,
B40B0603,001,1953/08/14 00:00:00,133,
B40B0603,001,1953/08/28 00:00:00,124,
B40B0603,001,1953/09/14 00:00:00,141,
B40B0603,001,1953/09/28 00:00:00,151,
B40B0603,001,1953/10/13 00:00:00,156,
B40B0603,001,1953/10/28 00:00:00,173,
B40B0603,001,1953/11/14 00:00:00,186,D
B40B0603,001,1953/11/28 00:00:00,,D
B40B0603,001,1953/12/14 00:00:00,190,D
B40B0603,001,1953/12/28 00:00:00,175,
B40B0603,001,1954/01/14 00:00:00,153,
B40B0603,001,1954/02/20 00:00:00,147,
B40B0603,001,1954/03/01 00:00:00,131,
B40B0603,001,1954/03/15 00:00:00,120,
B40B0603,001,1954/03/29 00:00:00,144,
B40B0603,001,1954/04/14 00:00:00,141,
B40B0603,001,1954/04/27 00:00:00,152,
B40B0603,001,1954/05/14 00:00:00,163,
B40B0603,001,1954/05/28 00:00:00,156,
B40B0603,001,1954/06/14 00:00:00,149,
B40B0603,001,1954/07/14 00:00:00,167,
B40B0603,001,1954/07/28 00:00:00,102,
B40B0603,001,1954/08/13 00:00:00,112,
B40B0603,001,1954/08/28 00:00:00,100,
B40B0603,001,1954/09/14 00:00:00,112,
B40B0603,001,1954/09/28 00:00:00,117,
B40B0603,001,1954/10/12 00:00:00,98,
B40B0603,001,1954/10/28 00:00:00,74,
B40B0603,001,1954/11/15 00:00:00,92,
B40B0603,001,1954/11/29 00:00:00,80,
B40B0603,001,1954/12/13 00:00:00,86,
B40B0603,001,1954/12/28 00:00:00,75,
B40B0603,001,1955/01/28 00:00:00,69,
B40B0603,001,1955/03/28 00:00:00,84,
B40B0603,001,1955/04/14 00:00:00,89,
B40B0603,001,1955/04/27 00:00:00,95,
B40B0603,001,1955/05/16 00:00:00,107,
B40B0603,001,1955/05/31 00:00:00,100,
B40B0603,001,1955/06/15 00:00:00,110,
B40B0603,001,1955/06/28 00:00:00,117,
B40B0603,001,1955/08/25 00:00:00,134,
B40B0603,001,1955/09/14 00:00:00,112,
B40B0603,001,1955/09/28 00:00:00,136,
B40B0603,001,1955/10/13 00:00:00,139,
B40B0603,001,1955/10/28 00:00:00,134,
B40B0603,001,1955/11/14 00:00:00,124,
B40B0603,001,1955/11/28 00:00:00,144,
B40B0603,001,1955/12/14 00:00:00,134,
B40B0603,001,1955/12/28 00:00:00,102,
B40B0603,001,1956/01/13 00:00:00,88,
B40B0603,001,1957/08/14 00:00:00,138,
B40B0603,001,1957/08/28 00:00:00,124,
B40B0603,001,1957/09/14 00:00:00,85,
B40B0603,001,1957/09/28 00:00:00,87,
B40B0603,001,1957/10/14 00:00:00,98,
B40B0603,001,1957/10/28 00:00:00,89,
B40B0603,001,1957/11/14 00:00:00,95,
B40B0603,001,1957/11/28 00:00:00,115,
B40B0603,001,1957/12/14 00:00:00,111,
B40B0603,001,1957/12/28 00:00:00,100,
B40B0603,001,1958/01/14 00:00:00,64,
B40B0603,001,1958/02/14 00:00:00,85,
B40B0603,001,1958/02/28 00:00:00,65,
B40B0603,001,1958/03/14 00:00:00,83,
B40B0603,001,1958/03/29 00:00:00,92,
B40B0603,001,1958/04/14 00:00:00,103,
B40B0603,001,1958/04/28 00:00:00,102,
B40B0603,001,1958/05/14 00:00:00,100,
B40B0603,001,1958/06/14 00:00:00,92,
B40B0603,001,1958/06/28 00:00:00,82,
B40B0603,001,1958/07/14 00:00:00,105,
B40B0603,001,1958/07/28 00:00:00,93,
B40B0603,001,1958/08/14 00:00:00,87,
B40B0603,001,1958/08/28 00:00:00,104,
B40B0603,001,1958/09/15 00:00:00,130,
B40B0603,001,1958/09/29 00:00:00,127,
B40B0603,001,1958/10/14 00:00:00,105,
B40B0603,001,1958/10/28 00:00:00,110,
B40B0603,001,1958/11/14 00:00:00,95,
B40B0603,001,1958/11/28 00:00:00,114,
B40B0603,001,1958/12/15 00:00:00,82,
B40B0603,001,1958/12/29 00:00:00,75,
B40B0603,001,1959/01/14 00:00:00,65,
B40B0603,001,1959/01/28 00:00:00,82,
B40B0603,001,1959/02/14 00:00:00,92,
B40B0603,001,1959/03/02 00:00:00,101,
B40B0603,001,1959/03/16 00:00:00,99,
B40B0603,001,1959/03/31 00:00:00,85,
B40B0603,001,1959/04/14 00:00:00,99,
B40B0603,001,1959/04/28 00:00:00,90,
B40B0603,001,1959/05/14 00:00:00,95,
B40B0603,001,1959/05/28 00:00:00,99,
B40B0603,001,1959/06/14 00:00:00,134,D
B40B0603,001,1959/06/29 00:00:00,5,
B40B0603,001,1959/07/14 00:00:00,,D
B40B0603,001,1959/07/28 00:00:00,,D
B40B0603,001,1959/08/14 00:00:00,195,
B40B0603,001,1959/08/28 00:00:00,196,
B40B0603,001,1959/09/14 00:00:00,203,D
B40B0603,001,1959/09/28 00:00:00,202,D
B40B0603,001,1959/10/14 00:00:00,202,D
B40B0603,001,1959/10/28 00:00:00,202,D
B40B0603,001,1959/11/14 00:00:00,190,
B40B0603,001,1959/11/28 00:00:00,202,
B40B0603,001,1959/12/14 00:00:00,202,D
B40B0603,001,1959/12/28 00:00:00,194,
B40B0603,001,1960/01/14 00:00:00,192,
B40B0603,001,1960/01/28 00:00:00,185,
B40B0603,001,1960/02/15 00:00:00,152,
B40B0603,001,1960/02/29 00:00:00,149,
B40B0603,001,1960/03/14 00:00:00,134,
B40B0603,001,1960/03/28 00:00:00,144,
B40B0603,001,1960/04/14 00:00:00,155,
B40B0603,001,1960/04/28 00:00:00,177,
B40B0603,001,1960/05/14 00:00:00,180,
B40B0603,001,1960/05/28 00:00:00,177,
B40B0603,001,1960/06/14 00:00:00,180,
B40B0603,001,1960/06/28 00:00:00,182,
B40B0603,001,1960/07/14 00:00:00,169,
B40B0603,001,1960/07/28 00:00:00,171,
B40B0603,001,1960/08/19 00:00:00,142,
B40B0603,001,1960/08/29 00:00:00,132,
B40B0603,001,1960/09/14 00:00:00,130,
B40B0603,001,1960/09/28 00:00:00,127,
B40B0603,001,1960/10/14 00:00:00,77,
B40B0603,001,1960/10/28 00:00:00,72,
B40B0603,001,1960/11/14 00:00:00,80,
B40B0603,001,1960/11/28 00:00:00,62,
B40B0603,001,1960/12/14 00:00:00,59,
B40B0603,001,1960/12/28 00:00:00,91,
B40B0603,001,1961/01/14 00:00:00,70,
B40B0603,001,1961/01/28 00:00:00,73,
B40B0603,001,1961/02/14 00:00:00,81,
B40B0603,001,1961/02/28 00:00:00,75,
B40B0603,001,1961/03/14 00:00:00,79,
B40B0603,001,1961/03/28 00:00:00,81,
B40B0603,001,1961/04/14 00:00:00,104,
B40B0603,001,1961/04/28 00:00:00,100,
