Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0604,001,40BL0018,192140,438560,995,,998,848,798,1964/12/14,1975/05/14
B40B0604,001,40BL0018,192140,438560,995,,1007,857,807,1975/05/14,1976/10/14
B40B0604,001,40BL0018,192140,438560,995,,985,735,685,1976/10/14,1977/08/29
B40B0604,001,40BL0018,192140,438560,995,,990,740,690,1977/08/29,1987/06/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0604,001,1964/12/14 00:00:00,121,
B40B0604,001,1965/01/14 00:00:00,108,
B40B0604,001,1965/01/28 00:00:00,109,
B40B0604,001,1965/02/15 00:00:00,107,
B40B0604,001,1965/03/01 00:00:00,121,
B40B0604,001,1965/03/15 00:00:00,126,
B40B0604,001,1965/03/29 00:00:00,107,
B40B0604,001,1965/04/14 00:00:00,110,
B40B0604,001,1965/04/28 00:00:00,97,
B40B0604,001,1965/05/14 00:00:00,106,
B40B0604,001,1965/05/28 00:00:00,108,
B40B0604,001,1965/06/14 00:00:00,112,
B40B0604,001,1965/06/28 00:00:00,108,
B40B0604,001,1965/07/14 00:00:00,100,
B40B0604,001,1965/07/28 00:00:00,95,
B40B0604,001,1965/08/30 00:00:00,117,
B40B0604,001,1965/09/14 00:00:00,121,
B40B0604,001,1965/09/28 00:00:00,116,
B40B0604,001,1965/10/14 00:00:00,122,
B40B0604,001,1965/10/28 00:00:00,136,
B40B0604,001,1965/11/15 00:00:00,146,
B40B0604,001,1965/11/29 00:00:00,85,
B40B0604,001,1965/12/14 00:00:00,82,
B40B0604,001,1965/12/28 00:00:00,89,
B40B0604,001,1966/01/14 00:00:00,98,
B40B0604,001,1966/01/28 00:00:00,98,
B40B0604,001,1966/02/14 00:00:00,92,
B40B0604,001,1966/03/14 00:00:00,97,
B40B0604,001,1966/03/28 00:00:00,92,
B40B0604,001,1966/04/14 00:00:00,97,
B40B0604,001,1966/04/28 00:00:00,98,
B40B0604,001,1966/05/16 00:00:00,106,
B40B0604,001,1966/05/27 00:00:00,121,
B40B0604,001,1966/06/14 00:00:00,121,
B40B0604,001,1966/06/28 00:00:00,101,
B40B0604,001,1966/07/15 00:00:00,102,
B40B0604,001,1966/07/28 00:00:00,98,
B40B0604,001,1966/08/15 00:00:00,107,
B40B0604,001,1966/08/29 00:00:00,122,
B40B0604,001,1966/09/15 00:00:00,108,
B40B0604,001,1966/09/28 00:00:00,138,
B40B0604,001,1966/10/14 00:00:00,139,
B40B0604,001,1966/10/31 00:00:00,139,
B40B0604,001,1966/11/14 00:00:00,132,
B40B0604,001,1966/11/28 00:00:00,100,
B40B0604,001,1966/12/15 00:00:00,95,
B40B0604,001,1966/12/28 00:00:00,98,
B40B0604,001,1967/01/13 00:00:00,96,
B40B0604,001,1967/01/27 00:00:00,97,
B40B0604,001,1967/02/14 00:00:00,124,
B40B0604,001,1967/02/28 00:00:00,102,
B40B0604,001,1967/03/14 00:00:00,109,
B40B0604,001,1967/03/28 00:00:00,109,
B40B0604,001,1967/04/14 00:00:00,112,
B40B0604,001,1967/04/28 00:00:00,115,
B40B0604,001,1967/05/16 00:00:00,122,
B40B0604,001,1967/05/29 00:00:00,124,
B40B0604,001,1967/06/14 00:00:00,126,
B40B0604,001,1967/06/28 00:00:00,138,
B40B0604,001,1967/07/14 00:00:00,150,
B40B0604,001,1967/08/14 00:00:00,166,
B40B0604,001,1967/08/28 00:00:00,159,
B40B0604,001,1967/09/14 00:00:00,167,
B40B0604,001,1967/09/28 00:00:00,158,
B40B0604,001,1967/10/13 00:00:00,161,
B40B0604,001,1967/10/27 00:00:00,149,
B40B0604,001,1967/11/14 00:00:00,141,
B40B0604,001,1967/11/28 00:00:00,114,
B40B0604,001,1967/12/14 00:00:00,111,
B40B0604,001,1967/12/29 00:00:00,64,
B40B0604,001,1968/01/15 00:00:00,95,
B40B0604,001,1968/01/29 00:00:00,102,
B40B0604,001,1968/02/14 00:00:00,106,
B40B0604,001,1968/02/28 00:00:00,119,
B40B0604,001,1968/03/14 00:00:00,107,
B40B0604,001,1968/03/28 00:00:00,109,
B40B0604,001,1968/04/16 00:00:00,129,
B40B0604,001,1968/04/29 00:00:00,138,
B40B0604,001,1968/05/14 00:00:00,127,
B40B0604,001,1968/05/28 00:00:00,120,
B40B0604,001,1968/06/14 00:00:00,143,
B40B0604,001,1968/06/28 00:00:00,117,
B40B0604,001,1968/07/15 00:00:00,107,
B40B0604,001,1968/07/29 00:00:00,134,
B40B0604,001,1968/08/14 00:00:00,144,
B40B0604,001,1968/08/28 00:00:00,147,
B40B0604,001,1968/09/13 00:00:00,105,
B40B0604,001,1968/09/27 00:00:00,97,
B40B0604,001,1968/10/14 00:00:00,98,
B40B0604,001,1968/10/28 00:00:00,113,
B40B0604,001,1968/11/18 00:00:00,119,
B40B0604,001,1968/11/28 00:00:00,117,
B40B0604,001,1968/12/13 00:00:00,136,
B40B0604,001,1968/12/27 00:00:00,181,
B40B0604,001,1969/01/14 00:00:00,177,
B40B0604,001,1969/01/28 00:00:00,132,
B40B0604,001,1969/02/28 00:00:00,106,
B40B0604,001,1969/03/14 00:00:00,103,
B40B0604,001,1969/03/28 00:00:00,108,
B40B0604,001,1969/04/14 00:00:00,101,
B40B0604,001,1969/04/28 00:00:00,105,
