Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0610,001,40BL9002,190962,440603,1015,,1054,866,766,1979/09/28,1998/02/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B0610,001,1997/08/28 00:00:00,197,
B40B0610,001,1997/09/15 00:00:00,201,
B40B0610,001,1997/09/26 00:00:00,206,
B40B0610,001,1997/10/13 00:00:00,203,
B40B0610,001,1997/10/27 00:00:00,205,
B40B0610,001,1997/11/13 00:00:00,208,
B40B0610,001,1997/11/27 00:00:00,214,
B40B0610,001,1997/12/15 00:00:00,217,
B40B0610,001,1997/12/29 00:00:00,211,
B40B0610,001,1998/01/13 00:00:00,195,
B40B0610,001,1998/01/26 00:00:00,188,
B40B0610,001,1998/02/13 00:00:00,187,
