Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B1539,001,,196499,437972,,,1092,,,1976/08/31,2002/01/02

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B1539,001,1976/08/31 00:00:00,,
B40B1539,001,1976/09/01 00:00:00,,
B40B1539,001,1976/09/07 00:00:00,,
B40B1539,001,1976/09/17 00:00:00,,
B40B1539,001,1976/10/04 00:00:00,,
B40B1539,001,1976/10/08 00:00:00,,
B40B1539,001,1977/02/11 00:00:00,,
B40B1539,001,1977/02/14 00:00:00,,
B40B1539,001,1977/02/16 00:00:00,,
B40B1539,001,1977/02/18 00:00:00,,
B40B1539,001,1977/02/21 00:00:00,,
B40B1539,001,1977/02/23 00:00:00,,
B40B1539,001,1977/02/25 00:00:00,,
B40B1539,001,1977/02/28 00:00:00,,
B40B1539,001,1977/03/02 00:00:00,,
B40B1539,001,1977/03/04 00:00:00,,
B40B1539,001,1977/03/07 00:00:00,,
B40B1539,001,1977/03/09 00:00:00,,
B40B1539,001,1977/03/11 00:00:00,,
B40B1539,001,1977/03/14 00:00:00,,
B40B1539,001,1977/03/16 00:00:00,,
B40B1539,001,1977/03/18 00:00:00,,
B40B1539,001,1977/03/21 00:00:00,,
B40B1539,001,1977/03/23 00:00:00,,
B40B1539,001,1977/03/25 00:00:00,,
B40B1539,001,1977/03/28 00:00:00,,
B40B1539,001,1977/03/30 00:00:00,,
B40B1539,001,1977/04/14 00:00:00,,
B40B1539,001,1977/04/28 00:00:00,,
B40B1539,001,1977/05/13 00:00:00,,
B40B1539,001,1977/05/27 00:00:00,,
B40B1539,001,1977/06/14 00:00:00,,
B40B1539,001,1977/06/28 00:00:00,,
B40B1539,001,1977/07/14 00:00:00,,
B40B1539,001,1977/07/28 00:00:00,,
B40B1539,001,1977/08/15 00:00:00,,
B40B1539,001,1977/08/29 00:00:00,,
B40B1539,001,1977/09/14 00:00:00,,
B40B1539,001,1977/09/28 00:00:00,,
B40B1539,001,1977/10/14 00:00:00,,
B40B1539,001,1977/10/28 00:00:00,,
B40B1539,001,1977/11/14 00:00:00,,
B40B1539,001,1977/11/28 00:00:00,,
B40B1539,001,1977/12/14 00:00:00,,
B40B1539,001,1977/12/28 00:00:00,,
B40B1539,001,1978/01/13 00:00:00,,
B40B1539,001,1978/01/27 00:00:00,,
B40B1539,001,1978/02/14 00:00:00,,
B40B1539,001,1978/02/28 00:00:00,,
B40B1539,001,1978/03/14 00:00:00,,
B40B1539,001,1978/03/28 00:00:00,,
B40B1539,001,1978/03/30 00:00:00,,
B40B1539,001,1978/04/03 00:00:00,,
B40B1539,001,1978/04/05 00:00:00,,
B40B1539,001,1978/04/14 00:00:00,,
B40B1539,001,1978/04/28 00:00:00,,
B40B1539,001,1978/05/16 00:00:00,,
B40B1539,001,1978/05/26 00:00:00,,
B40B1539,001,1978/05/29 00:00:00,,
B40B1539,001,1978/05/31 00:00:00,,
B40B1539,001,1978/06/14 00:00:00,,
B40B1539,001,1978/06/28 00:00:00,,
B40B1539,001,1978/07/14 00:00:00,,
B40B1539,001,1978/07/28 00:00:00,,
B40B1539,001,1978/08/14 00:00:00,,
B40B1539,001,1978/08/28 00:00:00,,
B40B1539,001,1978/09/14 00:00:00,,
B40B1539,001,1978/09/28 00:00:00,,
B40B1539,001,1978/10/13 00:00:00,,
B40B1539,001,1978/10/27 00:00:00,,
B40B1539,001,1978/11/14 00:00:00,,
B40B1539,001,1978/11/28 00:00:00,,
B40B1539,001,1978/12/14 00:00:00,,
B40B1539,001,1978/12/28 00:00:00,,
B40B1539,001,1979/01/15 00:00:00,,
B40B1539,001,1979/01/29 00:00:00,,
B40B1539,001,1979/02/14 00:00:00,,
B40B1539,001,1979/02/28 00:00:00,,
B40B1539,001,1979/03/14 00:00:00,,
B40B1539,001,1979/03/28 00:00:00,,
B40B1539,001,1979/04/13 00:00:00,,
B40B1539,001,1979/04/27 00:00:00,,
B40B1539,001,1979/05/14 00:00:00,,
B40B1539,001,1979/05/28 00:00:00,,
B40B1539,001,1979/06/14 00:00:00,,
B40B1539,001,1979/06/28 00:00:00,,
B40B1539,001,1979/07/13 00:00:00,,
B40B1539,001,1979/07/27 00:00:00,,
B40B1539,001,1979/08/14 00:00:00,,
B40B1539,001,1979/08/28 00:00:00,,
B40B1539,001,1979/09/14 00:00:00,,
B40B1539,001,1979/09/28 00:00:00,,
B40B1539,001,1979/10/14 00:00:00,,
B40B1539,001,1979/10/29 00:00:00,,
B40B1539,001,1979/11/14 00:00:00,,
B40B1539,001,1979/11/28 00:00:00,,
B40B1539,001,1979/12/14 00:00:00,,
B40B1539,001,1979/12/28 00:00:00,,
B40B1539,001,1980/01/14 00:00:00,,
B40B1539,001,1980/01/28 00:00:00,,
B40B1539,001,1980/02/14 00:00:00,,
B40B1539,001,1980/02/18 00:00:00,,
B40B1539,001,1980/02/20 00:00:00,,
B40B1539,001,1980/02/28 00:00:00,,
B40B1539,001,1980/03/14 00:00:00,,
B40B1539,001,1980/03/28 00:00:00,,
B40B1539,001,1980/04/14 00:00:00,,
B40B1539,001,1980/04/28 00:00:00,,
B40B1539,001,1980/05/14 00:00:00,,
B40B1539,001,1980/05/28 00:00:00,,
B40B1539,001,1980/06/13 00:00:00,,
B40B1539,001,1980/06/26 00:00:00,,
B40B1539,001,1980/07/14 00:00:00,,
B40B1539,001,1980/07/28 00:00:00,,
B40B1539,001,1980/08/14 00:00:00,,
B40B1539,001,1980/08/28 00:00:00,,
B40B1539,001,1980/09/15 00:00:00,,
B40B1539,001,1980/09/29 00:00:00,,
B40B1539,001,1980/10/14 00:00:00,,
B40B1539,001,1980/10/28 00:00:00,,
B40B1539,001,1980/11/14 00:00:00,,
B40B1539,001,1980/11/28 00:00:00,,
B40B1539,001,1980/12/15 00:00:00,,
B40B1539,001,1980/12/29 00:00:00,,
B40B1539,001,1981/01/14 00:00:00,,
B40B1539,001,1981/01/28 00:00:00,,
B40B1539,001,1981/02/13 00:00:00,,
B40B1539,001,1981/02/27 00:00:00,,
B40B1539,001,1981/03/13 00:00:00,,
B40B1539,001,1981/03/14 00:00:00,,
B40B1539,001,1981/03/16 00:00:00,,
B40B1539,001,1981/03/18 00:00:00,,
B40B1539,001,1981/03/20 00:00:00,,
B40B1539,001,1981/03/23 00:00:00,,
B40B1539,001,1981/03/25 00:00:00,,
B40B1539,001,1981/03/27 00:00:00,,
B40B1539,001,1981/03/30 00:00:00,,
B40B1539,001,1981/04/01 00:00:00,,
B40B1539,001,1981/04/03 00:00:00,,
B40B1539,001,1981/04/06 00:00:00,,
B40B1539,001,1981/04/08 00:00:00,,
B40B1539,001,1981/04/10 00:00:00,,
B40B1539,001,1981/04/14 00:00:00,,
B40B1539,001,1981/04/28 00:00:00,,
B40B1539,001,1981/05/14 00:00:00,,
B40B1539,001,1981/05/27 00:00:00,,
B40B1539,001,1981/06/15 00:00:00,,
B40B1539,001,1981/06/29 00:00:00,,
B40B1539,001,1981/07/14 00:00:00,,
B40B1539,001,1981/07/28 00:00:00,,
B40B1539,001,1981/08/14 00:00:00,,
B40B1539,001,1981/08/28 00:00:00,,
B40B1539,001,1981/09/14 00:00:00,,
B40B1539,001,1981/09/28 00:00:00,,
B40B1539,001,1981/10/14 00:00:00,,
B40B1539,001,1981/10/26 00:00:00,,
B40B1539,001,1981/10/28 00:00:00,,
B40B1539,001,1981/11/03 00:00:00,,
B40B1539,001,1981/11/13 00:00:00,,
B40B1539,001,1981/11/27 00:00:00,,
B40B1539,001,1981/12/02 00:00:00,,
B40B1539,001,1981/12/04 00:00:00,,
B40B1539,001,1981/12/07 00:00:00,,
B40B1539,001,1981/12/09 00:00:00,,
B40B1539,001,1981/12/11 00:00:00,,
B40B1539,001,1981/12/14 00:00:00,,
B40B1539,001,1981/12/18 00:00:00,,
B40B1539,001,1981/12/21 00:00:00,,
B40B1539,001,1981/12/28 00:00:00,,
B40B1539,001,1982/01/14 00:00:00,,
B40B1539,001,1982/01/17 00:00:00,,
B40B1539,001,1982/01/28 00:00:00,,
B40B1539,001,1982/02/01 00:00:00,,
B40B1539,001,1982/02/02 00:00:00,,
B40B1539,001,1982/02/03 00:00:00,,
B40B1539,001,1982/02/04 00:00:00,,
B40B1539,001,1982/02/05 00:00:00,,
B40B1539,001,1982/02/08 00:00:00,,
B40B1539,001,1982/02/12 00:00:00,,
B40B1539,001,1982/02/15 00:00:00,,
B40B1539,001,1982/02/27 00:00:00,,
B40B1539,001,1982/03/15 00:00:00,,
B40B1539,001,1982/03/28 00:00:00,,
B40B1539,001,1982/04/14 00:00:00,,
B40B1539,001,1982/04/28 00:00:00,,
B40B1539,001,1982/05/14 00:00:00,,
B40B1539,001,1982/05/28 00:00:00,,
B40B1539,001,1982/06/14 00:00:00,,
B40B1539,001,1982/06/28 00:00:00,,
B40B1539,001,1982/07/14 00:00:00,,
B40B1539,001,1982/07/28 00:00:00,,
B40B1539,001,1982/08/13 00:00:00,,
B40B1539,001,1982/08/27 00:00:00,,
B40B1539,001,1982/09/14 00:00:00,,
B40B1539,001,1982/09/28 00:00:00,,
B40B1539,001,1982/10/14 00:00:00,,
B40B1539,001,1982/10/28 00:00:00,,
B40B1539,001,1982/11/15 00:00:00,,
B40B1539,001,1982/11/29 00:00:00,,
B40B1539,001,1982/12/14 00:00:00,,
B40B1539,001,1982/12/20 00:00:00,,
B40B1539,001,1982/12/22 00:00:00,,
B40B1539,001,1982/12/24 00:00:00,,
B40B1539,001,1982/12/28 00:00:00,,
B40B1539,001,1983/01/08 00:00:00,,
B40B1539,001,1983/01/10 00:00:00,,
B40B1539,001,1983/01/14 00:00:00,,
B40B1539,001,1983/01/17 00:00:00,,
B40B1539,001,1983/01/21 00:00:00,,
B40B1539,001,1983/01/28 00:00:00,,
B40B1539,001,1983/02/02 00:00:00,,
B40B1539,001,1983/02/04 00:00:00,,
B40B1539,001,1983/02/07 00:00:00,,
B40B1539,001,1983/02/10 00:00:00,,
B40B1539,001,1983/02/14 00:00:00,,
B40B1539,001,1983/02/28 00:00:00,,
B40B1539,001,1983/03/14 00:00:00,,
B40B1539,001,1983/03/28 00:00:00,,
B40B1539,001,1983/04/08 00:00:00,,
B40B1539,001,1983/04/11 00:00:00,,
B40B1539,001,1983/04/13 00:00:00,,
B40B1539,001,1983/04/15 00:00:00,,
B40B1539,001,1983/04/18 00:00:00,,
B40B1539,001,1983/04/20 00:00:00,,
B40B1539,001,1983/04/22 00:00:00,,
B40B1539,001,1983/04/25 00:00:00,,
B40B1539,001,1983/04/28 00:00:00,,
B40B1539,001,1983/05/13 00:00:00,,
B40B1539,001,1983/05/27 00:00:00,,
B40B1539,001,1983/06/03 00:00:00,,
B40B1539,001,1983/06/06 00:00:00,,
B40B1539,001,1983/06/14 00:00:00,,
B40B1539,001,1983/06/28 00:00:00,,
B40B1539,001,1983/07/14 00:00:00,,
B40B1539,001,1983/07/28 00:00:00,,
B40B1539,001,1983/08/15 00:00:00,,
B40B1539,001,1983/08/29 00:00:00,,
B40B1539,001,1983/09/14 00:00:00,,
B40B1539,001,1983/09/28 00:00:00,,
B40B1539,001,1983/10/14 00:00:00,,
B40B1539,001,1983/10/28 00:00:00,,
B40B1539,001,1983/11/14 00:00:00,,
B40B1539,001,1983/11/28 00:00:00,,
B40B1539,001,1983/12/14 00:00:00,,
B40B1539,001,1983/12/28 00:00:00,,
B40B1539,001,1984/01/13 00:00:00,,
B40B1539,001,1984/01/18 00:00:00,,
B40B1539,001,1984/01/28 00:00:00,,
B40B1539,001,1984/02/03 00:00:00,,
B40B1539,001,1984/02/06 00:00:00,,
B40B1539,001,1984/02/09 00:00:00,,
B40B1539,001,1984/02/13 00:00:00,,
B40B1539,001,1984/02/16 00:00:00,,
B40B1539,001,1984/02/28 00:00:00,,
B40B1539,001,1984/03/14 00:00:00,,
B40B1539,001,1984/03/28 00:00:00,,
B40B1539,001,1984/04/14 00:00:00,,
B40B1539,001,1984/04/28 00:00:00,,
B40B1539,001,1984/05/14 00:00:00,,
B40B1539,001,1984/05/28 00:00:00,,
B40B1539,001,1984/06/01 00:00:00,,
B40B1539,001,1984/06/04 00:00:00,,
B40B1539,001,1984/06/08 00:00:00,,
B40B1539,001,1984/06/14 00:00:00,,
B40B1539,001,1984/06/28 00:00:00,,
B40B1539,001,1984/07/13 00:00:00,,
B40B1539,001,1984/07/27 00:00:00,,
B40B1539,001,1984/08/14 00:00:00,,
B40B1539,001,1984/08/28 00:00:00,,
B40B1539,001,1984/09/14 00:00:00,,
B40B1539,001,1984/09/28 00:00:00,,
B40B1539,001,1984/10/14 00:00:00,,
B40B1539,001,1984/10/29 00:00:00,,
B40B1539,001,1984/11/14 00:00:00,,
B40B1539,001,1984/11/28 00:00:00,,
B40B1539,001,1984/12/14 00:00:00,,
B40B1539,001,1984/12/28 00:00:00,,
B40B1539,001,1985/01/14 00:00:00,,
B40B1539,001,1985/01/28 00:00:00,,
B40B1539,001,1985/02/14 00:00:00,,
B40B1539,001,1985/02/28 00:00:00,,
B40B1539,001,1985/03/14 00:00:00,,
B40B1539,001,1985/03/28 00:00:00,,
B40B1539,001,1985/04/15 00:00:00,,
B40B1539,001,1985/04/29 00:00:00,,
B40B1539,001,1985/05/14 00:00:00,,
B40B1539,001,1985/05/28 00:00:00,,
B40B1539,001,1989/07/28 00:00:00,,
B40B1539,001,1989/08/14 00:00:00,,
B40B1539,001,1989/08/28 00:00:00,,
B40B1539,001,1989/09/14 00:00:00,,
B40B1539,001,1989/09/28 00:00:00,,
B40B1539,001,1989/10/14 00:00:00,,
B40B1539,001,1989/10/27 00:00:00,,
B40B1539,001,1989/11/14 00:00:00,,
B40B1539,001,1989/11/28 00:00:00,,
B40B1539,001,1989/12/14 00:00:00,,
B40B1539,001,1989/12/22 00:00:00,,
B40B1539,001,1989/12/28 00:00:00,,
B40B1539,001,1990/01/15 00:00:00,,
B40B1539,001,1990/01/29 00:00:00,,
B40B1539,001,1990/02/14 00:00:00,,
B40B1539,001,1990/02/19 00:00:00,,
B40B1539,001,1990/02/21 00:00:00,,
B40B1539,001,1990/02/23 00:00:00,,
