Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B1713,001,,195153,439686,1062,,1053,794,694,2012/08/08,2017/06/20

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40B1713,001,2017/06/09 12:29:46,163,
B40B1713,001,2017/06/10 12:29:46,163,
B40B1713,001,2017/06/11 12:29:46,165,
B40B1713,001,2017/06/12 12:29:46,165,
B40B1713,001,2017/06/13 12:29:46,167,
B40B1713,001,2017/06/14 12:29:46,168,
B40B1713,001,2017/06/15 12:29:46,169,
B40B1713,001,2017/06/16 12:29:46,171,
B40B1713,001,2017/06/17 12:29:46,172,
B40B1713,001,2017/06/18 12:29:46,173,
B40B1713,001,2017/06/19 12:29:46,174,
B40B1713,001,2017/06/20 00:29:46,175,
