Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0001,001,40CB0001,187720,428700,2400,,2370,-3900,-5100,1960/04/05,1986/04/20
B40C0001,001,40CB0001,187720,428700,2400,,2294,-3900,-5100,1986/04/20,1995/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0001,001,1963/09/17 00:00:00,1697,
B40C0001,001,1963/09/30 00:00:00,1705,
B40C0001,001,1963/10/28 00:00:00,1715,
B40C0001,001,1963/11/14 00:00:00,1717,
B40C0001,001,1963/11/29 00:00:00,1654,
B40C0001,001,1963/12/13 00:00:00,1673,
B40C0001,001,1963/12/28 00:00:00,1698,
B40C0001,001,1964/01/14 00:00:00,1725,
B40C0001,001,1964/01/28 00:00:00,1740,
B40C0001,001,1964/02/14 00:00:00,1735,
B40C0001,001,1964/03/02 00:00:00,1740,
B40C0001,001,1964/03/16 00:00:00,1742,
B40C0001,001,1964/03/27 00:00:00,1728,
B40C0001,001,1964/04/15 00:00:00,1707,
B40C0001,001,1964/04/28 00:00:00,1715,
B40C0001,001,1964/05/14 00:00:00,1700,
B40C0001,001,1964/05/27 00:00:00,1699,
B40C0001,001,1964/06/15 00:00:00,1715,
B40C0001,001,1964/06/29 00:00:00,1733,
B40C0001,001,1964/07/14 00:00:00,1750,
B40C0001,001,1964/07/29 00:00:00,1760,
B40C0001,001,1964/08/14 00:00:00,1765,
B40C0001,001,1964/08/28 00:00:00,1775,
B40C0001,001,1964/09/15 00:00:00,1790,
B40C0001,001,1964/09/28 00:00:00,1784,
B40C0001,001,1964/10/14 00:00:00,1790,
B40C0001,001,1964/10/28 00:00:00,1778,
B40C0001,001,1964/11/13 00:00:00,1783,
B40C0001,001,1964/11/28 00:00:00,1740,
B40C0001,001,1964/12/14 00:00:00,1730,
B40C0001,001,1964/12/29 00:00:00,1740,
B40C0001,001,1965/01/13 00:00:00,1700,
B40C0001,001,1965/01/27 00:00:00,1675,
B40C0001,001,1965/02/15 00:00:00,1665,
B40C0001,001,1965/03/02 00:00:00,1690,
B40C0001,001,1965/03/13 00:00:00,1705,
B40C0001,001,1965/03/29 00:00:00,1640,
B40C0001,001,1965/04/15 00:00:00,1637,
B40C0001,001,1965/04/28 00:00:00,1610,
B40C0001,001,1965/05/14 00:00:00,1580,
B40C0001,001,1965/05/31 00:00:00,1585,
B40C0001,001,1965/06/15 00:00:00,1568,
B40C0001,001,1965/06/28 00:00:00,1560,
B40C0001,001,1965/07/15 00:00:00,1580,
B40C0001,001,1965/07/28 00:00:00,1595,
B40C0001,001,1965/08/16 00:00:00,1600,
B40C0001,001,1965/08/27 00:00:00,1610,
B40C0001,001,1965/09/14 00:00:00,1615,
B40C0001,001,1965/09/28 00:00:00,1615,
B40C0001,001,1965/10/15 00:00:00,1640,
B40C0001,001,1965/10/29 00:00:00,1665,
B40C0001,001,1965/11/15 00:00:00,1685,
B40C0001,001,1965/12/14 00:00:00,1585,
B40C0001,001,1965/12/28 00:00:00,1525,
B40C0001,001,1966/01/28 00:00:00,1550,
B40C0001,001,1966/02/14 00:00:00,1528,
B40C0001,001,1966/02/28 00:00:00,1530,
B40C0001,001,1966/03/16 00:00:00,1529,
B40C0001,001,1966/03/28 00:00:00,1560,
