Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0040,001,40CB0040,189990,434270,1103,,1060,-541,194,1950/05/30,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0040,001,1950/05/30 00:00:00,251,
B40C0040,001,1950/06/14 00:00:00,268,
B40C0040,001,1950/06/28 00:00:00,282,
B40C0040,001,1950/07/14 00:00:00,291,
B40C0040,001,1950/07/28 00:00:00,296,
B40C0040,001,1950/08/14 00:00:00,306,
B40C0040,001,1950/08/28 00:00:00,307,
B40C0040,001,1950/09/14 00:00:00,317,
B40C0040,001,1950/09/28 00:00:00,289,
B40C0040,001,1950/10/14 00:00:00,297,
B40C0040,001,1950/10/28 00:00:00,303,
B40C0040,001,1950/11/14 00:00:00,264,
B40C0040,001,1950/11/28 00:00:00,247,
B40C0040,001,1950/12/14 00:00:00,193,
B40C0040,001,1950/12/28 00:00:00,223,
B40C0040,001,1951/01/15 00:00:00,208,
B40C0040,001,1951/01/29 00:00:00,198,
B40C0040,001,1951/02/14 00:00:00,235,
B40C0040,001,1951/02/28 00:00:00,222,
B40C0040,001,1951/03/14 00:00:00,241,
B40C0040,001,1951/03/28 00:00:00,224,
B40C0040,001,1951/04/14 00:00:00,218,
B40C0040,001,1951/04/28 00:00:00,239,
B40C0040,001,1951/05/15 00:00:00,253,
B40C0040,001,1951/05/28 00:00:00,225,
B40C0040,001,1951/06/14 00:00:00,247,
B40C0040,001,1951/06/28 00:00:00,263,
B40C0040,001,1951/07/14 00:00:00,268,
B40C0040,001,1951/07/28 00:00:00,276,
B40C0040,001,1951/08/14 00:00:00,271,
B40C0040,001,1951/08/28 00:00:00,271,
B40C0040,001,1951/09/14 00:00:00,288,
B40C0040,001,1951/09/28 00:00:00,295,
B40C0040,001,1951/10/15 00:00:00,310,
B40C0040,001,1951/10/29 00:00:00,332,
B40C0040,001,1951/11/14 00:00:00,327,
B40C0040,001,1951/11/28 00:00:00,268,
B40C0040,001,1951/12/14 00:00:00,257,
B40C0040,001,1951/12/28 00:00:00,241,
B40C0040,001,1952/01/14 00:00:00,236,
B40C0040,001,1952/01/28 00:00:00,238,
B40C0040,001,1952/02/14 00:00:00,233,
B40C0040,001,1952/02/28 00:00:00,259,
B40C0040,001,1952/03/14 00:00:00,264,
B40C0040,001,1952/03/28 00:00:00,245,
B40C0040,001,1952/04/15 00:00:00,223,
B40C0040,001,1952/04/28 00:00:00,253,
B40C0040,001,1952/05/14 00:00:00,281,
B40C0040,001,1952/05/28 00:00:00,284,
B40C0040,001,1952/06/14 00:00:00,303,
B40C0040,001,1952/06/28 00:00:00,317,
B40C0040,001,1952/07/14 00:00:00,314,
B40C0040,001,1952/07/28 00:00:00,329,
B40C0040,001,1952/08/14 00:00:00,347,
B40C0040,001,1952/08/28 00:00:00,328,
B40C0040,001,1952/09/15 00:00:00,348,
B40C0040,001,1952/09/29 00:00:00,358,
B40C0040,001,1952/10/14 00:00:00,365,
B40C0040,001,1952/10/28 00:00:00,363,
B40C0040,001,1952/11/14 00:00:00,302,
B40C0040,001,1952/11/28 00:00:00,271,
B40C0040,001,1952/12/15 00:00:00,235,
B40C0040,001,1952/12/29 00:00:00,201,
B40C0040,001,1953/01/14 00:00:00,243,
B40C0040,001,1953/01/28 00:00:00,247,
B40C0040,001,1953/02/14 00:00:00,225,
B40C0040,001,1953/02/28 00:00:00,245,
B40C0040,001,1953/03/14 00:00:00,259,
B40C0040,001,1953/03/28 00:00:00,263,
B40C0040,001,1953/04/14 00:00:00,260,
B40C0040,001,1953/04/28 00:00:00,274,
B40C0040,001,1953/05/15 00:00:00,285,
B40C0040,001,1953/05/28 00:00:00,300,
B40C0040,001,1953/06/15 00:00:00,297,
B40C0040,001,1953/06/29 00:00:00,292,
B40C0040,001,1953/12/14 00:00:00,353,
B40C0040,001,1954/04/14 00:00:00,288,
B40C0040,001,1954/10/14 00:00:00,248,
B40C0040,001,1955/04/28 00:00:00,260,
B40C0040,001,1956/04/28 00:00:00,265,
B40C0040,001,1956/10/15 00:00:00,252,
B40C0040,001,1957/04/29 00:00:00,262,
B40C0040,001,1957/10/14 00:00:00,247,
B40C0040,001,1958/08/28 00:00:00,275,
B40C0040,001,1958/10/14 00:00:00,269,
B40C0040,001,1958/12/15 00:00:00,264,
B40C0040,001,1959/04/28 00:00:00,247,
B40C0040,001,1959/08/28 00:00:00,321,
B40C0040,001,1959/10/14 00:00:00,355,
B40C0040,001,1959/12/14 00:00:00,367,
B40C0040,001,1960/04/28 00:00:00,297,
B40C0040,001,1960/08/29 00:00:00,278,
B40C0040,001,1960/10/14 00:00:00,206,
B40C0040,001,1960/12/14 00:00:00,221,
B40C0040,001,1961/04/28 00:00:00,244,
B40C0040,001,1961/08/28 00:00:00,260,
B40C0040,001,1961/10/14 00:00:00,299,
B40C0040,001,1961/12/14 00:00:00,210,
B40C0040,001,1962/05/28 00:00:00,244,
B40C0040,001,1962/08/28 00:00:00,290,
B40C0040,001,1962/10/29 00:00:00,316,
B40C0040,001,1962/12/14 00:00:00,314,
B40C0040,001,1963/04/29 00:00:00,279,
B40C0040,001,1963/08/28 00:00:00,296,
B40C0040,001,1963/10/14 00:00:00,284,
B40C0040,001,1963/12/13 00:00:00,279,
B40C0040,001,1964/04/28 00:00:00,292,
B40C0040,001,1964/08/28 00:00:00,351,
B40C0040,001,1964/10/14 00:00:00,371,
B40C0040,001,1964/12/14 00:00:00,291,
B40C0040,001,1965/04/28 00:00:00,236,
B40C0040,001,1965/08/31 00:00:00,255,
B40C0040,001,1965/10/14 00:00:00,277,
B40C0040,001,1965/12/14 00:00:00,179,
B40C0040,001,1966/04/28 00:00:00,244,
B40C0040,001,1966/08/29 00:00:00,266,
B40C0040,001,1966/10/14 00:00:00,267,
B40C0040,001,1966/12/14 00:00:00,205,
B40C0040,001,1967/04/28 00:00:00,263,
B40C0040,001,1967/08/25 00:00:00,298,
B40C0040,001,1967/10/13 00:00:00,303,
B40C0040,001,1967/12/14 00:00:00,255,
B40C0040,001,1968/05/14 00:00:00,293,
B40C0040,001,1968/08/28 00:00:00,273,
B40C0040,001,1968/10/14 00:00:00,245,
B40C0040,001,1968/12/13 00:00:00,405,
B40C0040,001,1969/04/28 00:00:00,251,
