Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0047,001,40CB0047,182700,435840,1022,,1021,402,-648,1946/10/31,1960/10/14
B40C0047,001,40CB0047,182700,435840,1022,,1027,402,-648,1960/10/14,1981/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0047,001,1950/05/30 00:00:00,301,
B40C0047,001,1950/06/14 00:00:00,324,
B40C0047,001,1950/06/29 00:00:00,321,
B40C0047,001,1950/07/14 00:00:00,319,
B40C0047,001,1950/07/28 00:00:00,322,
B40C0047,001,1950/08/14 00:00:00,330,
B40C0047,001,1950/08/28 00:00:00,335,
B40C0047,001,1950/09/14 00:00:00,339,
B40C0047,001,1950/09/28 00:00:00,302,
B40C0047,001,1950/10/14 00:00:00,323,
B40C0047,001,1950/10/28 00:00:00,329,
B40C0047,001,1950/11/14 00:00:00,319,
B40C0047,001,1950/11/28 00:00:00,271,
B40C0047,001,1950/12/15 00:00:00,253,
B40C0047,001,1950/12/28 00:00:00,289,
B40C0047,001,1951/01/15 00:00:00,259,
B40C0047,001,1951/01/29 00:00:00,269,
B40C0047,001,1951/02/14 00:00:00,290,
B40C0047,001,1951/02/28 00:00:00,277,
B40C0047,001,1951/03/14 00:00:00,296,
B40C0047,001,1951/03/28 00:00:00,267,
B40C0047,001,1951/04/16 00:00:00,272,
B40C0047,001,1951/04/28 00:00:00,295,
B40C0047,001,1951/05/15 00:00:00,287,
B40C0047,001,1951/05/28 00:00:00,269,
B40C0047,001,1951/06/14 00:00:00,293,
B40C0047,001,1951/06/28 00:00:00,311,
B40C0047,001,1951/07/14 00:00:00,316,
B40C0047,001,1951/07/28 00:00:00,311,
B40C0047,001,1951/08/14 00:00:00,303,
B40C0047,001,1951/08/28 00:00:00,296,
B40C0047,001,1951/09/14 00:00:00,308,
B40C0047,001,1951/09/28 00:00:00,317,
B40C0047,001,1951/10/15 00:00:00,326,
B40C0047,001,1951/10/29 00:00:00,331,
B40C0047,001,1951/11/14 00:00:00,321,
B40C0047,001,1951/11/28 00:00:00,239,
B40C0047,001,1951/12/14 00:00:00,271,
B40C0047,001,1951/12/28 00:00:00,276,
B40C0047,001,1952/01/14 00:00:00,274,
B40C0047,001,1952/01/28 00:00:00,273,
B40C0047,001,1952/02/14 00:00:00,265,
B40C0047,001,1952/02/28 00:00:00,309,
B40C0047,001,1952/03/14 00:00:00,299,
B40C0047,001,1952/03/28 00:00:00,291,
B40C0047,001,1952/04/15 00:00:00,294,
B40C0047,001,1952/04/28 00:00:00,279,
B40C0047,001,1952/05/14 00:00:00,312,
B40C0047,001,1952/05/28 00:00:00,318,
B40C0047,001,1952/06/14 00:00:00,332,
B40C0047,001,1952/06/28 00:00:00,337,
B40C0047,001,1952/07/14 00:00:00,325,
B40C0047,001,1952/07/28 00:00:00,343,
B40C0047,001,1952/08/14 00:00:00,353,
B40C0047,001,1952/08/28 00:00:00,333,
B40C0047,001,1952/09/15 00:00:00,351,
B40C0047,001,1952/09/29 00:00:00,353,
B40C0047,001,1952/10/14 00:00:00,356,
B40C0047,001,1952/10/28 00:00:00,346,
B40C0047,001,1952/11/14 00:00:00,288,
B40C0047,001,1952/11/28 00:00:00,257,
B40C0047,001,1952/12/15 00:00:00,296,
B40C0047,001,1952/12/29 00:00:00,193,
B40C0047,001,1953/01/14 00:00:00,290,
B40C0047,001,1953/01/28 00:00:00,291,
B40C0047,001,1953/02/14 00:00:00,279,
B40C0047,001,1953/02/28 00:00:00,297,
B40C0047,001,1953/03/14 00:00:00,305,
B40C0047,001,1953/03/28 00:00:00,307,
B40C0047,001,1953/04/14 00:00:00,301,
B40C0047,001,1953/04/28 00:00:00,311,
B40C0047,001,1953/05/15 00:00:00,329,
B40C0047,001,1953/05/28 00:00:00,331,
B40C0047,001,1953/06/15 00:00:00,334,
B40C0047,001,1953/06/29 00:00:00,299,
B40C0047,001,1953/07/14 00:00:00,313,
B40C0047,001,1953/07/28 00:00:00,321,
B40C0047,001,1953/08/14 00:00:00,326,
B40C0047,001,1953/08/28 00:00:00,316,
B40C0047,001,1953/09/14 00:00:00,329,
B40C0047,001,1953/09/28 00:00:00,339,
B40C0047,001,1953/10/14 00:00:00,341,
B40C0047,001,1953/10/28 00:00:00,341,
B40C0047,001,1953/11/14 00:00:00,350,
B40C0047,001,1953/11/28 00:00:00,354,
B40C0047,001,1953/12/14 00:00:00,357,
B40C0047,001,1953/12/28 00:00:00,360,
B40C0047,001,1954/01/14 00:00:00,349,
B40C0047,001,1954/01/28 00:00:00,305,
B40C0047,001,1954/02/15 00:00:00,289,
B40C0047,001,1954/03/01 00:00:00,287,
B40C0047,001,1954/03/15 00:00:00,317,
B40C0047,001,1954/03/29 00:00:00,290,
