Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0391,001,40CP0391,181480,434610,844,,865,265,165,1974/06/10,1985/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0391,001,1974/06/14 00:00:00,185,
B40C0391,001,1974/09/30 00:00:00,174,
B40C0391,001,1974/10/14 00:00:00,157,
B40C0391,001,1974/10/28 00:00:00,169,
B40C0391,001,1974/12/02 00:00:00,164,
B40C0391,001,1974/12/16 00:00:00,138,
B40C0391,001,1974/12/30 00:00:00,144,
B40C0391,001,1975/01/21 00:00:00,177,
B40C0391,001,1975/01/31 00:00:00,164,
B40C0391,001,1975/02/14 00:00:00,174,
B40C0391,001,1975/02/28 00:00:00,184,
B40C0391,001,1975/03/14 00:00:00,184,
B40C0391,001,1975/03/27 00:00:00,179,
B40C0391,001,1975/04/11 00:00:00,179,
B40C0391,001,1975/04/28 00:00:00,174,
B40C0391,001,1975/05/16 00:00:00,157,
B40C0391,001,1975/05/30 00:00:00,171,
B40C0391,001,1975/07/18 00:00:00,172,
B40C0391,001,1975/07/26 00:00:00,173,
B40C0391,001,1975/08/15 00:00:00,174,
B40C0391,001,1975/08/28 00:00:00,177,
B40C0391,001,1975/09/15 00:00:00,177,
B40C0391,001,1975/09/26 00:00:00,177,
B40C0391,001,1975/10/15 00:00:00,182,
B40C0391,001,1975/10/28 00:00:00,182,
B40C0391,001,1975/11/14 00:00:00,182,
B40C0391,001,1975/11/28 00:00:00,184,
B40C0391,001,1975/12/12 00:00:00,184,
B40C0391,001,1975/12/29 00:00:00,183,
B40C0391,001,1976/01/16 00:00:00,181,
B40C0391,001,1976/01/28 00:00:00,182,
B40C0391,001,1976/02/26 00:00:00,186,
