Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0406,001,40CP0406,184500,437120,860,,873,-1440,-1540,1975/06/01,1978/05/24
B40C0406,001,40CP0406,184500,437120,893,,873,-1440,-1540,1978/05/24,1996/12/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0406,001,1975/08/15 00:00:00,156,
B40C0406,001,1975/10/14 00:00:00,168,
B40C0406,001,1976/04/28 00:00:00,167,
B40C0406,001,1976/09/28 00:00:00,172,
B40C0406,001,1976/10/14 00:00:00,177,
B40C0406,001,1977/01/28 00:00:00,167,
B40C0406,001,1977/04/28 00:00:00,154,
B40C0406,001,1977/08/29 00:00:00,152,
B40C0406,001,1977/10/20 00:00:00,162,
B40C0406,001,1978/05/24 00:00:00,175,
B40C0406,001,1978/07/14 00:00:00,179,
B40C0406,001,1978/09/28 00:00:00,190,
B40C0406,001,1979/04/27 00:00:00,175,
B40C0406,001,1979/10/03 00:00:00,205,
B40C0406,001,1980/04/28 00:00:00,185,
B40C0406,001,1980/08/27 00:00:00,188,
B40C0406,001,1980/10/14 00:00:00,200,
B40C0406,001,1981/04/28 00:00:00,192,
B40C0406,001,1981/09/09 00:00:00,190,
B40C0406,001,1981/10/26 00:00:00,180,
B40C0406,001,1982/04/28 00:00:00,220,
B40C0406,001,1982/09/18 00:00:00,205,
B40C0406,001,1982/11/10 00:00:00,205,
B40C0406,001,1983/04/28 00:00:00,180,
B40C0406,001,1983/10/14 00:00:00,200,
B40C0406,001,1984/06/19 00:00:00,185,
B40C0406,001,1984/08/28 00:00:00,210,
B40C0406,001,1985/07/02 00:00:00,170,
B40C0406,001,1985/09/06 00:00:00,185,
B40C0406,001,1985/10/25 00:00:00,201,
B40C0406,001,1985/11/05 00:00:00,220,
B40C0406,001,1986/01/16 00:00:00,165,
B40C0406,001,1986/04/28 00:00:00,185,
B40C0406,001,1986/09/01 00:00:00,195,
B40C0406,001,1986/10/14 00:00:00,210,
B40C0406,001,1987/03/03 00:00:00,175,
B40C0406,001,1987/04/28 00:00:00,190,
B40C0406,001,1987/08/28 00:00:00,170,
B40C0406,001,1987/10/28 00:00:00,190,
B40C0406,001,1988/01/25 00:00:00,90,
B40C0406,001,1988/05/16 00:00:00,185,
B40C0406,001,1988/05/31 00:00:00,185,
B40C0406,001,1988/09/04 00:00:00,200,
B40C0406,001,1988/10/28 00:00:00,180,
B40C0406,001,1988/12/14 15:00:00,195,
B40C0406,001,1989/05/08 00:00:00,185,
B40C0406,001,1989/08/29 00:00:00,210,
B40C0406,001,1989/10/27 00:00:00,215,
B40C0406,001,1989/12/14 00:00:00,224,
B40C0406,001,1990/04/27 00:00:00,190,
B40C0406,001,1990/08/28 00:00:00,220,
B40C0406,001,1990/10/29 00:00:00,215,
B40C0406,001,1990/12/14 00:00:00,180,
B40C0406,001,1991/04/29 00:00:00,210,
B40C0406,001,1991/08/28 00:00:00,220,
B40C0406,001,1991/10/28 00:00:00,220,
B40C0406,001,1991/12/14 00:00:00,220,
B40C0406,001,1992/04/28 00:00:00,170,
B40C0406,001,1992/08/31 00:00:00,130,
B40C0406,001,1992/10/28 00:00:00,190,
B40C0406,001,1992/12/15 00:00:00,170,
B40C0406,001,1993/05/03 00:00:00,215,
B40C0406,001,1993/08/27 00:00:00,200,
B40C0406,001,1993/10/28 00:00:00,190,
B40C0406,001,1993/12/16 00:00:00,150,
B40C0406,001,1994/05/01 00:00:00,190,
B40C0406,001,1994/09/07 00:00:00,175,
B40C0406,001,1994/12/14 00:00:00,170,
B40C0406,001,1995/04/28 00:00:00,190,
B40C0406,001,1995/08/28 00:00:00,200,
B40C0406,001,1995/10/13 00:00:00,200,
B40C0406,001,1995/12/14 00:00:00,220,
B40C0406,001,1996/05/01 00:00:00,210,
B40C0406,001,1996/08/28 00:00:00,195,
B40C0406,001,1996/10/13 00:00:00,205,
B40C0406,001,1996/11/15 00:00:00,178,
B40C0406,001,1996/12/14 00:00:00,185,
