Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0407,002,40CP0407,188240,433760,996,,960,-4884,-4984,1975/07/01,1984/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0407,002,1976/03/26 00:00:00,223,
B40C0407,002,1976/04/28 00:00:00,242,
B40C0407,002,1976/08/27 00:00:00,269,
B40C0407,002,1976/10/14 00:00:00,261,
B40C0407,002,1976/12/12 00:00:00,271,
B40C0407,002,1977/04/28 00:00:00,203,
B40C0407,002,1977/08/29 00:00:00,214,
B40C0407,002,1977/10/14 00:00:00,236,
B40C0407,002,1977/10/28 00:00:00,166,
B40C0407,002,1977/12/14 00:00:00,196,
B40C0407,002,1978/04/28 00:00:00,191,
B40C0407,002,1978/08/28 00:00:00,206,
B40C0407,002,1978/10/13 00:00:00,221,
B40C0407,002,1978/12/14 00:00:00,211,
B40C0407,002,1979/04/27 00:00:00,176,
B40C0407,002,1979/08/27 00:00:00,214,
B40C0407,002,1979/09/13 00:00:00,214,
B40C0407,002,1979/10/15 00:00:00,231,
B40C0407,002,1979/10/30 00:00:00,233,
B40C0407,002,1979/12/12 00:00:00,196,
B40C0407,002,1979/12/15 00:00:00,176,
B40C0407,002,1979/12/17 00:00:00,181,
B40C0407,002,1979/12/19 00:00:00,176,
B40C0407,002,1979/12/28 00:00:00,161,
B40C0407,002,1980/01/01 00:00:00,171,
B40C0407,002,1980/04/28 00:00:00,201,
B40C0407,002,1980/08/28 00:00:00,196,
B40C0407,002,1980/10/14 00:00:00,221,
B40C0407,002,1980/12/15 00:00:00,171,
B40C0407,002,1981/04/28 00:00:00,191,
B40C0407,002,1981/08/28 00:00:00,216,
B40C0407,002,1981/10/14 00:00:00,196,
B40C0407,002,1981/12/14 00:00:00,153,
B40C0407,002,1982/04/28 00:00:00,201,
B40C0407,002,1982/08/27 00:00:00,221,
B40C0407,002,1982/10/14 00:00:00,206,
B40C0407,002,1982/12/14 00:00:00,181,
B40C0407,002,1983/05/27 00:00:00,141,
B40C0407,002,1983/08/29 00:00:00,221,
B40C0407,002,1983/10/14 00:00:00,233,
B40C0407,002,1983/12/14 00:00:00,216,
B40C0407,002,1984/05/14 00:00:00,206,
B40C0407,002,1984/08/28 00:00:00,221,
B40C0407,002,1984/10/29 00:00:00,173,
