Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0421,002,40CP0421,180240,435270,767,,753,-3233,-3433,1977/04/20,1989/10/16
B40C0421,002,40CP0421,180240,435270,787,,752,-3233,-3433,1989/10/16,2003/08/14
B40C0421,002,40CP0421,180240,435270,787,,830,-3233,-3433,2003/08/14,2019/10/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0421,002,1977/05/27 00:00:00,90,
B40C0421,002,1977/06/14 00:00:00,94,
B40C0421,002,1977/06/28 00:00:00,94,
B40C0421,002,1977/07/14 00:00:00,104,
B40C0421,002,1977/07/28 00:00:00,101,
B40C0421,002,1977/08/15 00:00:00,92,
B40C0421,002,1977/08/29 00:00:00,73,
B40C0421,002,1977/09/28 00:00:00,104,
B40C0421,002,1977/10/14 00:00:00,109,
B40C0421,002,1977/11/14 00:00:00,83,
B40C0421,002,1977/11/28 00:00:00,61,
B40C0421,002,1977/12/14 00:00:00,86,
B40C0421,002,1977/12/28 00:00:00,90,
B40C0421,002,1978/01/12 00:00:00,61,
B40C0421,002,1978/01/27 00:00:00,83,
B40C0421,002,1978/02/14 00:00:00,84,
B40C0421,002,1978/02/28 00:00:00,94,
B40C0421,002,1978/03/14 00:00:00,81,
B40C0421,002,1978/03/28 00:00:00,61,
B40C0421,002,1978/04/14 00:00:00,89,
B40C0421,002,1978/04/28 00:00:00,88,
B40C0421,002,1978/05/16 00:00:00,77,
B40C0421,002,1978/05/29 00:00:00,67,
B40C0421,002,1978/06/14 00:00:00,76,
B40C0421,002,1978/06/28 00:00:00,78,
B40C0421,002,1978/07/14 00:00:00,70,
B40C0421,002,1978/07/28 00:00:00,82,
B40C0421,002,1978/08/14 00:00:00,93,
B40C0421,002,1978/08/28 00:00:00,99,
B40C0421,002,1978/09/14 00:00:00,107,
B40C0421,002,1978/09/28 00:00:00,109,
B40C0421,002,1978/10/13 00:00:00,108,
B40C0421,002,1978/10/27 00:00:00,114,
B40C0421,002,1978/11/14 00:00:00,125,
B40C0421,002,1978/11/28 00:00:00,132,
B40C0421,002,1978/12/14 00:00:00,135,
B40C0421,002,1978/12/28 00:00:00,84,
B40C0421,002,1979/01/15 00:00:00,84,
B40C0421,002,1979/01/29 00:00:00,108,
B40C0421,002,1979/02/14 00:00:00,52,
B40C0421,002,1979/02/28 00:00:00,80,
B40C0421,002,1979/03/14 00:00:00,53,
B40C0421,002,1979/03/28 00:00:00,61,
B40C0421,002,1979/04/13 00:00:00,85,
B40C0421,002,1979/04/27 00:00:00,93,
B40C0421,002,1979/05/14 00:00:00,73,
B40C0421,002,1979/05/28 00:00:00,84,
B40C0421,002,1979/06/14 00:00:00,79,
B40C0421,002,1979/06/28 00:00:00,85,
B40C0421,002,1979/07/13 00:00:00,88,
B40C0421,002,1979/07/27 00:00:00,103,
B40C0421,002,1979/08/14 00:00:00,94,
B40C0421,002,1979/08/28 00:00:00,107,
B40C0421,002,1979/09/14 00:00:00,114,
B40C0421,002,1979/09/28 00:00:00,121,
B40C0421,002,1979/10/15 00:00:00,115,
B40C0421,002,1979/10/29 00:00:00,126,
B40C0421,002,1979/11/14 00:00:00,96,
B40C0421,002,1979/11/28 00:00:00,104,
B40C0421,002,1979/12/14 00:00:00,66,
B40C0421,002,1979/12/28 00:00:00,58,
B40C0421,002,1980/01/14 00:00:00,77,
B40C0421,002,1980/01/28 00:00:00,96,
B40C0421,002,1980/02/14 00:00:00,54,
B40C0421,002,1980/02/28 00:00:00,85,
B40C0421,002,1980/03/14 00:00:00,74,
B40C0421,002,1980/03/28 00:00:00,102,
B40C0421,002,1980/04/14 00:00:00,86,
B40C0421,002,1980/04/28 00:00:00,90,
B40C0421,002,1980/05/14 00:00:00,93,
B40C0421,002,1980/05/28 00:00:00,98,
B40C0421,002,1980/06/13 00:00:00,108,
B40C0421,002,1980/06/27 00:00:00,96,
B40C0421,002,1980/07/14 00:00:00,52,
B40C0421,002,1980/07/28 00:00:00,53,
B40C0421,002,1980/08/13 00:00:00,73,
B40C0421,002,1980/08/28 00:00:00,87,
B40C0421,002,1980/09/15 00:00:00,95,
B40C0421,002,1980/09/30 00:00:00,104,
B40C0421,002,1980/10/14 00:00:00,109,
B40C0421,002,1980/10/28 00:00:00,108,
B40C0421,002,1980/11/14 00:00:00,107,
B40C0421,002,1980/11/28 00:00:00,88,
B40C0421,002,1980/12/15 00:00:00,90,
B40C0421,002,1980/12/29 00:00:00,73,
B40C0421,002,1981/01/14 00:00:00,62,
B40C0421,002,1981/01/28 00:00:00,70,
B40C0421,002,1981/02/13 00:00:00,69,
B40C0421,002,1981/02/27 00:00:00,,Y
B40C0421,002,1981/03/13 00:00:00,33,
B40C0421,002,1981/03/27 00:00:00,62,
B40C0421,002,1981/04/14 00:00:00,84,
B40C0421,002,1981/04/28 00:00:00,87,
B40C0421,002,1981/05/14 00:00:00,89,
B40C0421,002,1981/05/27 00:00:00,91,
