Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0474,001,40CP0474,187020,428730,1217,,1268,367,-433,1985/10/16,2018/03/12
B40C0474,001,40CP0474,187020,428730,1224,,1269,367,-433,2018/03/12,2019/12/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0474,001,1986/07/28 00:00:00,509,
B40C0474,001,1986/08/14 00:00:00,544,
B40C0474,001,1986/08/28 00:00:00,508,
B40C0474,001,1986/09/15 00:00:00,496,
B40C0474,001,1986/09/29 00:00:00,504,
B40C0474,001,1986/10/14 00:00:00,548,
B40C0474,001,1986/10/28 00:00:00,535,
B40C0474,001,1986/11/14 00:00:00,501,
B40C0474,001,1986/11/28 00:00:00,504,
B40C0474,001,1986/12/15 00:00:00,508,
B40C0474,001,1986/12/28 00:00:00,492,
B40C0474,001,1987/01/14 00:00:00,399,
B40C0474,001,1987/01/28 00:00:00,469,
B40C0474,001,1987/02/13 00:00:00,457,
B40C0474,001,1987/02/27 00:00:00,468,
B40C0474,001,1987/03/13 00:00:00,411,
B40C0474,001,1987/03/26 00:00:00,406,
B40C0474,001,1987/04/14 00:00:00,414,
B40C0474,001,1987/04/28 00:00:00,417,
B40C0474,001,1987/05/14 00:00:00,413,
B40C0474,001,1987/05/29 00:00:00,405,
B40C0474,001,1987/06/15 00:00:00,394,
B40C0474,001,1987/06/29 00:00:00,362,
B40C0474,001,1987/07/14 00:00:00,368,
B40C0474,001,1987/07/28 00:00:00,372,
B40C0474,001,1987/08/14 00:00:00,367,
B40C0474,001,1987/08/28 00:00:00,364,
B40C0474,001,1987/09/14 00:00:00,371,
B40C0474,001,1987/09/28 00:00:00,401,
B40C0474,001,1987/10/14 00:00:00,396,
B40C0474,001,1987/10/28 00:00:00,470,
B40C0474,001,1987/11/13 00:00:00,475,
B40C0474,001,1987/11/27 00:00:00,470,
B40C0474,001,1987/12/14 00:00:00,466,
B40C0474,001,1987/12/28 00:00:00,463,
B40C0474,001,1988/01/14 00:00:00,461,
B40C0474,001,1988/01/28 00:00:00,448,
B40C0474,001,1988/02/15 00:00:00,446,
B40C0474,001,1988/02/29 00:00:00,441,
B40C0474,001,1988/03/14 00:00:00,445,
B40C0474,001,1988/04/14 00:00:00,301,
B40C0474,001,1988/04/28 00:00:00,305,
B40C0474,001,1988/05/13 00:00:00,373,
B40C0474,001,1988/05/27 00:00:00,366,
B40C0474,001,1988/06/14 00:00:00,372,
B40C0474,001,1988/06/28 00:00:00,407,
B40C0474,001,1988/07/28 00:00:00,407,
B40C0474,001,1988/08/15 00:00:00,416,
B40C0474,001,1988/08/29 00:00:00,437,
B40C0474,001,1988/09/14 00:00:00,433,
B40C0474,001,1988/09/28 00:00:00,429,
B40C0474,001,1988/11/14 00:00:00,505,
