Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0477,003,40CP0477,187370,429020,1309,,1359,-5591,-6691,1985/10/30,1990/06/01
B40C0477,003,40CP0477,187370,429020,1301,,1296,-5591,-6691,1990/06/01,2002/04/24
B40C0477,003,40CP0477,187370,429020,1301,,1291,-5591,-6691,2002/04/24,2018/03/12
B40C0477,003,40CP0477,187370,429020,1301,,1293,-5591,-6691,2018/03/12,2019/12/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0477,003,1986/07/28 00:00:00,631,
B40C0477,003,1986/08/14 00:00:00,661,
B40C0477,003,1986/08/28 00:00:00,665,
B40C0477,003,1986/09/15 00:00:00,668,
B40C0477,003,1986/09/29 00:00:00,674,
B40C0477,003,1986/10/14 00:00:00,727,
B40C0477,003,1986/10/28 00:00:00,710,
B40C0477,003,1986/11/14 00:00:00,665,
B40C0477,003,1986/11/28 00:00:00,673,
B40C0477,003,1986/12/15 00:00:00,676,
B40C0477,003,1986/12/28 00:00:00,630,
B40C0477,003,1987/01/14 00:00:00,564,
B40C0477,003,1987/01/28 00:00:00,568,
B40C0477,003,1987/02/13 00:00:00,560,
B40C0477,003,1987/02/27 00:00:00,571,
B40C0477,003,1987/03/13 00:00:00,551,
B40C0477,003,1987/03/26 00:00:00,546,
B40C0477,003,1987/04/14 00:00:00,549,
B40C0477,003,1987/04/28 00:00:00,557,
B40C0477,003,1987/05/14 00:00:00,554,
B40C0477,003,1987/05/29 00:00:00,550,
B40C0477,003,1987/06/15 00:00:00,538,
B40C0477,003,1987/06/29 00:00:00,526,
B40C0477,003,1987/07/14 00:00:00,531,
B40C0477,003,1987/07/28 00:00:00,533,
B40C0477,003,1987/08/14 00:00:00,530,
B40C0477,003,1987/08/28 00:00:00,526,
B40C0477,003,1987/09/14 00:00:00,534,
B40C0477,003,1987/09/28 00:00:00,541,
B40C0477,003,1987/10/14 00:00:00,537,
B40C0477,003,1987/10/28 00:00:00,637,
B40C0477,003,1987/11/13 00:00:00,641,
B40C0477,003,1987/11/27 00:00:00,630,
B40C0477,003,1987/12/14 00:00:00,631,
B40C0477,003,1987/12/28 00:00:00,629,
B40C0477,003,1988/01/14 00:00:00,627,
B40C0477,003,1988/01/28 00:00:00,619,
B40C0477,003,1988/02/15 00:00:00,617,
B40C0477,003,1988/02/29 00:00:00,610,
B40C0477,003,1988/03/14 00:00:00,619,
