Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0478,001,40CP0478,187560,428820,2131,,2192,434,-566,1985/10/23,2010/01/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0478,001,1986/07/28 00:00:00,1375,
B40C0478,001,1986/08/14 00:00:00,1407,
B40C0478,001,1986/08/28 00:00:00,1414,
B40C0478,001,1986/09/15 00:00:00,1412,
B40C0478,001,1986/09/29 00:00:00,1420,
B40C0478,001,1986/10/14 00:00:00,1440,
B40C0478,001,1986/10/28 00:00:00,1431,
B40C0478,001,1986/11/14 00:00:00,1415,
B40C0478,001,1986/11/28 00:00:00,1424,
B40C0478,001,1986/12/15 00:00:00,1425,
B40C0478,001,1986/12/28 00:00:00,1403,
B40C0478,001,1987/01/14 00:00:00,1318,
B40C0478,001,1987/01/28 00:00:00,1359,
B40C0478,001,1987/02/13 00:00:00,1351,
B40C0478,001,1987/02/27 00:00:00,1357,
B40C0478,001,1987/03/13 00:00:00,1325,
B40C0478,001,1987/03/26 00:00:00,1321,
B40C0478,001,1987/04/14 00:00:00,1325,
B40C0478,001,1987/04/28 00:00:00,1330,
B40C0478,001,1987/05/14 00:00:00,1326,
B40C0478,001,1987/05/29 00:00:00,1319,
B40C0478,001,1987/06/15 00:00:00,1307,
B40C0478,001,1987/06/29 00:00:00,1298,
B40C0478,001,1987/07/14 00:00:00,1305,
B40C0478,001,1987/07/28 00:00:00,1308,
B40C0478,001,1987/08/14 00:00:00,1306,
B40C0478,001,1987/08/28 00:00:00,1303,
B40C0478,001,1987/09/14 00:00:00,1309,
B40C0478,001,1987/09/28 00:00:00,1317,
B40C0478,001,1987/10/14 00:00:00,1312,
B40C0478,001,1987/10/28 00:00:00,1384,
B40C0478,001,1987/11/13 00:00:00,1387,
B40C0478,001,1987/11/27 00:00:00,1385,
B40C0478,001,1987/12/14 00:00:00,1379,
B40C0478,001,1987/12/28 00:00:00,1378,
B40C0478,001,1988/01/14 00:00:00,1376,
B40C0478,001,1988/01/28 00:00:00,1369,
B40C0478,001,1988/02/15 00:00:00,1367,
B40C0478,001,1988/02/29 00:00:00,1363,
B40C0478,001,1988/03/14 00:00:00,1366,
B40C0478,001,1988/04/14 00:00:00,1205,
B40C0478,001,1988/04/28 00:00:00,1207,
B40C0478,001,1988/05/13 00:00:00,1275,
B40C0478,001,1988/05/27 00:00:00,1270,
B40C0478,001,1988/06/14 00:00:00,1272,
B40C0478,001,1988/06/28 00:00:00,1292,
B40C0478,001,1988/07/28 00:00:00,1291,
B40C0478,001,1988/08/15 00:00:00,1299,
B40C0478,001,1988/08/29 00:00:00,1306,
B40C0478,001,1988/09/14 00:00:00,1301,
B40C0478,001,1988/09/28 00:00:00,1299,
B40C0478,001,1988/11/14 00:00:00,1374,
B40C0478,001,1988/11/28 00:00:00,1406,
B40C0478,001,1988/12/14 14:30:00,1332,
B40C0478,001,1988/12/28 00:00:00,1299,
B40C0478,001,1989/01/13 00:00:00,1326,
B40C0478,001,1989/01/27 00:00:00,1355,
B40C0478,001,1989/02/14 00:00:00,1349,
B40C0478,001,1989/02/28 13:45:00,1382,
B40C0478,001,1989/03/14 14:35:00,1349,
B40C0478,001,1989/03/28 00:00:00,1343,
B40C0478,001,1989/04/14 00:00:00,1325,
B40C0478,001,1989/04/28 00:00:00,1308,
B40C0478,001,1989/05/12 00:00:00,1311,
B40C0478,001,1989/05/29 00:00:00,1325,
B40C0478,001,1989/06/14 00:00:00,1387,
B40C0478,001,1989/06/28 00:00:00,1409,
B40C0478,001,1989/07/14 00:00:00,1406,
B40C0478,001,1989/07/28 00:00:00,1411,
B40C0478,001,1989/08/14 00:00:00,1414,
B40C0478,001,1989/08/28 00:00:00,1431,
B40C0478,001,1989/09/14 00:00:00,1434,
B40C0478,001,1989/09/28 00:00:00,1449,
B40C0478,001,1989/10/13 00:00:00,1453,
B40C0478,001,1989/10/27 00:00:00,1460,
B40C0478,001,1989/11/14 00:00:00,1457,
B40C0478,001,1989/11/28 00:00:00,1460,
B40C0478,001,1989/12/14 00:00:00,1498,
B40C0478,001,1989/12/28 00:00:00,1484,
B40C0478,001,1990/01/15 00:00:00,1491,
B40C0478,001,1990/01/29 00:00:00,1485,
B40C0478,001,1990/02/14 00:00:00,1481,
B40C0478,001,1990/02/28 00:00:00,1421,
B40C0478,001,1990/03/14 00:00:00,1418,
B40C0478,001,1990/03/28 00:00:00,1375,
B40C0478,001,1990/04/13 00:00:00,1378,
