Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0509,001,40CB0004,181600,433330,840,,827,-60,-1470,1950/05/30,1960/10/14
B40C0509,001,40CB0004,181600,433330,840,,838,-60,-1470,1960/10/14,1969/04/28
B40C0509,001,40CB0004,181600,433330,840,,,-60,-1470,1969/04/28,1970/11/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0509,001,1950/05/30 00:00:00,125,
B40C0509,001,1950/06/14 00:00:00,137,
B40C0509,001,1950/06/29 00:00:00,142,
B40C0509,001,1950/07/14 00:00:00,147,
B40C0509,001,1950/07/28 00:00:00,171,
B40C0509,001,1950/08/14 00:00:00,184,
B40C0509,001,1950/08/28 00:00:00,187,
B40C0509,001,1950/09/14 00:00:00,185,
B40C0509,001,1950/09/28 00:00:00,155,
B40C0509,001,1950/10/14 00:00:00,181,
B40C0509,001,1950/10/28 00:00:00,183,
B40C0509,001,1950/11/14 00:00:00,177,
B40C0509,001,1950/11/28 00:00:00,27,
B40C0509,001,1950/12/15 00:00:00,13,
B40C0509,001,1950/12/28 00:00:00,73,
B40C0509,001,1951/01/15 00:00:00,29,
B40C0509,001,1951/01/29 00:00:00,,O
B40C0509,001,1951/02/14 00:00:00,75,
B40C0509,001,1951/02/28 00:00:00,43,
B40C0509,001,1951/03/14 00:00:00,72,
B40C0509,001,1951/03/28 00:00:00,48,
B40C0509,001,1951/04/16 00:00:00,38,
B40C0509,001,1951/04/28 00:00:00,73,
B40C0509,001,1951/05/15 00:00:00,70,
B40C0509,001,1951/05/28 00:00:00,69,
B40C0509,001,1951/06/14 00:00:00,92,
