Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0512,001,40CB0010,189930,433350,1130,,1107,430,-1270,1950/05/30,1975/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0512,001,1950/05/30 00:00:00,273,
B40C0512,001,1950/06/14 00:00:00,289,
B40C0512,001,1950/06/28 00:00:00,305,
B40C0512,001,1950/07/14 00:00:00,312,
B40C0512,001,1950/07/28 00:00:00,328,
B40C0512,001,1950/08/14 00:00:00,340,
B40C0512,001,1950/08/28 00:00:00,345,
B40C0512,001,1950/09/14 00:00:00,351,
B40C0512,001,1950/09/28 00:00:00,325,
B40C0512,001,1950/10/14 00:00:00,328,
B40C0512,001,1950/10/28 00:00:00,334,
B40C0512,001,1950/11/14 00:00:00,308,
B40C0512,001,1950/11/28 00:00:00,239,
B40C0512,001,1950/12/14 00:00:00,143,
B40C0512,001,1950/12/28 00:00:00,228,
B40C0512,001,1951/01/15 00:00:00,215,
B40C0512,001,1951/01/29 00:00:00,128,
B40C0512,001,1951/02/14 00:00:00,228,
B40C0512,001,1951/02/28 00:00:00,201,
B40C0512,001,1951/03/14 00:00:00,233,
B40C0512,001,1951/03/28 00:00:00,226,
B40C0512,001,1951/04/14 00:00:00,228,
B40C0512,001,1951/04/28 00:00:00,250,
B40C0512,001,1951/05/15 00:00:00,264,
B40C0512,001,1951/05/28 00:00:00,246,
B40C0512,001,1951/06/14 00:00:00,260,
B40C0512,001,1951/06/28 00:00:00,260,
B40C0512,001,1951/07/14 00:00:00,270,
B40C0512,001,1951/07/28 00:00:00,275,
B40C0512,001,1951/08/14 00:00:00,274,
B40C0512,001,1951/08/28 00:00:00,269,
B40C0512,001,1951/09/14 00:00:00,289,
B40C0512,001,1951/09/28 00:00:00,299,
B40C0512,001,1951/10/15 00:00:00,337,
B40C0512,001,1951/10/29 00:00:00,345,
B40C0512,001,1951/11/14 00:00:00,328,
B40C0512,001,1951/11/28 00:00:00,280,
B40C0512,001,1951/12/14 00:00:00,261,
B40C0512,001,1951/12/28 00:00:00,252,
