Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0518,001,40CB0114,182660,435830,1020,,1041,2,1,1981/04/28,2003/12/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0518,001,1981/04/28 00:00:00,281,
B40C0518,001,1981/08/28 00:00:00,303,
B40C0518,001,1981/10/14 00:00:00,275,
B40C0518,001,1981/12/28 00:00:00,275,
B40C0518,001,1982/05/10 00:00:00,306,
B40C0518,001,1982/08/27 00:00:00,370,
B40C0518,001,1982/09/21 00:00:00,350,
B40C0518,001,1982/10/14 00:00:00,350,
B40C0518,001,1982/12/14 00:00:00,255,
B40C0518,001,1983/05/11 00:00:00,261,
B40C0518,001,1983/08/29 00:00:00,320,
B40C0518,001,1983/10/30 00:00:00,326,
B40C0518,001,1983/12/21 00:00:00,290,
B40C0518,001,1984/04/27 00:00:00,343,
B40C0518,001,1984/08/08 00:00:00,269,
B40C0518,001,1984/09/11 00:00:00,320,
B40C0518,001,1984/10/15 00:00:00,250,
B40C0518,001,1985/05/03 00:00:00,112,
B40C0518,001,1985/10/31 00:00:00,283,
B40C0518,001,1986/04/28 00:00:00,269,
B40C0518,001,1986/08/28 00:00:00,296,
B40C0518,001,1986/10/14 00:00:00,292,
B40C0518,001,1986/12/15 00:00:00,343,
B40C0518,001,1987/04/28 00:00:00,273,
B40C0518,001,1987/07/14 00:00:00,369,
B40C0518,001,1987/07/28 00:00:00,319,
B40C0518,001,1987/08/14 00:00:00,331,
B40C0518,001,1987/08/27 00:00:00,254,
B40C0518,001,1987/08/28 00:00:00,329,
B40C0518,001,1987/09/14 00:00:00,344,
B40C0518,001,1987/09/28 00:00:00,350,
B40C0518,001,1987/10/14 00:00:00,343,
B40C0518,001,1987/10/19 00:00:00,267,
B40C0518,001,1987/10/28 00:00:00,358,
B40C0518,001,1987/11/13 00:00:00,355,
B40C0518,001,1987/11/27 00:00:00,331,
B40C0518,001,1987/12/14 00:00:00,278,
B40C0518,001,1987/12/28 00:00:00,354,
B40C0518,001,1988/01/14 00:00:00,335,
B40C0518,001,1988/01/28 00:00:00,315,
B40C0518,001,1988/02/15 00:00:00,333,
B40C0518,001,1988/02/29 00:00:00,352,
B40C0518,001,1988/03/14 00:00:00,339,
B40C0518,001,1988/03/28 00:00:00,316,
B40C0518,001,1988/04/14 00:00:00,356,
B40C0518,001,1988/04/28 00:00:00,359,
B40C0518,001,1988/05/16 00:00:00,354,
B40C0518,001,1988/05/27 00:00:00,371,
B40C0518,001,1988/06/14 00:00:00,368,
B40C0518,001,1988/06/28 00:00:00,383,
B40C0518,001,1988/07/14 00:00:00,377,
B40C0518,001,1988/07/28 00:00:00,367,
B40C0518,001,1988/08/15 00:00:00,364,
B40C0518,001,1988/08/29 00:00:00,368,
B40C0518,001,1988/09/14 00:00:00,371,
B40C0518,001,1988/09/28 00:00:00,361,
B40C0518,001,1988/10/14 08:40:00,250,
B40C0518,001,1988/10/28 00:00:00,360,
B40C0518,001,1988/11/14 00:00:00,377,
B40C0518,001,1988/11/28 00:00:00,380,
B40C0518,001,1988/12/14 00:00:00,263,
B40C0518,001,1988/12/27 00:00:00,349,
B40C0518,001,1989/01/12 00:00:00,353,
B40C0518,001,1989/01/27 00:00:00,366,
B40C0518,001,1989/02/14 00:00:00,373,
B40C0518,001,1989/02/27 00:00:00,370,
B40C0518,001,1989/03/14 00:00:00,352,
B40C0518,001,1989/03/28 00:00:00,349,
B40C0518,001,1989/04/14 00:00:00,357,
B40C0518,001,1989/04/28 00:00:00,273,
B40C0518,001,1989/05/16 00:00:00,368,
B40C0518,001,1989/05/29 00:00:00,373,
B40C0518,001,1989/06/14 00:00:00,374,
