Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0520,001,40CP0013,183420,431590,1106,,1175,566,466,1953/03/14,1976/02/27
B40C0520,001,40CP0013,183420,431590,1127,,1136,566,466,1976/02/27,1994/02/02
B40C0520,001,40CP0013,183420,431590,1127,,1184,566,466,1994/02/02,2001/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0520,001,1953/03/14 00:00:00,314,
B40C0520,001,1953/03/28 00:00:00,389,
B40C0520,001,1953/04/14 00:00:00,371,
B40C0520,001,1953/04/28 00:00:00,391,
B40C0520,001,1953/05/13 00:00:00,425,
B40C0520,001,1953/05/28 00:00:00,409,
B40C0520,001,1953/06/13 00:00:00,382,
B40C0520,001,1953/06/27 00:00:00,343,
B40C0520,001,1953/07/14 00:00:00,213,
B40C0520,001,1953/07/28 00:00:00,268,
B40C0520,001,1953/08/14 00:00:00,334,
B40C0520,001,1953/08/28 00:00:00,397,
B40C0520,001,1953/09/14 00:00:00,487,
B40C0520,001,1953/09/28 00:00:00,511,
B40C0520,001,1953/10/14 00:00:00,519,
B40C0520,001,1953/10/28 00:00:00,539,
B40C0520,001,1953/11/14 00:00:00,533,
B40C0520,001,1953/11/28 00:00:00,553,
B40C0520,001,1953/12/14 00:00:00,573,
B40C0520,001,1953/12/28 00:00:00,584,
B40C0520,001,1954/01/14 00:00:00,571,
B40C0520,001,1954/01/28 00:00:00,506,
B40C0520,001,1954/02/15 00:00:00,337,
B40C0520,001,1954/03/01 00:00:00,473,
B40C0520,001,1954/03/15 00:00:00,423,
B40C0520,001,1954/03/29 00:00:00,449,
B40C0520,001,1954/04/14 00:00:00,351,
B40C0520,001,1954/04/28 00:00:00,426,
B40C0520,001,1954/05/14 00:00:00,470,
B40C0520,001,1954/05/28 00:00:00,447,
B40C0520,001,1954/06/14 00:00:00,431,
B40C0520,001,1954/06/28 00:00:00,418,
B40C0520,001,1954/07/14 00:00:00,396,
B40C0520,001,1954/07/28 00:00:00,303,
B40C0520,001,1954/08/14 00:00:00,400,
B40C0520,001,1954/08/28 00:00:00,247,
B40C0520,001,1954/09/15 00:00:00,331,
B40C0520,001,1954/09/29 00:00:00,319,
B40C0520,001,1954/10/14 00:00:00,207,
B40C0520,001,1954/10/29 00:00:00,303,
B40C0520,001,1954/11/13 00:00:00,318,
B40C0520,001,1954/11/27 00:00:00,386,
B40C0520,001,1954/12/14 00:00:00,222,
B40C0520,001,1954/12/28 00:00:00,8,
B40C0520,001,1955/01/14 00:00:00,299,
B40C0520,001,1955/02/14 00:00:00,83,
B40C0520,001,1955/02/28 00:00:00,241,
B40C0520,001,1955/03/14 00:00:00,329,
B40C0520,001,1955/03/28 00:00:00,125,
B40C0520,001,1955/04/14 00:00:00,268,
B40C0520,001,1955/04/28 00:00:00,339,
B40C0520,001,1955/05/14 00:00:00,366,
B40C0520,001,1955/05/28 00:00:00,342,
B40C0520,001,1955/06/14 00:00:00,273,
B40C0520,001,1955/06/28 00:00:00,281,
B40C0520,001,1955/07/14 00:00:00,298,
B40C0520,001,1955/07/28 00:00:00,268,
B40C0520,001,1955/08/13 00:00:00,277,
B40C0520,001,1955/08/29 00:00:00,381,
B40C0520,001,1955/09/14 00:00:00,392,
B40C0520,001,1955/09/28 00:00:00,407,
B40C0520,001,1955/10/14 00:00:00,451,
B40C0520,001,1955/10/28 00:00:00,487,
B40C0520,001,1955/11/14 00:00:00,514,
B40C0520,001,1955/11/28 00:00:00,541,
B40C0520,001,1955/12/14 00:00:00,518,
B40C0520,001,1955/12/28 00:00:00,335,
B40C0520,001,1956/01/14 00:00:00,279,
B40C0520,001,1956/01/28 00:00:00,244,
B40C0520,001,1956/02/14 00:00:00,353,
B40C0520,001,1956/02/28 00:00:00,387,
B40C0520,001,1956/03/14 00:00:00,189,
B40C0520,001,1956/03/28 00:00:00,361,
B40C0520,001,1956/04/14 00:00:00,408,
B40C0520,001,1956/04/28 00:00:00,292,
B40C0520,001,1956/05/14 00:00:00,394,
B40C0520,001,1956/05/28 00:00:00,374,
B40C0520,001,1956/06/14 00:00:00,255,
B40C0520,001,1956/06/28 00:00:00,290,
B40C0520,001,1956/07/14 00:00:00,313,
B40C0520,001,1956/07/28 00:00:00,209,
B40C0520,001,1956/08/14 00:00:00,275,
B40C0520,001,1956/08/28 00:00:00,292,
B40C0520,001,1956/09/14 00:00:00,253,
B40C0520,001,1956/09/28 00:00:00,309,
B40C0520,001,1956/10/13 00:00:00,244,
B40C0520,001,1956/10/27 00:00:00,335,
B40C0520,001,1956/11/14 00:00:00,314,
