Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0529,001,40CP0028,184210,430570,1051,,1157,539,439,1953/09/28,1962/01/16
B40C0529,001,40CP0028,184210,430570,1051,,1147,539,439,1962/01/16,1978/07/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0529,001,1953/09/28 00:00:00,413,
B40C0529,001,1953/10/14 00:00:00,424,
B40C0529,001,1953/10/28 00:00:00,439,
B40C0529,001,1953/11/14 00:00:00,440,
B40C0529,001,1953/11/28 00:00:00,451,
B40C0529,001,1953/12/14 00:00:00,467,
B40C0529,001,1953/12/28 00:00:00,476,
B40C0529,001,1954/01/14 00:00:00,472,
B40C0529,001,1954/01/28 00:00:00,301,
B40C0529,001,1954/02/15 00:00:00,286,
B40C0529,001,1954/03/01 00:00:00,280,
B40C0529,001,1954/03/15 00:00:00,291,
B40C0529,001,1954/03/29 00:00:00,365,
B40C0529,001,1954/04/14 00:00:00,285,
B40C0529,001,1954/04/28 00:00:00,350,
B40C0529,001,1954/05/14 00:00:00,380,
B40C0529,001,1954/05/28 00:00:00,371,
B40C0529,001,1954/06/14 00:00:00,359,
B40C0529,001,1954/06/28 00:00:00,353,
B40C0529,001,1954/07/14 00:00:00,295,
B40C0529,001,1954/07/28 00:00:00,238,
B40C0529,001,1954/08/14 00:00:00,324,
B40C0529,001,1954/08/28 00:00:00,293,
B40C0529,001,1954/09/15 00:00:00,267,
B40C0529,001,1954/09/29 00:00:00,252,
B40C0529,001,1954/10/14 00:00:00,170,
B40C0529,001,1954/10/29 00:00:00,233,
B40C0529,001,1954/11/13 00:00:00,304,
B40C0529,001,1954/11/27 00:00:00,313,
B40C0529,001,1954/12/14 00:00:00,280,
B40C0529,001,1954/12/28 00:00:00,209,
B40C0529,001,1955/01/14 00:00:00,235,
B40C0529,001,1955/01/28 00:00:00,100,
B40C0529,001,1955/02/14 00:00:00,109,
B40C0529,001,1955/02/28 00:00:00,206,
B40C0529,001,1955/03/14 00:00:00,262,
B40C0529,001,1955/03/28 00:00:00,221,
B40C0529,001,1955/04/14 00:00:00,217,
B40C0529,001,1955/04/28 00:00:00,274,
B40C0529,001,1955/05/14 00:00:00,292,
B40C0529,001,1955/05/28 00:00:00,274,
