Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0536,001,40CP0042,187300,428760,1825,,1857,82,-68,1956/02/14,1970/09/15
B40C0536,001,40CP0042,187300,428760,1829,,1863,82,-68,1970/09/15,1975/01/28
B40C0536,001,40CP0042,187300,428760,1832,,1863,82,-68,1975/01/28,1990/04/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0536,001,1956/02/14 00:00:00,1108,
B40C0536,001,1956/02/28 00:00:00,1142,
B40C0536,001,1956/03/14 00:00:00,1067,
B40C0536,001,1956/03/28 00:00:00,1107,
B40C0536,001,1956/04/14 00:00:00,1137,
B40C0536,001,1956/04/28 00:00:00,1105,
B40C0536,001,1956/05/28 00:00:00,1132,
B40C0536,001,1956/06/14 00:00:00,1117,
B40C0536,001,1956/06/28 00:00:00,1105,
B40C0536,001,1956/07/14 00:00:00,1111,
B40C0536,001,1956/07/28 00:00:00,1049,
B40C0536,001,1956/08/14 00:00:00,1071,
B40C0536,001,1956/08/28 00:00:00,1082,
B40C0536,001,1956/09/14 00:00:00,1066,
B40C0536,001,1956/09/28 00:00:00,1080,
B40C0536,001,1956/10/15 00:00:00,1072,
B40C0536,001,1956/10/29 00:00:00,1094,
B40C0536,001,1956/11/14 00:00:00,1093,
B40C0536,001,1956/11/28 00:00:00,1114,
B40C0536,001,1956/12/14 00:00:00,1085,
B40C0536,001,1956/12/28 00:00:00,1085,
B40C0536,001,1957/01/14 00:00:00,1097,
B40C0536,001,1957/01/28 00:00:00,1120,
B40C0536,001,1957/02/14 00:00:00,1102,
B40C0536,001,1957/02/28 00:00:00,1041,
B40C0536,001,1957/03/14 00:00:00,1030,
B40C0536,001,1957/03/28 00:00:00,1044,
B40C0536,001,1957/04/15 00:00:00,1076,
B40C0536,001,1957/04/29 00:00:00,1102,
B40C0536,001,1957/05/14 00:00:00,1132,
B40C0536,001,1957/05/28 00:00:00,1145,
B40C0536,001,1957/06/14 00:00:00,1158,
B40C0536,001,1957/06/28 00:00:00,1145,
B40C0536,001,1957/07/15 00:00:00,1142,
B40C0536,001,1957/07/29 00:00:00,1118,
B40C0536,001,1957/08/14 00:00:00,1125,
B40C0536,001,1957/08/28 00:00:00,1124,
B40C0536,001,1957/09/14 00:00:00,1133,
B40C0536,001,1957/09/28 00:00:00,1104,
B40C0536,001,1957/10/14 00:00:00,1094,
B40C0536,001,1957/10/28 00:00:00,1118,
B40C0536,001,1957/11/14 00:00:00,1144,
B40C0536,001,1957/11/28 00:00:00,1161,
B40C0536,001,1957/12/14 00:00:00,1166,
B40C0536,001,1957/12/28 00:00:00,1147,
B40C0536,001,1958/01/14 00:00:00,1123,
B40C0536,001,1958/01/28 00:00:00,1100,
B40C0536,001,1958/02/15 00:00:00,1071,
B40C0536,001,1958/02/28 00:00:00,1008,
B40C0536,001,1958/03/14 00:00:00,998,
B40C0536,001,1958/03/28 00:00:00,1034,
B40C0536,001,1958/04/14 00:00:00,1052,
B40C0536,001,1958/04/28 00:00:00,1066,
B40C0536,001,1958/05/14 00:00:00,1064,
B40C0536,001,1958/05/28 00:00:00,1031,
B40C0536,001,1958/06/14 00:00:00,1057,
