Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0544,001,40CP0103,183340,430150,929,,973,,273,1981/05/28,1983/02/11
B40C0544,001,40CP0103,183340,430150,932,,974,,273,1983/02/11,2000/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0544,001,1981/05/28 00:00:00,206,
B40C0544,001,1981/06/29 00:00:00,206,
B40C0544,001,1981/07/28 00:00:00,206,
B40C0544,001,1981/08/28 00:00:00,211,
B40C0544,001,1981/09/29 00:00:00,238,
B40C0544,001,1981/10/28 00:00:00,186,
B40C0544,001,1981/11/27 00:00:00,196,
B40C0544,001,1981/12/28 00:00:00,151,
B40C0544,001,1982/01/28 00:00:00,162,
B40C0544,001,1982/03/01 00:00:00,194,
B40C0544,001,1982/03/29 00:00:00,192,
B40C0544,001,1982/04/28 00:00:00,202,
B40C0544,001,1982/05/27 00:00:00,206,
B40C0544,001,1982/06/28 00:00:00,195,
B40C0544,001,1982/07/27 00:00:00,209,
B40C0544,001,1982/08/27 00:00:00,210,
B40C0544,001,1982/09/28 00:00:00,225,
B40C0544,001,1982/10/28 00:00:00,200,
B40C0544,001,1982/11/29 00:00:00,200,
B40C0544,001,1982/12/28 00:00:00,145,
B40C0544,001,1983/01/28 00:00:00,163,
B40C0544,001,1983/02/28 00:00:00,195,
B40C0544,001,1983/03/28 00:00:00,160,
B40C0544,001,1983/04/28 00:00:00,146,
B40C0544,001,1983/05/31 00:00:00,121,
B40C0544,001,1983/06/28 00:00:00,175,
B40C0544,001,1983/07/28 00:00:00,203,
B40C0544,001,1983/08/26 00:00:00,212,
B40C0544,001,1983/09/29 00:00:00,218,
B40C0544,001,1983/10/28 00:00:00,248,
B40C0544,001,1983/11/25 00:00:00,268,
B40C0544,001,1983/12/28 00:00:00,233,
B40C0544,001,1984/01/27 00:00:00,168,
B40C0544,001,1984/02/28 00:00:00,188,
B40C0544,001,1984/03/27 00:00:00,213,
B40C0544,001,1984/04/26 00:00:00,204,
B40C0544,001,1984/05/28 00:00:00,200,
B40C0544,001,1984/06/28 00:00:00,181,
B40C0544,001,1984/08/07 00:00:00,215,
B40C0544,001,1984/08/27 00:00:00,222,
B40C0544,001,1984/09/28 00:00:00,148,
B40C0544,001,1984/10/29 00:00:00,163,
B40C0544,001,1984/11/29 00:00:00,187,
B40C0544,001,1985/01/16 00:00:00,220,
B40C0544,001,1985/01/28 00:00:00,198,
B40C0544,001,1985/02/28 00:00:00,206,
B40C0544,001,1985/03/28 00:00:00,208,
B40C0544,001,1985/04/26 00:00:00,196,
B40C0544,001,1985/05/29 00:00:00,198,
B40C0544,001,1985/06/28 00:00:00,154,
B40C0544,001,1985/07/12 00:00:00,191,
B40C0544,001,1985/08/28 00:00:00,219,
B40C0544,001,1985/09/26 00:00:00,252,
B40C0544,001,1985/10/28 00:00:00,270,
B40C0544,001,1985/11/21 00:00:00,180,
B40C0544,001,1986/01/06 00:00:00,251,
B40C0544,001,1986/01/31 00:00:00,155,
B40C0544,001,1986/02/28 00:00:00,227,
B40C0544,001,1986/03/28 00:00:00,160,
B40C0544,001,1986/04/28 00:00:00,173,
B40C0544,001,1986/05/29 00:00:00,182,
B40C0544,001,1986/06/26 00:00:00,175,
B40C0544,001,1986/07/25 00:00:00,202,
B40C0544,001,1986/08/22 00:00:00,224,
B40C0544,001,1986/10/02 00:00:00,178,
B40C0544,001,1986/11/03 00:00:00,205,
B40C0544,001,1986/11/26 00:00:00,204,
B40C0544,001,1986/12/22 00:00:00,189,
B40C0544,001,1987/01/27 00:00:00,138,
B40C0544,001,1987/03/31 00:00:00,170,
B40C0544,001,1987/05/04 00:00:00,190,
B40C0544,001,1987/05/27 00:00:00,183,
B40C0544,001,1987/07/03 00:00:00,155,
B40C0544,001,1987/07/30 00:00:00,79,
B40C0544,001,1987/08/27 00:00:00,158,
B40C0544,001,1987/09/29 00:00:00,198,
B40C0544,001,1987/10/30 00:00:00,205,
B40C0544,001,1987/11/30 00:00:00,181,
B40C0544,001,1987/12/28 00:00:00,180,
B40C0544,001,1988/01/27 00:00:00,158,
B40C0544,001,1988/02/25 00:00:00,170,
B40C0544,001,1988/03/25 00:00:00,122,
B40C0544,001,1988/04/28 00:00:00,166,
B40C0544,001,1988/06/01 00:00:00,193,
B40C0544,001,1988/06/27 00:00:00,213,
B40C0544,001,1988/07/29 00:00:00,185,
