Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0545,001,40CP0105,187200,428700,1525,,1566,75,-425,1983/12/14,1984/07/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0545,001,1983/12/14 00:00:00,839,
B40C0545,001,1984/01/13 00:00:00,790,
B40C0545,001,1984/01/27 00:00:00,737,
B40C0545,001,1984/02/14 00:00:00,667,
B40C0545,001,1984/02/28 00:00:00,700,
B40C0545,001,1984/03/14 00:00:00,744,
B40C0545,001,1984/03/28 00:00:00,767,
B40C0545,001,1984/04/13 00:00:00,747,
B40C0545,001,1984/04/26 00:00:00,745,
B40C0545,001,1984/05/14 00:00:00,744,
B40C0545,001,1984/05/28 00:00:00,748,
B40C0545,001,1984/06/14 00:00:00,743,
B40C0545,001,1984/06/28 00:00:00,750,
B40C0545,001,1984/07/13 00:00:00,763,
