Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0554,001,40CL0002,188030,436760,853,,851,701,651,1973/02/14,1977/08/29
B40C0554,001,40CL0002,188030,436760,853,,853,703,653,1977/08/29,1977/10/28
B40C0554,001,40CL0002,188030,436760,853,,845,695,645,1977/10/28,1995/03/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0554,001,1973/02/14 00:00:00,43,
B40C0554,001,1973/02/28 00:00:00,59,
B40C0554,001,1973/03/14 00:00:00,76,
B40C0554,001,1973/03/28 00:00:00,91,
B40C0554,001,1973/04/13 00:00:00,63,
B40C0554,001,1973/04/27 00:00:00,69,
B40C0554,001,1973/05/14 00:00:00,81,
B40C0554,001,1973/05/28 00:00:00,84,
B40C0554,001,1973/06/14 00:00:00,92,
B40C0554,001,1973/06/28 00:00:00,77,
B40C0554,001,1973/07/13 00:00:00,89,
B40C0554,001,1973/07/27 00:00:00,81,
B40C0554,001,1973/08/14 00:00:00,97,
B40C0554,001,1973/08/28 00:00:00,108,
B40C0554,001,1973/09/14 00:00:00,117,
B40C0554,001,1973/09/28 00:00:00,100,
B40C0554,001,1973/10/15 00:00:00,91,
B40C0554,001,1973/10/29 00:00:00,74,
B40C0554,001,1973/11/14 00:00:00,55,
B40C0554,001,1973/11/28 00:00:00,73,
B40C0554,001,1973/12/14 00:00:00,49,
B40C0554,001,1973/12/28 00:00:00,66,
B40C0554,001,1974/01/14 00:00:00,56,
B40C0554,001,1974/01/28 00:00:00,68,
B40C0554,001,1974/02/14 00:00:00,56,
B40C0554,001,1974/02/28 00:00:00,87,
B40C0554,001,1974/03/17 00:00:00,79,
B40C0554,001,1974/03/28 00:00:00,73,
B40C0554,001,1974/04/16 00:00:00,91,
B40C0554,001,1974/04/29 00:00:00,91,
B40C0554,001,1974/05/14 00:00:00,94,
B40C0554,001,1974/05/28 00:00:00,90,
B40C0554,001,1974/06/14 00:00:00,75,
B40C0554,001,1974/06/28 00:00:00,87,
B40C0554,001,1974/07/15 00:00:00,81,
B40C0554,001,1974/07/29 00:00:00,98,
B40C0554,001,1974/08/14 00:00:00,58,
B40C0554,001,1974/08/28 00:00:00,85,
B40C0554,001,1974/09/14 00:00:00,77,
B40C0554,001,1974/09/27 00:00:00,54,
B40C0554,001,1974/10/14 00:00:00,71,
B40C0554,001,1974/10/28 00:00:00,48,
B40C0554,001,1974/11/14 00:00:00,56,
B40C0554,001,1974/11/28 00:00:00,49,
B40C0554,001,1974/12/13 00:00:00,45,
B40C0554,001,1974/12/27 00:00:00,42,
B40C0554,001,1975/01/14 00:00:00,60,
B40C0554,001,1975/01/28 00:00:00,38,
B40C0554,001,1975/02/14 00:00:00,80,
B40C0554,001,1975/02/28 00:00:00,82,
B40C0554,001,1975/03/14 00:00:00,72,
B40C0554,001,1975/03/27 00:00:00,53,
B40C0554,001,1975/04/14 00:00:00,67,
B40C0554,001,1975/04/28 00:00:00,75,
B40C0554,001,1975/05/14 00:00:00,69,
B40C0554,001,1975/05/28 00:00:00,83,
B40C0554,001,1975/06/13 00:00:00,79,
B40C0554,001,1975/06/27 00:00:00,59,
B40C0554,001,1975/07/14 00:00:00,55,
B40C0554,001,1975/07/28 00:00:00,58,
B40C0554,001,1975/08/14 00:00:00,84,
B40C0554,001,1975/08/28 00:00:00,77,
B40C0554,001,1975/09/15 00:00:00,71,
B40C0554,001,1975/09/29 00:00:00,88,
B40C0554,001,1975/10/14 00:00:00,101,
B40C0554,001,1975/10/28 00:00:00,109,
B40C0554,001,1975/11/14 00:00:00,107,
B40C0554,001,1975/11/28 00:00:00,63,
B40C0554,001,1975/12/15 00:00:00,93,
B40C0554,001,1975/12/29 00:00:00,95,
B40C0554,001,1976/01/14 00:00:00,54,
B40C0554,001,1976/01/28 00:00:00,71,
B40C0554,001,1976/02/13 00:00:00,54,
B40C0554,001,1976/02/27 00:00:00,84,
B40C0554,001,1976/03/15 00:00:00,81,
B40C0554,001,1976/03/29 00:00:00,81,
B40C0554,001,1976/04/14 00:00:00,85,
B40C0554,001,1976/04/28 00:00:00,99,
B40C0554,001,1976/05/14 00:00:00,101,
B40C0554,001,1976/05/28 00:00:00,79,
B40C0554,001,1976/06/14 00:00:00,98,
