Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0555,001,40CL0003,181500,436020,753,,,,,1952/10/13,1955/04/28
B40C0555,001,40CL0003,181500,436020,753,,745,,,1955/04/28,1955/06/01
B40C0555,001,40CL0003,181500,436020,753,,747,,,1955/06/01,1968/10/14
B40C0555,001,40CL0003,181500,436020,753,,741,,,1968/10/14,1970/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0555,001,1952/10/13 00:00:00,86,
B40C0555,001,1952/12/15 00:00:00,34,
B40C0555,001,1953/04/28 00:00:00,62,
B40C0555,001,1955/04/28 00:00:00,71,
B40C0555,001,1955/06/01 00:00:00,59,
B40C0555,001,1955/08/26 00:00:00,108,
B40C0555,001,1955/10/11 00:00:00,126,
B40C0555,001,1957/08/28 00:00:00,66,
B40C0555,001,1957/10/14 00:00:00,62,
B40C0555,001,1957/12/14 00:00:00,25,
B40C0555,001,1958/04/28 00:00:00,38,
B40C0555,001,1958/08/28 00:00:00,52,
B40C0555,001,1958/10/14 00:00:00,22,
B40C0555,001,1958/12/15 00:00:00,17,
B40C0555,001,1959/04/28 00:00:00,66,
B40C0555,001,1959/08/28 00:00:00,135,
B40C0555,001,1959/10/14 00:00:00,194,D
B40C0555,001,1959/12/14 00:00:00,193,D
B40C0555,001,1960/04/28 00:00:00,164,
B40C0555,001,1960/08/29 00:00:00,152,
B40C0555,001,1960/10/14 00:00:00,39,
B40C0555,001,1960/12/14 00:00:00,89,
B40C0555,001,1961/04/28 00:00:00,1,
B40C0555,001,1961/08/28 00:00:00,87,
B40C0555,001,1961/10/13 00:00:00,93,
B40C0555,001,1961/12/14 00:00:00,9,
B40C0555,001,1962/04/27 00:00:00,63,
B40C0555,001,1962/08/28 00:00:00,99,
B40C0555,001,1962/10/15 00:00:00,107,
B40C0555,001,1962/12/14 00:00:00,86,
B40C0555,001,1963/04/29 00:00:00,73,
B40C0555,001,1963/08/28 00:00:00,76,
B40C0555,001,1963/10/14 00:00:00,51,
B40C0555,001,1963/12/13 00:00:00,64,
B40C0555,001,1964/04/28 00:00:00,74,
B40C0555,001,1964/08/28 00:00:00,129,
B40C0555,001,1964/10/14 00:00:00,90,
B40C0555,001,1964/12/14 00:00:00,34,
B40C0555,001,1965/04/28 00:00:00,32,
B40C0555,001,1965/08/27 00:00:00,52,
B40C0555,001,1965/10/14 00:00:00,68,
B40C0555,001,1965/12/14 00:00:00,6,
B40C0555,001,1966/04/28 00:00:00,50,
B40C0555,001,1966/08/29 00:00:00,61,
B40C0555,001,1966/10/14 00:00:00,77,
B40C0555,001,1966/12/14 00:00:00,6,
B40C0555,001,1967/04/28 00:00:00,77,
B40C0555,001,1967/08/28 00:00:00,104,
B40C0555,001,1967/10/13 00:00:00,69,
B40C0555,001,1967/12/14 00:00:00,56,
B40C0555,001,1968/04/29 00:00:00,81,
B40C0555,001,1968/08/27 00:00:00,126,D
B40C0555,001,1968/10/14 00:00:00,132,
B40C0555,001,1968/12/13 00:00:00,100,
B40C0555,001,1969/05/14 00:00:00,63,
B40C0555,001,1969/08/28 00:00:00,94,
B40C0555,001,1969/10/14 00:00:00,106,
