Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0557,001,40CL0005,184030,433650,871,,866,,,1952/10/14,1955/04/28
B40C0557,001,40CL0005,184030,433650,871,,865,,,1955/04/28,1983/12/14
B40C0557,001,40CL0005,184030,433650,871,,860,610,560,1983/12/14,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0557,001,1952/10/14 00:00:00,185,
B40C0557,001,1952/12/15 00:00:00,69,
B40C0557,001,1953/04/28 00:00:00,122,
B40C0557,001,1953/08/28 00:00:00,142,
B40C0557,001,1953/10/14 00:00:00,179,
B40C0557,001,1953/12/16 00:00:00,,D
B40C0557,001,1954/04/28 00:00:00,143,
B40C0557,001,1954/08/27 00:00:00,75,
B40C0557,001,1954/10/14 00:00:00,75,
B40C0557,001,1954/12/15 00:00:00,120,
B40C0557,001,1955/04/28 00:00:00,109,
B40C0557,001,1955/05/23 00:00:00,89,
B40C0557,001,1955/08/26 00:00:00,143,
B40C0557,001,1955/10/10 00:00:00,147,
B40C0557,001,1957/08/28 00:00:00,124,
B40C0557,001,1957/10/14 00:00:00,121,
B40C0557,001,1957/12/14 00:00:00,109,
B40C0557,001,1958/04/28 00:00:00,114,
B40C0557,001,1958/08/28 00:00:00,111,
B40C0557,001,1958/10/14 00:00:00,114,
B40C0557,001,1958/12/15 00:00:00,94,
B40C0557,001,1959/04/28 00:00:00,131,
B40C0557,001,1959/08/28 00:00:00,191,
B40C0557,001,1959/10/14 00:00:00,156,
B40C0557,001,1959/12/14 00:00:00,136,
B40C0557,001,1960/04/28 00:00:00,97,
B40C0557,001,1960/08/29 00:00:00,78,
B40C0557,001,1960/10/14 00:00:00,20,
B40C0557,001,1960/12/14 00:00:00,53,
B40C0557,001,1961/04/28 00:00:00,111,
B40C0557,001,1961/08/28 00:00:00,107,
B40C0557,001,1961/10/13 00:00:00,113,
B40C0557,001,1961/12/14 00:00:00,63,
B40C0557,001,1962/04/27 00:00:00,67,
B40C0557,001,1962/08/28 00:00:00,176,
B40C0557,001,1962/10/15 00:00:00,181,
B40C0557,001,1962/12/14 00:00:00,160,
B40C0557,001,1963/04/29 00:00:00,129,
B40C0557,001,1963/08/28 00:00:00,104,
B40C0557,001,1963/10/14 00:00:00,139,
B40C0557,001,1963/12/13 00:00:00,133,
B40C0557,001,1964/04/28 00:00:00,146,
B40C0557,001,1964/08/28 00:00:00,188,D
B40C0557,001,1964/10/14 00:00:00,,D
B40C0557,001,1964/12/14 00:00:00,113,
B40C0557,001,1965/04/28 00:00:00,60,
B40C0557,001,1965/08/27 00:00:00,116,
B40C0557,001,1965/10/14 00:00:00,123,
B40C0557,001,1965/12/14 00:00:00,32,
B40C0557,001,1966/04/28 00:00:00,87,
B40C0557,001,1966/08/29 00:00:00,113,
B40C0557,001,1966/10/14 00:00:00,136,
B40C0557,001,1966/12/14 00:00:00,43,
B40C0557,001,1967/04/28 00:00:00,114,
B40C0557,001,1967/08/28 00:00:00,160,
B40C0557,001,1967/10/13 00:00:00,150,
B40C0557,001,1967/12/14 00:00:00,99,
B40C0557,001,1968/04/29 00:00:00,151,
B40C0557,001,1968/08/27 00:00:00,141,
B40C0557,001,1968/10/14 00:00:00,90,
B40C0557,001,1968/12/13 00:00:00,164,
B40C0557,001,1969/05/14 00:00:00,140,
B40C0557,001,1969/08/28 00:00:00,171,
B40C0557,001,1969/10/14 00:00:00,190,
B40C0557,001,1969/12/15 00:00:00,173,
B40C0557,001,1970/04/28 00:00:00,146,
B40C0557,001,1970/08/28 00:00:00,174,
B40C0557,001,1970/10/14 00:00:00,172,
B40C0557,001,1970/12/14 00:00:00,149,
B40C0557,001,1971/04/28 00:00:00,178,
B40C0557,001,1971/08/27 00:00:00,178,
B40C0557,001,1971/10/14 00:00:00,179,
B40C0557,001,1971/12/14 00:00:00,,D
B40C0557,001,1972/04/28 00:00:00,,D
B40C0557,001,1972/08/28 00:00:00,157,
B40C0557,001,1972/10/13 00:00:00,182,
B40C0557,001,1972/12/14 00:00:00,165,
B40C0557,001,1973/04/27 00:00:00,160,
B40C0557,001,1973/08/28 00:00:00,184,
B40C0557,001,1973/10/15 00:00:00,188,
B40C0557,001,1973/12/14 00:00:00,121,
B40C0557,001,1974/04/29 00:00:00,175,
B40C0557,001,1974/08/28 00:00:00,178,
B40C0557,001,1974/10/14 00:00:00,153,
B40C0557,001,1974/12/13 00:00:00,81,
B40C0557,001,1975/04/28 00:00:00,152,
B40C0557,001,1975/08/28 00:00:00,164,
B40C0557,001,1975/10/14 00:00:00,,D
B40C0557,001,1975/12/15 00:00:00,,D
B40C0557,001,1976/04/28 00:00:00,,D
B40C0557,001,1976/08/27 00:00:00,,D
B40C0557,001,1976/10/14 00:00:00,172,
B40C0557,001,1976/12/14 00:00:00,,D
B40C0557,001,1977/04/28 00:00:00,156,
B40C0557,001,1977/08/29 00:00:00,114,
B40C0557,001,1977/10/14 00:00:00,174,
B40C0557,001,1977/12/14 00:00:00,148,
B40C0557,001,1978/04/28 00:00:00,148,
B40C0557,001,1978/08/28 00:00:00,166,
B40C0557,001,1978/10/13 00:00:00,174,
B40C0557,001,1978/12/14 00:00:00,184,
B40C0557,001,1979/05/28 00:00:00,148,
B40C0557,001,1979/08/28 00:00:00,173,
B40C0557,001,1979/10/15 00:00:00,,D
B40C0557,001,1979/12/14 00:00:00,130,
B40C0557,001,1980/04/28 00:00:00,155,
B40C0557,001,1980/08/28 00:00:00,153,
B40C0557,001,1980/10/14 00:00:00,171,
B40C0557,001,1981/01/19 00:00:00,87,
B40C0557,001,1981/04/28 00:00:00,130,
B40C0557,001,1981/08/28 00:00:00,176,
B40C0557,001,1981/10/14 00:00:00,125,
B40C0557,001,1981/12/14 00:00:00,102,
B40C0557,001,1982/04/28 00:00:00,139,
B40C0557,001,1982/08/27 00:00:00,162,
B40C0557,001,1982/10/14 00:00:00,113,
B40C0557,001,1982/12/14 00:00:00,135,
B40C0557,001,1983/04/28 00:00:00,78,
B40C0557,001,1983/08/29 00:00:00,,D
B40C0557,001,1983/12/14 00:00:00,164,
B40C0557,001,1984/04/27 00:00:00,164,
B40C0557,001,1984/08/28 00:00:00,166,
B40C0557,001,1984/10/15 00:00:00,136,
