Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0559,001,40CL0008,187980,433560,871,,865,715,665,1971/10/14,1975/08/28
B40C0559,001,40CL0008,187980,433560,871,,872,722,672,1975/08/28,1985/09/27

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0559,001,1971/10/14 00:00:00,181,
B40C0559,001,1971/12/14 00:00:00,190,
B40C0559,001,1972/04/28 00:00:00,150,
B40C0559,001,1972/08/28 00:00:00,143,
B40C0559,001,1972/10/13 00:00:00,153,
B40C0559,001,1972/12/14 00:00:00,147,
B40C0559,001,1973/04/27 00:00:00,137,
B40C0559,001,1973/08/28 00:00:00,175,
B40C0559,001,1973/10/15 00:00:00,185,
B40C0559,001,1974/01/30 00:00:00,126,
B40C0559,001,1974/04/29 00:00:00,139,
B40C0559,001,1974/08/28 00:00:00,147,
B40C0559,001,1974/10/14 00:00:00,143,
B40C0559,001,1974/12/13 00:00:00,79,
B40C0559,001,1975/04/28 00:00:00,108,
B40C0559,001,1975/08/28 00:00:00,122,
B40C0559,001,1975/10/14 00:00:00,131,
B40C0559,001,1975/12/15 00:00:00,141,
B40C0559,001,1976/04/28 00:00:00,147,
B40C0559,001,1976/08/27 00:00:00,169,
B40C0559,001,1976/10/14 00:00:00,169,
B40C0559,001,1976/12/14 00:00:00,,D
B40C0559,001,1977/04/28 00:00:00,114,
B40C0559,001,1977/08/29 00:00:00,107,
B40C0559,001,1977/10/14 00:00:00,140,
B40C0559,001,1977/12/14 00:00:00,102,
B40C0559,001,1978/04/28 00:00:00,108,
B40C0559,001,1978/08/28 00:00:00,117,
B40C0559,001,1978/10/13 00:00:00,126,
B40C0559,001,1978/12/14 00:00:00,123,
B40C0559,001,1979/05/28 00:00:00,109,
B40C0559,001,1979/08/28 00:00:00,127,
B40C0559,001,1979/10/15 00:00:00,128,
B40C0559,001,1979/12/14 00:00:00,111,
B40C0559,001,1980/04/28 00:00:00,117,
B40C0559,001,1980/08/28 00:00:00,109,
B40C0559,001,1980/10/14 00:00:00,134,
B40C0559,001,1981/01/19 00:00:00,76,
B40C0559,001,1981/04/28 00:00:00,108,
B40C0559,001,1981/08/28 00:00:00,129,
B40C0559,001,1981/10/14 00:00:00,111,
B40C0559,001,1982/04/28 00:00:00,113,
B40C0559,001,1982/08/27 00:00:00,131,
B40C0559,001,1982/10/14 00:00:00,119,
B40C0559,001,1982/12/14 00:00:00,101,
B40C0559,001,1983/04/28 00:00:00,84,
B40C0559,001,1983/08/29 00:00:00,132,
B40C0559,001,1983/10/14 00:00:00,143,
B40C0559,001,1983/12/14 00:00:00,110,
B40C0559,001,1984/04/27 00:00:00,128,
B40C0559,001,1984/08/28 00:00:00,146,
B40C0559,001,1984/10/15 00:00:00,93,
B40C0559,001,1984/12/14 00:00:00,130,
B40C0559,001,1985/04/26 00:00:00,123,
