Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0563,001,40CL0014,188030,431750,954,,949,,,1952/10/15,1955/04/28
B40C0563,001,40CL0014,188030,431750,954,,948,,,1955/04/28,1957/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0563,001,1952/10/15 00:00:00,,D
B40C0563,001,1952/12/16 00:00:00,70,
B40C0563,001,1953/04/29 00:00:00,128,
B40C0563,001,1953/08/27 00:00:00,139,
B40C0563,001,1953/10/15 00:00:00,204,
B40C0563,001,1953/12/15 00:00:00,205,D
B40C0563,001,1954/04/28 00:00:00,183,
B40C0563,001,1954/08/27 00:00:00,121,
B40C0563,001,1954/10/14 00:00:00,82,
B40C0563,001,1954/12/13 00:00:00,94,
B40C0563,001,1955/04/28 00:00:00,88,
B40C0563,001,1955/05/09 00:00:00,117,
B40C0563,001,1955/08/25 00:00:00,138,
B40C0563,001,1955/10/14 00:00:00,154,
