Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0564,001,40CL0014,188000,431590,940,,933,783,733,1957/08/28,1966/08/29
B40C0564,001,40CL0014,188000,431590,940,,939,789,739,1966/08/29,1968/04/29
B40C0564,001,40CL0014,188000,431590,940,,927,777,727,1968/04/29,1970/12/14
B40C0564,001,40CL0014,188000,431590,941,,936,786,736,1970/12/14,1973/04/27
B40C0564,001,40CL0014,188000,431590,941,,936,686,636,1973/04/27,1975/08/28
B40C0564,001,40CL0014,188000,431590,941,,933,683,633,1975/08/28,1977/08/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0564,001,1957/08/28 00:00:00,131,
B40C0564,001,1957/10/14 00:00:00,76,
B40C0564,001,1957/12/14 00:00:00,103,
B40C0564,001,1958/04/28 00:00:00,91,
B40C0564,001,1958/08/28 00:00:00,111,
B40C0564,001,1958/10/14 00:00:00,125,
B40C0564,001,1958/12/15 00:00:00,62,
B40C0564,001,1959/04/28 00:00:00,85,
B40C0564,001,1959/08/28 00:00:00,191,
B40C0564,001,1959/10/14 00:00:00,203,D
B40C0564,001,1959/12/14 00:00:00,162,
B40C0564,001,1960/04/28 00:00:00,168,
B40C0564,001,1960/08/29 00:00:00,169,
B40C0564,001,1960/10/14 00:00:00,22,
B40C0564,001,1960/12/14 00:00:00,24,
B40C0564,001,1961/04/28 00:00:00,81,
B40C0564,001,1961/08/28 00:00:00,78,
B40C0564,001,1961/10/13 00:00:00,145,
B40C0564,001,1961/12/14 00:00:00,7,
B40C0564,001,1962/04/27 00:00:00,63,
B40C0564,001,1962/08/28 00:00:00,157,
B40C0564,001,1962/10/15 00:00:00,179,
B40C0564,001,1963/04/29 00:00:00,107,
B40C0564,001,1963/08/28 00:00:00,70,
B40C0564,001,1963/10/14 00:00:00,171,
B40C0564,001,1963/12/17 00:00:00,110,
B40C0564,001,1964/04/28 00:00:00,147,
B40C0564,001,1964/08/28 00:00:00,204,D
B40C0564,001,1964/10/14 00:00:00,192,
B40C0564,001,1964/12/14 00:00:00,187,
B40C0564,001,1965/04/28 00:00:00,22,
B40C0564,001,1965/08/27 00:00:00,80,
B40C0564,001,1965/10/14 00:00:00,108,
B40C0564,001,1965/12/14 00:00:00,7,
B40C0564,001,1966/04/28 00:00:00,10,
B40C0564,001,1966/08/29 00:00:00,56,
B40C0564,001,1966/10/14 00:00:00,102,
B40C0564,001,1966/12/14 00:00:00,14,
B40C0564,001,1967/04/28 00:00:00,44,
B40C0564,001,1968/04/29 00:00:00,111,
B40C0564,001,1968/08/28 00:00:00,117,
B40C0564,001,1968/10/14 00:00:00,26,
B40C0564,001,1969/08/28 00:00:00,149,
B40C0564,001,1969/10/14 00:00:00,163,
B40C0564,001,1969/12/15 00:00:00,158,
B40C0564,001,1970/04/28 00:00:00,74,
B40C0564,001,1970/12/14 00:00:00,86,
B40C0564,001,1971/04/28 00:00:00,166,
B40C0564,001,1971/08/27 00:00:00,170,
B40C0564,001,1971/10/14 00:00:00,195,
B40C0564,001,1972/04/28 00:00:00,201,
B40C0564,001,1972/08/28 00:00:00,205,D
B40C0564,001,1972/10/13 00:00:00,,D
B40C0564,001,1972/12/14 00:00:00,,D
B40C0564,001,1973/04/27 00:00:00,137,
B40C0564,001,1973/08/28 00:00:00,195,
B40C0564,001,1973/10/15 00:00:00,220,
B40C0564,001,1974/01/30 00:00:00,88,
B40C0564,001,1974/04/29 00:00:00,143,
B40C0564,001,1974/08/28 00:00:00,186,
B40C0564,001,1974/10/14 00:00:00,173,
B40C0564,001,1974/12/13 00:00:00,20,
B40C0564,001,1975/04/28 00:00:00,86,
B40C0564,001,1975/08/28 00:00:00,145,
B40C0564,001,1975/10/14 00:00:00,157,
B40C0564,001,1975/12/15 00:00:00,167,
B40C0564,001,1976/04/28 00:00:00,179,
B40C0564,001,1976/08/27 00:00:00,238,
