Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0565,001,40CL0014,187960,431570,,,,,,1977/08/29,1986/06/20

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0565,001,1977/08/29 00:00:00,126,
B40C0565,001,1977/10/14 00:00:00,177,
B40C0565,001,1977/12/14 00:00:00,115,
B40C0565,001,1978/04/28 00:00:00,120,
B40C0565,001,1978/08/28 00:00:00,143,
B40C0565,001,1978/10/13 00:00:00,169,
B40C0565,001,1978/12/14 00:00:00,146,
B40C0565,001,1979/05/28 00:00:00,120,
B40C0565,001,1979/08/28 00:00:00,176,
B40C0565,001,1979/10/15 00:00:00,192,
B40C0565,001,1979/12/14 00:00:00,127,
B40C0565,001,1980/04/28 00:00:00,129,
B40C0565,001,1980/08/28 00:00:00,122,
B40C0565,001,1980/10/14 00:00:00,164,
B40C0565,001,1981/01/19 00:00:00,35,
B40C0565,001,1981/04/28 00:00:00,111,
B40C0565,001,1981/08/28 00:00:00,155,
B40C0565,001,1981/10/14 00:00:00,144,
B40C0565,001,1982/04/28 00:00:00,121,
B40C0565,001,1982/08/27 00:00:00,172,
B40C0565,001,1982/10/14 00:00:00,128,
B40C0565,001,1982/12/14 00:00:00,62,
B40C0565,001,1983/04/28 00:00:00,50,
B40C0565,001,1983/08/29 00:00:00,181,
B40C0565,001,1983/10/14 00:00:00,197,
B40C0565,001,1983/12/14 00:00:00,120,
B40C0565,001,1984/09/18 00:00:00,195,
B40C0565,001,1984/10/15 00:00:00,76,
B40C0565,001,1984/12/14 00:00:00,67,
B40C0565,001,1985/04/26 00:00:00,93,
B40C0565,001,1985/08/28 00:00:00,65,
B40C0565,001,1985/10/14 00:00:00,107,
B40C0565,001,1985/12/13 00:00:00,126,
