Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0567,001,40CL0017,181340,430940,791,,785,,,1952/10/13,1953/04/27
B40C0567,001,40CL0017,181340,430940,791,,786,,,1953/04/27,1959/04/28
B40C0567,001,40CL0017,181340,430940,791,,785,,,1959/04/28,1981/04/28
B40C0567,001,40CL0017,181340,430940,791,,791,641,591,1981/04/28,1996/11/18
B40C0567,001,40CL0017,181340,430940,806,,791,641,591,1996/11/18,1997/06/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0567,001,1952/10/13 00:00:00,151,
B40C0567,001,1952/12/15 00:00:00,21,
B40C0567,001,1953/04/27 00:00:00,79,
B40C0567,001,1953/08/27 00:00:00,89,
B40C0567,001,1953/10/14 00:00:00,155,
B40C0567,001,1953/12/12 00:00:00,195,
B40C0567,001,1954/04/27 00:00:00,102,
B40C0567,001,1954/08/27 00:00:00,35,
B40C0567,001,1954/10/14 00:00:00,33,
B40C0567,001,1954/12/13 00:00:00,25,
B40C0567,001,1955/04/27 00:00:00,62,
B40C0567,001,1955/08/30 00:00:00,105,
B40C0567,001,1955/09/23 00:00:00,110,
B40C0567,001,1955/10/13 00:00:00,117,
B40C0567,001,1959/04/28 00:00:00,76,
B40C0567,001,1959/08/28 00:00:00,171,
B40C0567,001,1959/10/14 00:00:00,186,D
B40C0567,001,1959/12/14 00:00:00,186,D
B40C0567,001,1960/04/28 00:00:00,135,
B40C0567,001,1960/08/29 00:00:00,102,
B40C0567,001,1960/10/14 00:00:00,8,
B40C0567,001,1960/12/14 00:00:00,34,
B40C0567,001,1961/04/28 00:00:00,74,
B40C0567,001,1961/08/28 00:00:00,47,
B40C0567,001,1961/10/13 00:00:00,114,
B40C0567,001,1961/12/14 00:00:00,6,
B40C0567,001,1962/04/27 00:00:00,51,
B40C0567,001,1962/08/28 00:00:00,128,
B40C0567,001,1962/10/15 00:00:00,168,
B40C0567,001,1962/12/14 00:00:00,170,
B40C0567,001,1963/04/29 00:00:00,73,
B40C0567,001,1963/08/28 00:00:00,131,
B40C0567,001,1963/10/14 00:00:00,98,
B40C0567,001,1963/12/13 00:00:00,66,
B40C0567,001,1964/04/28 00:00:00,95,
B40C0567,001,1964/08/28 00:00:00,169,D
B40C0567,001,1964/10/14 00:00:00,168,D
B40C0567,001,1964/12/14 00:00:00,73,
B40C0567,001,1965/04/28 00:00:00,26,
B40C0567,001,1965/08/27 00:00:00,63,
B40C0567,001,1965/10/14 00:00:00,79,
B40C0567,001,1965/12/14 00:00:00,3,
B40C0567,001,1966/04/28 00:00:00,8,
B40C0567,001,1966/08/29 00:00:00,69,
B40C0567,001,1966/10/14 00:00:00,87,
B40C0567,001,1966/12/14 00:00:00,6,
B40C0567,001,1967/04/28 00:00:00,68,
B40C0567,001,1967/08/28 00:00:00,112,
B40C0567,001,1967/10/13 00:00:00,119,
B40C0567,001,1967/12/14 00:00:00,34,
B40C0567,001,1968/04/29 00:00:00,74,
B40C0567,001,1968/08/28 00:00:00,58,
B40C0567,001,1968/10/14 00:00:00,6,
B40C0567,001,1968/12/13 00:00:00,100,
B40C0567,001,1969/04/28 00:00:00,43,
B40C0567,001,1969/08/28 00:00:00,71,
B40C0567,001,1969/10/14 00:00:00,138,
B40C0567,001,1969/12/15 00:00:00,149,
B40C0567,001,1970/04/28 00:00:00,46,
B40C0567,001,1970/08/28 00:00:00,75,
B40C0567,001,1970/10/14 00:00:00,88,
B40C0567,001,1970/12/14 00:00:00,44,
B40C0567,001,1971/04/28 00:00:00,134,
B40C0567,001,1971/08/27 00:00:00,149,
B40C0567,001,1971/10/14 00:00:00,184,
B40C0567,001,1971/12/14 00:00:00,197,
B40C0567,001,1972/04/28 00:00:00,110,
B40C0567,001,1972/08/28 00:00:00,127,
B40C0567,001,1972/10/13 00:00:00,152,
B40C0567,001,1972/12/14 00:00:00,81,
B40C0567,001,1973/04/27 00:00:00,64,
B40C0567,001,1973/08/28 00:00:00,135,
B40C0567,001,1973/10/15 00:00:00,158,
B40C0567,001,1973/12/14 00:00:00,31,
B40C0567,001,1974/04/29 00:00:00,110,
B40C0567,001,1974/08/28 00:00:00,124,
B40C0567,001,1974/10/14 00:00:00,106,
B40C0567,001,1974/12/13 00:00:00,6,
B40C0567,001,1975/04/28 00:00:00,69,
B40C0567,001,1975/08/28 00:00:00,92,
B40C0567,001,1975/10/14 00:00:00,105,
B40C0567,001,1975/12/15 00:00:00,102,
B40C0567,001,1976/04/29 00:00:00,151,
B40C0567,001,1976/08/25 00:00:00,182,
B40C0567,001,1976/10/14 00:00:00,175,
B40C0567,001,1976/12/15 00:00:00,171,
B40C0567,001,1977/04/29 00:00:00,81,
B40C0567,001,1977/06/28 00:00:00,90,
B40C0567,001,1977/07/12 00:00:00,94,
B40C0567,001,1977/07/28 00:00:00,98,
B40C0567,001,1977/08/29 00:00:00,48,
B40C0567,001,1977/09/14 00:00:00,84,
B40C0567,001,1977/09/28 00:00:00,100,
B40C0567,001,1977/10/14 00:00:00,118,
B40C0567,001,1977/10/28 00:00:00,132,
B40C0567,001,1977/11/14 00:00:00,82,
B40C0567,001,1977/11/28 00:00:00,47,
B40C0567,001,1977/12/14 00:00:00,63,
B40C0567,001,1977/12/28 00:00:00,65,
B40C0567,001,1978/01/13 00:00:00,27,
B40C0567,001,1978/01/27 00:00:00,56,
B40C0567,001,1978/02/14 00:00:00,62,
B40C0567,001,1978/02/27 00:00:00,80,
B40C0567,001,1978/03/14 00:00:00,51,
B40C0567,001,1978/03/28 00:00:00,23,
B40C0567,001,1978/04/14 00:00:00,68,
B40C0567,001,1978/04/28 00:00:00,82,
B40C0567,001,1978/05/12 00:00:00,60,
B40C0567,001,1978/05/30 00:00:00,79,
B40C0567,001,1978/06/14 00:00:00,71,
B40C0567,001,1978/08/28 00:00:00,101,
