Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0584,001,40CL0064,181980,431860,903,,903,,503,1970/06/29,1971/10/28
B40C0584,001,40CL0064,181980,431860,903,,901,,501,1971/10/28,1973/01/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0584,001,1970/06/29 00:00:00,64,
B40C0584,001,1970/07/14 00:00:00,80,
B40C0584,001,1970/07/28 00:00:00,87,
B40C0584,001,1970/08/17 00:00:00,122,
B40C0584,001,1970/08/28 00:00:00,100,
B40C0584,001,1970/09/14 00:00:00,170,
B40C0584,001,1970/09/28 00:00:00,214,
B40C0584,001,1970/10/14 00:00:00,165,
B40C0584,001,1970/11/13 00:00:00,181,
B40C0584,001,1970/11/27 00:00:00,130,
B40C0584,001,1970/12/14 00:00:00,115,
B40C0584,001,1970/12/28 00:00:00,230,
B40C0584,001,1971/01/14 00:00:00,275,
B40C0584,001,1971/01/28 00:00:00,175,
B40C0584,001,1971/02/15 00:00:00,200,
B40C0584,001,1971/03/01 00:00:00,210,
B40C0584,001,1971/03/15 00:00:00,265,
B40C0584,001,1971/03/29 00:00:00,230,
B40C0584,001,1971/04/14 00:00:00,260,
B40C0584,001,1971/04/28 00:00:00,265,
B40C0584,001,1971/05/14 00:00:00,280,
B40C0584,001,1971/05/28 00:00:00,255,
B40C0584,001,1971/06/14 00:00:00,165,
B40C0584,001,1971/06/28 00:00:00,125,
B40C0584,001,1971/07/14 00:00:00,210,
B40C0584,001,1971/07/28 00:00:00,250,
B40C0584,001,1971/08/16 00:00:00,285,
B40C0584,001,1971/08/27 00:00:00,275,
B40C0584,001,1971/09/14 00:00:00,290,
B40C0584,001,1971/09/28 00:00:00,320,
B40C0584,001,1971/10/14 00:00:00,325,
B40C0584,001,1971/10/28 00:00:00,322,
B40C0584,001,1971/11/15 00:00:00,327,
B40C0584,001,1971/11/29 00:00:00,297,
B40C0584,001,1971/12/14 00:00:00,307,
B40C0584,001,1971/12/28 00:00:00,287,
B40C0584,001,1972/01/14 00:00:00,322,
B40C0584,001,1972/01/28 00:00:00,342,
B40C0584,001,1972/02/14 00:00:00,322,
B40C0584,001,1972/02/28 00:00:00,322,
B40C0584,001,1972/03/14 00:00:00,332,
B40C0584,001,1972/03/28 00:00:00,357,
B40C0584,001,1972/04/14 00:00:00,212,
B40C0584,001,1972/04/28 00:00:00,222,
B40C0584,001,1972/05/15 00:00:00,242,
B40C0584,001,1972/05/29 00:00:00,237,
B40C0584,001,1972/06/14 00:00:00,217,
B40C0584,001,1972/06/28 00:00:00,207,
B40C0584,001,1972/07/14 00:00:00,207,
B40C0584,001,1972/07/28 00:00:00,202,
B40C0584,001,1972/08/14 00:00:00,242,
B40C0584,001,1972/08/28 00:00:00,232,
B40C0584,001,1972/09/14 00:00:00,267,
B40C0584,001,1972/09/28 00:00:00,297,
B40C0584,001,1972/10/13 00:00:00,327,
B40C0584,001,1972/10/27 00:00:00,362,
B40C0584,001,1972/11/14 00:00:00,332,
B40C0584,001,1972/11/28 00:00:00,,O
B40C0584,001,1972/12/14 00:00:00,122,
B40C0584,001,1972/12/28 00:00:00,217,
B40C0584,001,1973/01/15 00:00:00,302,
