Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0588,001,40CL0068,181810,431540,843,,843,,523,1970/06/29,1971/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0588,001,1970/06/29 00:00:00,60,
B40C0588,001,1970/07/14 00:00:00,70,
B40C0588,001,1970/07/28 00:00:00,65,
B40C0588,001,1970/08/17 00:00:00,90,
B40C0588,001,1970/08/28 00:00:00,83,
B40C0588,001,1970/09/14 00:00:00,111,
B40C0588,001,1970/09/28 00:00:00,137,
B40C0588,001,1970/10/14 00:00:00,114,
B40C0588,001,1970/10/28 00:00:00,117,
B40C0588,001,1970/11/13 00:00:00,111,
B40C0588,001,1970/11/27 00:00:00,91,
B40C0588,001,1970/12/14 00:00:00,75,
B40C0588,001,1970/12/28 00:00:00,135,
B40C0588,001,1971/01/14 00:00:00,180,
B40C0588,001,1971/01/28 00:00:00,152,
B40C0588,001,1971/02/15 00:00:00,120,
B40C0588,001,1971/03/01 00:00:00,138,
B40C0588,001,1971/03/15 00:00:00,175,
B40C0588,001,1971/03/29 00:00:00,170,
B40C0588,001,1971/04/14 00:00:00,180,
B40C0588,001,1971/04/28 00:00:00,195,
B40C0588,001,1971/05/14 00:00:00,200,
B40C0588,001,1971/05/28 00:00:00,200,
B40C0588,001,1971/06/14 00:00:00,170,
B40C0588,001,1971/06/28 00:00:00,95,
B40C0588,001,1971/07/14 00:00:00,135,
B40C0588,001,1971/07/28 00:00:00,175,
B40C0588,001,1971/08/16 00:00:00,200,
B40C0588,001,1971/08/27 00:00:00,210,
B40C0588,001,1971/09/14 00:00:00,210,
B40C0588,001,1971/09/28 00:00:00,230,
B40C0588,001,1971/10/14 00:00:00,235,
