Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0595,001,40CL0074,184190,429820,,,,,,1988/03/29,1996/11/15
B40C0595,001,40CL0074,184190,429820,,,,,,1996/11/15,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0595,001,1988/04/28 00:00:00,140,
B40C0595,001,1988/05/27 00:00:00,158,
B40C0595,001,1988/06/28 00:00:00,186,
B40C0595,001,1988/07/28 00:00:00,181,
B40C0595,001,1988/08/29 00:00:00,215,
B40C0595,001,1988/09/28 00:00:00,202,
B40C0595,001,1988/10/28 00:00:00,218,
B40C0595,001,1988/11/28 00:00:00,233,
B40C0595,001,1988/12/28 00:00:00,224,
B40C0595,001,1989/01/27 00:00:00,185,
B40C0595,001,1989/02/28 00:00:00,208,
B40C0595,001,1989/03/28 00:00:00,166,
B40C0595,001,1989/04/28 00:00:00,144,
B40C0595,001,1989/05/29 00:00:00,196,
B40C0595,001,1989/06/28 00:00:00,223,
B40C0595,001,1989/07/28 00:00:00,229,
B40C0595,001,1989/08/28 00:00:00,,D
B40C0595,001,1989/09/28 00:00:00,,D
B40C0595,001,1989/10/27 00:00:00,,D
B40C0595,001,1989/11/28 00:00:00,,D
B40C0595,001,1989/12/28 00:00:00,194,
B40C0595,001,1990/01/29 00:00:00,205,
B40C0595,001,1990/02/28 00:00:00,122,
B40C0595,001,1990/03/28 00:00:00,180,
B40C0595,001,1990/04/27 00:00:00,211,
B40C0595,001,1990/05/28 00:00:00,226,
B40C0595,001,1990/06/28 00:00:00,217,
B40C0595,001,1990/07/27 00:00:00,217,
B40C0595,001,1990/08/28 00:00:00,,D
B40C0595,001,1990/09/28 00:00:00,,D
B40C0595,001,1990/10/29 00:00:00,,D
B40C0595,001,1990/11/28 00:00:00,204,
B40C0595,001,1990/12/28 00:00:00,202,
B40C0595,001,1991/01/28 00:00:00,148,
B40C0595,001,1991/02/28 00:00:00,221,
B40C0595,001,1991/03/28 00:00:00,225,
B40C0595,001,1991/05/01 00:00:00,230,
B40C0595,001,1991/05/28 00:00:00,228,
B40C0595,001,1991/06/28 00:00:00,220,
B40C0595,001,1991/07/29 00:00:00,222,
B40C0595,001,1991/08/28 00:00:00,,D
B40C0595,001,1991/09/27 00:00:00,,D
B40C0595,001,1991/10/28 00:00:00,,D
B40C0595,001,1991/11/28 00:00:00,,D
B40C0595,001,1991/12/30 00:00:00,160,
B40C0595,001,1992/01/28 00:00:00,205,
B40C0595,001,1992/02/28 00:00:00,216,
B40C0595,001,1992/03/27 00:00:00,162,
B40C0595,001,1992/04/28 00:00:00,163,
